,Post,Trans,Label,Type,Type_Expanded
53,"При этом на месте падения до сих пор происходят взрывы.

По уточнённым данным, в Ейске потерпел крушение самолёт Су-34.

Предварительно, два пилота успели катапультироваться. Борт упал при взлёте с местного аэродрома.

Причиной крушения самолета в Ейске стало возгорание одного из двигателей при взлете, на месте падения Су-34 во дворе одного из жилых кварталов в Ейске произошло возгорание топлива самолета — Минобороны","Meanwhile, explosions are still occurring at the crash site.

According to updated information, a Su-34 fighter jet crashed in Yeysk.

Initially, it was reported that both pilots managed to eject. The aircraft crashed while taking off from a local airfield.

The cause of the Su-34 crash in Yeysk was a fire in one of the engines during takeoff. At the crash site in Yeysk, a fire broke out involving the jet fuel in a residential area — Ministry of Defense",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
54,"По уточнённой информации, Самолёт  рухнул во дворе и взорвался. Огонь перекинулся на жилой дом.","According to updated information, the plane crashed in a courtyard and exploded. The fire spread to a residential building.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
55,"Самолёт упал на жилые дома на Западной улице в Ейске (Краснодарский край) . Информация о погибших и пострадавших уточняется.

__Очевидцы сообщают, что судно было военным, пилот катапультировался__","The plane crashed into residential buildings on Western Street in Yeysk (Krasnodar Krai). Information about casualties and injured is still being confirmed.

Eyewitnesses report that the aircraft was military, and the pilot ejected.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
56,"🗣**🇺🇦🏴‍☠️ Пленные боевики ""Азова""* дали показания об убийстве мирных жителей Мариуполя

* **— запрещён на территории РФ","🗣**🇺🇦🏴‍☠️ Captured ""Azov"" fighters** provided testimony about the murder of civilians in Mariupol.

* **— banned in the Russian Federation**",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
57,"🇺🇦""**Я думаю хозяева не будут против""

**ВСУшники продолжают мародерить имущество мирного населения","""I think the owners won't be against it""

>The soldiers of the Ukrainian Armed Forces continue to plunder the property of civilian residents",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
58,"Обстановка на данный момент у разрушенного снарядном жилого дома в Белгороде.

Многоэтажка оцеплена по периметру полицией, доступ в пострадавшую квартиру на 16-м этаже перекрыт полностью. Но жильцам остальных квартир разрешают пройти домой, чтобы забрать нужные вещи.

По оценке экспертов, демонтажные работы займут два–три дня. Электроэнергия и система отопления в доме налажены. А все осколки и разрушения коммунальщики убрали ещё вчера вечером. Местные жители нам рассказали, что после взрыва поднялась сильная пыль, но взрывной волны они не ощутили. А работу ПВО в городе люди слышат регулярно.","The current situation at the apartment building in Belgorod that was damaged by a shell strike.

The multi-story building is fully cordoned off by police, with access to the damaged apartment on the 16th floor completely blocked. However, residents of other apartments are allowed to enter to retrieve their belongings.

Experts estimate that demolition work will take two to three days. Power and heating systems have been restored in the building. All debris and damage were cleaned up by sanitation workers yesterday evening. Local residents told us that after the explosion, there was significant dust but no shockwave was felt. People in the city regularly hear the sound of air defense operations.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
59,🔥🇷🇺🇺🇦 Донбасс. Дроны бьют по укрытиям ВСУ в жилых домах.,🔥🇷🇺🇺🇦 Donbass. Drones strike at Ukrainian military positions in residential areas.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
60,"Над Джанкоем (Крым) произошёл взрыв, предположительно, был сбит вражеский  БПЛА.

Сообщается, что 11-летняя девочка получила ранение в плечо после того, как взрывной волной в доме вынесло стекла. Стены дома также упали.","An explosion occurred over Jungkoy (Crimea), presumably downing a hostile drone.

It is reported that an 11-year-old girl was injured in the shoulder when the blast blew out windows in her house, causing walls to collapse.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
61,"**⚡️ВСУ обстреляли артиллерией посёлок Тёткино в Курской области.

**Всего зафиксировано шесть прилётов, после которых возник сильный пожар в двухэтажном жилом доме, сообщил губернатор региона Старовойт.

По предварительным данным, ранены два человека: мужчина с осколочными ранениями и женщина с ожогами, оба госпитализированы.","**⚡️The Ukrainian Armed Forces (ВСУ) shelled the village of Tetykino in Kursk Oblast with artillery.

Governor Starovoyt reported that six shells landed, causing a significant fire in a two-story residential building. According to preliminary data, two people were injured: a man with shrapnel wounds and a woman with burns; both have been hospitalized.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
62,"**Кадры 18+

Экс-командир нацбата «Азов» Жорин опубликовал кадры жестокой расправы над мирными жителями Купянска.

**При этом он ещё язвительно подписал видео «расплата будет» с намёком, что и дальше будет продолжать зверски убивать мирных граждан.","**18+ Content

Ex-commander of the Azov battalion Zhorin published footage of a brutal massacre of civilians in Kupiansk.

Moreover, he sarcastically captioned the video ""retribution is coming,"" implying that he intends to continue viciously murdering innocent civilians.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
63,"**Ракетный удар ВСУ по колонне гражданских в Херсонской области** сегодня утром. Появились жуткие кадры.

Под обстрел попал автобус: 4 погибших, 3 раненых.","Today morning, Ukrainian military forces launched a rocket strike on a civilian column in the Kherson region. Horrifying footage has emerged. An autobus was hit: 4 deaths and 3 injuries.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
64,"**Тегеран сегодня**.

В стране уже вторую неделю не утихают протесты из-за того, что полиция нравов забила насмерть девушку за «неправильное ношение хиджаба».","**Tehran Today**

Protests have been ongoing in the country for the second week straight due to the police killing a girl who died from injuries after being beaten for ""improper hijab wearing.""",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
65,🔞Убитые дети в результате вчерашнего теракта в Ижевске😢,🔞 Children killed in yesterday's terrorist attack in Izhevsk 😢,,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
66,"**Массовые акции протеста и столкновения с полицией в Иране** **продолжаются уже несколько дней — толпы недовольных людей выходят на улицы

**Всё началось после смерти 22-летней девушки, которую полицейские избили за «неправильное ношение хиджаба». Задержанная позже скончалась. Теперь протесты охватили почти все города страны. Предварительно сообщается о 21 погибшем. Протестующие жгут машины и нападают на силовиков.","Mass protests and clashes with police in Iran have been ongoing for several days—crowds of dissatisfied people are taking to the streets.

The protests began after a 22-year-old girl died in police custody following an altercation over ""improper hijab wearing."" She was arrested earlier. Now, the protests have spread to almost all cities in the country. Preliminary reports indicate at least 21 deaths. Protesters are burning cars and attacking law enforcement.",,,"This post describes human rights violations involving direct harm or killing of civilians and abuse or mistreatment of detainees. Civilians may be attacked outright, while those captured or detained may face coercion, intimidation, or degrading treatment. This combination reflects violence both in open environments and within detention settings."
67,"🇮🇷**В Иране усиливаются протесты в связи со смертью девушки от рук полицейских

**Напомним, волнения начались после того, как полицейские до смерти избили 22-летнюю девушку за то, что ее голова была недостаточно покрыта","In Iran, protests are intensifying in connection with the death of a girl at the hands of police.

Recall that the unrest began after police beat a 22-year-old girl to death for not covering her head sufficiently.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
68,"**Власти Донецка сообщают о сегодняшнем сильном обстреле в Куйбышевском районе. По предварительным данным, прилеты зафиксированы на площади Бакинских Комиссаров.

**Глава администрации города сообщил о 13 жертвах. Российские военкоры сообщают, что среди жертв — 2 детей.","The authorities in Donetsk report a strong artillery strike in the Kuibyshevsky district today. Preliminary reports indicate that strikes were registered on Bakinskikh Komissarov Square.

The city administration head reported 13 casualties. Russian military correspondents state that among the victims are 2 children.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
69,"**Беженцы из Харьковской области рассказывают о зверствах  ВСУ.

**__""Говорят, что 40 человек под Высоким вырезали. Просто за то, что они были за Россию""__, - рассказал один из беженцев.","Refugees from the Kharkiv region speak of the atrocities committed by the Ukrainian military forces (VСУ).

""One refugee said, 'They say 40 people were executed near Vyshyvany just for being pro-Russia.'""",,,"This post describes multiple human rights violations involving sexual violence, torture, or execution, as well as mistreatment or coercive abuse of detainees. It reflects both extreme violence and abusive treatment of individuals held in custody or under control."
70,"Артиллерия  ВСУ ведёт обстрелы жилых домов в селе Николаевка,  район Донецкой Народной Республики.",Artillery from the Ukrainian military is targeting residential buildings in the village of Nikolaevka in the Donetsk People's Republic.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
71,"❗️ Момент попадания снаряда ВСУ по рынку в Киевском районе Донецка зафиксировали камеры видеонаблюдения.

На данный момент известно о трех погибших и одном раненом.

Также сегодня был обстрелян Петровский район города, в результате которого один мужчина погиб и три человека получили ранения.","❗️ Moments of the Ukrainian military forces' shell hitting a market in the Kyivsky district of Donetsk were captured by surveillance cameras.

As of now, three deaths and one injury have been reported.

Additionally, today the Petrovsky district of the city was also shelled, resulting in one death and three injuries.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
72,"Воин ВСУ ведет стрельбу из станкового противотанкового гранатомёта СПГ-9 прямо в квартире жилого дома, а потом будут рассказывать, как Российские войска бьют по жилым домам...","A Ukrainian military soldier is firing a portable anti-tank grenade launcher (SPG-9) at an apartment in a residential building, and then they will claim that Russian troops are shelling residential areas....",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
73,"⚡️ Взрыв террориста-смертника произошел у ворот российского посольства в Кабуле, количество жертв уточняется.

Сообщается, что ЧП произошло на улице не с российским посольством, а там, где есть поворот к нему. Атака была направлена на группу студентов.","⚡️ A suicide bomber's explosion occurred near the gates of the Russian embassy in Kabul; the number of casualties is still being confirmed.

It has been reported that the incident took place on a street where there is a turn towards the embassy, not at the embassy itself. The attack targeted a group of students.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
74,"В Курской области более 20 животных погибли после прилёта снаряда в животноводческий комплекс.

Жертв среди мирного населения нет, но пострадало шесть частных домовладений — повреждения получили, в основном, крыши и окна","More than 20 animals died in the Kursk region after a shell struck a livestock complex. There were no casualties among the civilian population, but six private residences were damaged—mostly to their roofs and windows.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
75,🔥🇷🇺🇺🇦 Донбасс. Российская артиллерия не прекращает бить по укрытиям ВСУ. Как обычно в жилых домах.,"🔥🇷🇺🇺🇦 Donbass. Russian artillery continues to target Ukrainian positions in civilian buildings, as usual.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
76,"Испуганный украинский нацист чуть не плача рассказывает о своих чувствах и эмоциях после прилета в частный дом, где они разместили позицию.

А вот что они сделали с хозяевами дома – убили или просто выгнали – не говорит. Хотя, благодаря таким ""захисникам"" и дома-то уже нет.","The frightened Ukrainian Nazi nearly cried as he spoke about his feelings and emotions after arriving at a private house where they had set up their position.

As for what they did to the house owners—whether they killed them or simply evicted them—he doesn’t mention. Still, thanks to such ""protectors,"" there’s no house left anyway.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
77,"**В Италии беженка с Украины жалуется, что ее поселили в номер с камерой видеонаблюдения.**","In Italy, a Ukrainian refugee complains that she was assigned a room with a surveillance camera.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
78,"⚡️ Первые кадры от очевидцев с места происшествия в Севастополе, где в здание Черноморского флота прилетел вражеский БпЛА.

❗️Развозжаев уточняет, что беспилотник был отработан ПВН (пост воздушной обороны флота), и сбит прямо над штабом флота. Упал на кровлю и загорелся. Поражения не получилось.","⚡️ First footage from witnesses at the scene in Sevastopol, where a hostile drone struck the building of the Black Sea Fleet.

❗️Razvozhaev notes that the drone was intercepted by the fleet's air defense posts and shot down directly over the fleet headquarters. It crashed onto the roof and caught fire. There were no casualties.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
79,"**Боевики ВСУ продолжают наносить удары по Донецку.

**В результате обстрела Киевского района Донецка полностью сгорели два гражданских автомобиля. Информация по пострадавшим уточняется.

UPD: Сообщается, что в результате обстрелов со стороны ВСУ погибло двое мирных жителей, ещё 12 получили ранения. Один из них пострадал от взрыва противопехотной мины.","**Battalions of the Ukrainian Armed Forces continue to strike at Donetsk.

**As a result of the shelling of the Kyivsky district in Donetsk, two civilian cars were completely destroyed by fire. Information on casualties is still being verified.

UPDATE: It has been reported that two civilians died as a result of the attacks by the Ukrainian Armed Forces, and 12 others were injured. One of the injured was hit by a anti-personnel mine.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
80,"В Алчевске (ЛНР) в результате обстрела со стороны ВСУ загорелась многоэтажка. Пострадало более 10 человек, в том числе четыре ребёнка.

__""Прямое попадание в жилой многоквартирный девятиэтажный жилой дом. В данный момент возгорание: восьмой, девятый этажи. Предварительно, мы имеем 10 пострадавших с различной степени тяжести, среди них четыре ребёнка, один ребёнок находится в реанимации""__, — сообщил глава города Альберт Апшев.

UPD: Один человек погиб, сообщает генпрокуратура ЛНР","In Alchevsk (LNR), a multi-story apartment building caught fire as a result of an attack by Ukrainian forces. Over 10 people were injured, including four children.

""Direct hit on a nine-story residential building. At the moment, the fire is on the eighth and ninth floors. Preliminary information indicates that there are 10 injured with varying degrees of severity, among them four children, one of whom is in intensive care,"" reported city head Albert Apshev.

UPDATE: One person has died, reports the LNR Prosecutor's Office.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
81,"⚡️В результате израильского авиаудара по сектору Газа погибло восемь человек, включая пятилетнюю девочку; порядка 40 человек пострадало.

При этом группировка ""Исламский Джихад"" подтвердила, что в числе погибших – один из командиров организации и заявили, что ""перемирия с врагом не будет"". Израиль же заявил, что в результате удара было ликвидировано 15 террористов.

Кроме того сообщается о начале масштабной армейской операции Израиля на палестинских территориях.

В свою очередь, палестинские группировки анонсировали ракетный обстрел по Тель-Авиву в 21:00 в месть за сегодняшний удар по сектору Газа.","⚡️As a result of the Israeli airstrike on Gaza, eight people died, including a five-year-old girl; about 40 others were injured.

Meanwhile, the group ""Islamic Jihad"" confirmed that one of its commanders was among the dead and stated that ""truce with the enemy is not an option."" Israel claimed that 15 terrorists were eliminated in the strike.

In addition, it is reported that Israel has begun a large-scale military operation on Palestinian territories.

Furthermore, Palestinian groups announced they would launch a rocket attack on Tel Aviv at 9 PM as retaliation for today's strike on Gaza.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
82,"Кадры 18+

«Это внучка моя, а вот – жена моя… Ну вот, прилетел снаряд сюда».

Последствия бесчеловечного обстрела ВСУ мирных районов Донецка. Мужчина нашел тела своей жены и внучки, разорванные снарядами украинских нелюдей на бульваре Пушкина.","18+

""This is my granddaughter, and here is my wife... Well, I came back and found their bodies here on Pushkin Boulevard, torn apart by shells from Ukrainian inhumane attackers.""

The aftermath of the inhumane shelling of civilian areas in Donetsk by Ukrainian forces. A man discovered the bodies of his wife and granddaughter, ripped apart by shells from Ukrainian attackers on Pushkin Boulevard.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
83,"🇵🇱🤬🇺🇦 «Хватит цыганить!»

Поляк отчитал украинского беженца, за то что тот пристает к людям и выпрашивает деньги","PL 🤬 UA ""Enough with the begging!""

A Polish person reprimanded an Ukrainian refugee for pestering people and begging for money.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
84,"💥🇺🇦🏴‍☠️**Нацисты уничтожают нацистов🇺🇦:** **ВСУ ударили ракетами по пленным азовцам в ДНР

**Как сообщил, замминистра информации ДНР Даниил Безсонов, сегодня ночью украинцы нанесли удары по колонии в Еленовке, где содержались пленные азовцы, сложившие оружие в Мариуполе. Предположительно, обстрел велся из американского вооружения HIMARS.

40 человек погибли, 130 — получили ранения. Сейчас службы разбирают завалы, число жертв может увеличиться.

__«Военно-политическое руководство Украины, видимо решило избавиться от ненужного баласта»,__ — отметил Даниил Безсонов.","💥🇺🇦🏴‍☠️**Nazis exterminate Nazis🇺🇦:** **Ukrainian forces struck Azovstal prisoners in DNR with rockets**

As reported by Deputy Minister of Information of the DNR, Daniil Bezsonov, Ukrainian forces launched rocket strikes on a detention facility in Yelenovka where captured Azov Regiment fighters were being held after surrendering in Mariupol last month. The strikes reportedly used American HIMARS weapons.

40 people were killed, and 130 were injured. Rescue services are now clearing debris; the death toll may rise.

__""The Ukrainian military-political leadership apparently decided to get rid of unnecessary ballast,""__ noted Daniil Bezsonov.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
85,"18+🇺🇦🇵🇱**Украинцы кошмарят Польшу

**Поляк, видимо, как-то неаккуратно что-то сказал быдло-укробеженцу, за что тот его жестоко избил со словами «Я Украинец»","18+🇺🇦🇵🇱 Ukrainians are terrorizing Poland.

A Pole apparently said something不慎译，继续翻译：
18+🇺🇦🇵🇱 Ukrainians are terrorizing Poland.

A Pole apparently said something inappropriate to a Ukrainian refugee, for which he was severely beaten with the words ""I am Ukrainian.""",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
86,"**⚡️Civilians suspected of sympathizing Ukraine were executed in the Luhansk region**

One of the Russian mercenaries' Telegram channels published photos of the hanged men, who, according to them, had collaborated with the Ukrainian army. They had signs on their chests that read ""Traitor"" and ""SMERSH"" (an organization of Russia’s Luhansk proxies that searches for disloyal individuals).

**⚡️В Луганской области казнили гражданских лиц, подозреваемых в симпатиях к Украине**

Telegram-канал одного из российских наемников опубликовал фотографии повешенных мужчин, которые, по их словам, сотрудничали с украинской армией. На груди у них были таблички ""Предатель"" и ""СМЕРШ"" (организация луганских боевиков России, которая занимается поиском нелояльных лиц).","**⚡️Civilians suspected of sympathizing with Ukraine were executed in the Luhansk region.**

One of the Russian mercenaries' Telegram channels published photos of the hanged men, who, according to them, had collaborated with the Ukrainian army. The men had signs on their chests reading ""Traitor"" and ""SMERSH"" (an organization of Russia's Luhansk proxies that searches for disloyal individuals).

**⚡️В Луганской области казнили гражданских лиц, подозреваемых в симпатиях к Украине.**

Telegram-канал одного из российских наемников опубликовал фотографии повешенных мужчин, которые, по их словам, сотрудничали с украинской армией. На груди у них были таблички ""Предатель"" и ""СМЕРШ"" (организация луганских боевиков России, которая занимается поиском нелояльных лиц).",,,"This post describes a human rights violation involving sexual violence, severe torture, or execution. It includes acts intended to cause extreme suffering, coercion, fear, or death. The emphasis is on serious bodily harm or coercive, violent actions against individuals."
87,"**⚡️Russia shelled Kherson 78 times today**

Fifteen civilians have been killed and 35 wounded in the city. Including one child.

**⚡️Россия обстреляла Херсон 78 раз за сегодняшний день**

В городе 15 погибших и 35 раненых гражданских. В том числе один ребёнок.","**⚡️Russia shelled Kherson 78 times today**

Fifteen civilians were killed and 35 wounded in the city, including one child.

**⚡️Россия обстреляла Херсон 78 раз за сегодняшний день**

В городе погибли 15 гражданских и 35 ранены, в том числе один ребенок.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
88,"**⚡️Zelenskyy published a video of the missile attack on Dnipro**

At the moment, there are 14 casualties, including one child.

**⚡️Зеленский опубликовал видео ракетного удара по Днепру**

На данный момент известно о 14 пострадавших, в том числе одном ребёнке.","**⚡️Zelenskyy published a video of the missile attack on Dnipro**

At the moment, there are 14 casualties, including one child.

**⚡️Zelenskyy published a video of the missile strike on Dnipro**

At the moment, there are 14 casualties, including one child.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
89,"**⚡️⚡️ Two Russian missiles hit the Polish city of Przewodow**

Poland's National Security Council holds an emergency meeting. It is reported that two people died as a result of the explosion.

**⚡️⚡️Две российские ракеты упали на польский город Пшеводов**

Совет национальной безопасности Польши проводит экстренное заседание. Сообщается, что в результате взрыва погибли два человека.","**⚡️⚡️ Two Russian missiles hit the Polish city of Przewodow**

Poland's National Security Council holds an emergency meeting. It is reported that two people died as a result of the explosion.

**⚡️⚡️ Two Russian missiles struck the Polish city of Przewodow**

The National Security Council of Poland convenes an emergency session. Reports indicate that two individuals lost their lives due to the blast.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
90,"⚡️⚡️In Kyiv, the Russians once again hit a high-rise building. The explosions continue.

⚡️⚡️ В Киеве русские ещё раз попали в многоэтажный дом. Взрывы продолжаются.","⚡️⚡️In Kyiv, the Russians once again hit a high-rise building. The explosions continue.

⚡️⚡️ In Kyiv, the Russians hit another high-rise building. The explosions are ongoing.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
91,"**⚡️In Kyiv, a rocket hit a residential building**

According to preliminary information from Kyiv Mayor Klitschko, two rockets hit residential buildings in the central part of the city. The air raid continues.

**⚡️В Киеве ракета попала в жилой дом**

По предварительной информации от мэра Кличко, два ракеты попали в жилые дома в центральной части города. Воздушная тревога продолжается.","**⚡️In Kyiv, a rocket hit a residential building**

According to preliminary information from Kyiv Mayor Klitschko, two rockets hit residential buildings in the central part of the city. The air raid continues.

**⚡️В Киеве ракета попала в жилой дом**

По предварительной информации от мэра Кличко, две ракеты попали в жилые дома в центральной части города. Воздушная тревога продолжается.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
92,"⚡️A military plane crashed in Irkutsk, Russia. According to preliminary information, a Su-30 crashed on a residential house.

⚡️В российском Иркутске разбился военный самолёт. По предварительной информации Су-30 упал на жилой дом.","⚡️A military plane crashed in Irkutsk, Russia. According to preliminary information, an Su-30 crashed into a residential building.

⚡️In Russia, a military plane crashed in Irkutsk. Preliminary information suggests that an Su-30 struck a residential building.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
93,"**Russia damaged more than 400 infrastructure targets in Ukraine
**
The Minister for Communities and Territories Development of Ukraine, Oleksii Chernyshov, said that Russian missiles and Iranian-made drones had struck 408 Ukrainian targets since October 10. The targets included 45 energy facilities and more than 180 civilian buildings.

**Россия повредила более 400 объектов инфраструктуры в Украине
**
Министр по вопросам Развития громад и территорий Украины Алексей Чернышов заявил, что с 10 октября российские ракеты и беспилотники иранского производства поразили 408 украинских объектов. Среди них 45 энергетических объектов и более 180 гражданских зданий.","**Russia damaged more than 400 infrastructure targets in Ukraine.**
The Minister for Communities and Territories Development of Ukraine, Oleksii Chernyshov, stated that Russian missiles and Iranian-made drones hit 408 Ukrainian targets since October 10. These targets included 45 energy facilities and over 180 civilian buildings.

**Russia damaged more than 400 objects of infrastructure in Ukraine.**
Minister for Communities and Territories Development of Ukraine, Oleksii Chernyshov, said that Russian missiles and Iranian-made drones struck 408 Ukrainian objects since October 10. Among them were 45 energy facilities and more than 180 civilian buildings.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
