,Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
77,6978,"📸**Підрозділи 112 бригади тримають оборону Києва і тренуються у пунктах дислокації, аби дати гідну відсіч ворогу. **Бійці відточують майстерність у тактиці й тактичній медицині. Частина підрозділів, що складаються із військовослужбовців-киян, воює на сході та півдні України. Серед бійців є військові, які діляться набутим у боях досвідом. Київ під надійним захистом! (Фото – КМДА, [Олексій Самсонов](https://www.instagram.com/eastwest_ua/?igshid=YmMyMTA2M2Y=))

⚡️**Більше фото:
**▪[️у розділі «Медіа» на сайті КМДА](https://kyivcity.gov.ua/photo/)

⚡️⚡️

**📸The units of the 112 Territorial Defence Brigade are defending Kyiv and training to fight against the enemy.  **The fighters continue to master their skills in tactics and tactical medicine. Some of the units that consist of Kyivans are fighting in the east and south of Ukraine. Soldiers who have experience fighting Russian occupants share their valuable knowledge. Kyiv is safe with such defenders!  (Photo by KCSA, [Oleksii Samsonov](https://www.instagram.com/eastwest_ua/?igshid=YmMyMTA2M2Y=))

**⚡️See more photos:
**▪[️in the Media section of the official KCSA website](https://kyivcity.gov.ua/photo/)",,,,,,
78,6979,"‼️**Міська влада закликає киян не наражати себе на небезпеку та безумовно дотримуватися комендантської години із 23:00 до 05:00

**🚨Комендантська година використовується правоохоронними органами, військовими, спеціальними підрозділами для проведення контрдиверсійних і антитерористичних заходів. Тож порушники наражають на небезпеку себе та інших містян. 

❗️Нагадуємо: заборонено перебувати на вулиці та в інших громадських місцях, переміщатися транспортом без перепустки або пішки. Також у комендантську годину слід дотримуватися режиму світломаскування. 

✔️Виходити можна тільки під час повітряної тривоги – щоб дійти до найближчого укриття. Обов’язково слід мати при собі документи, що посвідчують особу.

❗️Нехтуючи простими речами, ви наражаєте на небезпеку себе та інших. А також створюєте конфліктні ситуації із силами безпеки та оборони міста, що може відволікати їх від виконання важливих завдань.

🙏🏻Будь ласка, будьте свідомими та бережіть себе. Разом переможемо!

▫️▫️▫️

‼️**The city authorities urge Kyivans to remain vigilant and abide by curfew hours from 23:00 to 5:00

**🚨Curfew is used by law enforcement, military, and security forces to perform counter-diversion and anti-terrorist operations. Those who violate curfew are endangering themselves and their fellow citizens.  

❗️Please remember that it's strictly forbidden to be in the streets or public places and move around the city on foot or in any vehicle. During curfew, blackout discipline must be observed.  

✔️One can only leave their homes to head to the nearest shelter if air raid sirens go off. It's imperative to have your identity documents with you.

❗️Disregarding simple rules leads to conflicts and misunderstanding with law enforcement and territorial defense units, distracting them from carrying out important tasks.

🙏🏻Please remain vigilant and stay safe. Together we will win!",,,,,,
79,6980,"⚡️🚎**У зв‘язку з аварією інженерних мереж на вулиці Софіївській тимчасово змінений рух тролейбусів №№ 6, 16, 18 
** 
❗️Маршрут № 6 курсує до станції метро «Лук’янівська», маршрути №№ 16, 18 – до Повітрофлотського шляхопроводу.

↪️Слідкуйте за змінами руху транспорту у Telegram-каналі** **[**Зміни руху | Київпастранс.**](https://t.me/kyivpasstrans)",,,,,,
80,6981,"**Київ: важливе на сьогодні** 🔵🟡

**🚇**Відзавтра тимчасово закриють вестибюлі двох станцій метро.

👶🏻Понад 500 дітей пройшли безкоштовну реабілітацію у київських санаторіях.

🇬🇪**Півсотні членів родин учасників російсько-української війни відправилися на оздоровлення до Грузії. **Грузинська сторона з перших днів російського вторгнення допомагає Україні гуманітарно та надає підтримку українським біженцям.

**Деталі: ****https://cutt.ly/FLCgxUK****

Kyiv: important news** 🔵🟡

**🚇**Starting tomorrow, the lobbies of two metro stations will be temporarily closed.

**👶🏻**More than 500 children received free rehabilitation in Kyiv sanatoriums.

**🇬🇪Fifty family members of participants in the Russian-Ukrainian war have gone to George for rehabilitation. **Since the early days of Russia's invasion, Georgia has been helping Ukraine with humanitarian aid and providing support to Ukrainian refugees.

**More details:** https://cutt.ly/FLCgxUK",,,,,,
81,6982,"⚡️🚇**Відзавтра тимчасово закриють вестибюлі двох станцій метро: вихід зі станції  «Академмістечко» у напрямку Троїцького ринку та вихід зі станції  «Дарниця» у напрямку «Лівобережної»

**❗️Обмеження застосовуються з міркувань безпеки. На період воєнного стану режим роботи станцій визначають правоохоронні органи.

✔️Про відновлення роботи вестибюлів буде повідомлено додатково.

❗️Під час повітряної тривоги, зокрема уночі, працюють ті ж вестибюлі, що й у денну зміну.

↪️Детальний графік руху поїздів та режим роботи станцій: http://metro.kyiv.ua/node/103.",,,,,,
82,6983,"**🐶У столиці запрацював Telegram-бот «**[**Твій вет Київ**](https://t.me/VetHelpKyiv_bot)**» для безоплатних консультацій щодо утримання домашніх тварин

**✔️Як зазначають фахівці, у період воєнного стану факторів, що можуть негативно впливати на стан тварин, стало в рази більше. Тому бот – це допоміжний канал комунікації з власниками тварин.

🐈Консультації надаватимуть ветеринарні лікарі муніципальної клініки, які мають широкий практичний досвід. 

✔️Графік роботи Telegram-боту у режимі консультацій: із 09:00 до 18:00. 

✔️Цілодобово доступна довідкова інформація щодо перших дій у разі отруєння тварини, укусу кліщів або інших комах, графіку профілактичних щеплень і профілактичних оглядів. Також у чат-боті є адреси ветеринарних клінік.

 📲Наразі бот працює в тестовому режимі, згодом функціонал доповнюватимуть.",,,,,,
83,6984,"👩🏼‍⚕️**Обстеження, що виявляє рак грудей навіть на початкових стадіях, сьогодні безкоштовно доступне для кожної мешканки Києва

**▫️Рак грудей – найпоширеніше онкологічне захворювання серед жінок. Лише в Києві щороку такий діагноз встановлюється 1200–1500 жінкам. У 20% випадків – на тих стадіях, коли рак не піддається ефективному лікуванню. Помирає від раку грудей понад 500 киянок на рік. 

❗️Нагадуємо: жінки до 35 років мають раз на рік проходити УЗД-дослідження або, у разі ускладненого сімейного анамнезу, – мамографічне. Жінки 35-40 років направляються на первинну одноразову мамографію. Після 40 років мамолога слід відвідувати щороку і робити мамографію залежно від його рекомендацій. Обов’язково планувати візит до кабінету мамографії раз на один-два роки слід, якщо жінці більше 50.

✔️**За направленням лікаря УЗД молочних залоз та мамографія безоплатні для пацієнтки.** Перелік закладів, у яких працюють кабінети мамографії: https://cutt.ly/DLXx83w

📞У разі виникнення проблем із отриманням направлення або проведенням обстеження, слід звертатися до керівника закладу або на гарячу лінію Департаменту охорони здоров’я: 0442784191.",,,,,,
84,6985,"[​​](https://telegra.ph/file/b965aad0e72b19f9c325b.jpg)Друзі! Перед минулим Днем народження я підкорював особисті вершини. - Стрибав з парашутом, підіймався  на Казбек, підтягнувся на турніку пів сотні разів. А 51-річчя зустрічаю в зовсім іншій реальності. Про подальші рекорди поки мрію. Сьогодні  інші виклики, які потрібно долати. 

Дякую всім, хто поруч, хто допомагає і підтримує!
Особливо дякую нашим воїнам-захисникам!

Ми всі сьогодні боремося. За нашу державу, за незалежність, за наше майбутнє.

Без боротьби перемоги не буває! І всі випробування ми гідно пройдемо, і всі виклики ми подолаємо, і ми переможемо!
Слава Україні!",,,,,,
85,6986,"[​​](https://telegra.ph/file/b8debc854d5a03c86383a.jpg)**Київ: важливе на сьогодні** 🔵🟡

**💔Із 24 лютого у Києві зареєстровано майже 100 тисяч вимушених переселенців, понад 15 тисяч із них – діти.** Вимушених переселенців, які переїхали до столиці з 2014 року, —  більше 270 тисяч. Найбільше із Донецької та Луганської областей, також багато з Харківської, Сумської та Запорізької. 

**🦠Від початку повномасштабної війни у Києві зареєстровано понад 35,2 тисячі випадків захворювання на COVID-19.** У столиці кожен охочий може безкоштовно зробити щеплення проти коронавірусу, зокрема, внутрішньо переміщені особи.

🐶**Більше тисячі людей відвідали День відкритих дверей у тимчасовому притулку для тварин на ВДНГ: нових господарів знайшли 7 собак та 4 котів. **Тимчасовий притулок для тварин працює з кінця березня. За цей час вдалося прилаштувати близько 150 тварин. Багато з них – евакуйовані із зон обстрілів, бомбардувань тощо. 

**🍐Цими вихідними 110 років виповнилося Бессарабському ринку – одній із візитівок української столиці.** Сьогодні Бессарабський ринок поступово стабілізує діяльність в умовах воєнного стану і продовжує залучати до торгівлі  безпосередніх товаровиробників, аби забезпечити мешканців столиці якісними та безпечними продуктами харчування.

**Детальніше: **https://cutt.ly/3LKZdcI

**Kyiv: important news** 🔵🟡

💔**Since February 24, nearly 100,000 forced migrants have been registered in Kyiv, over 15,000 of whom are children.** Over 270,000 forced migrants have moved to the capital since 2014. Most of them come from the Donetsk and Luhansk regions, as well as many from the Kharkiv, Sumy, and Zaporizhzhya regions. 

**🦠Since the start of the full-scale war, over 35,200 cases of COVID-19 have been registered in Kyiv.** Anyone in Kyiv who wants to receive a free jab may do so. Internally displaced individuals can also get vaccinated.

🐶**Over 1000 people visited Open Doors Day at the temporary shelter for animals at VDNG: 7 dogs and 4 cats found new owners.** The temporary animal shelter has operated since late March. During this time, about 150 animals have been adopted. Many of them were evacuees from areas of shelling, bombing, etc. 

**🍐This weekend marks the 110th anniversary of the Bessarabian Market, one of the Ukrainian capital's top destinations to visit. **Today, the Bessarabian Market is gradually returning to normal in martial law conditions and continues to get direct producers to engage in business to provide the capital's residents with safe, high-quality food.

**More details:** https://cutt.ly/3LKZdcI",,,,,,
86,6987,**🍇У Києві цього тижня триватимуть продуктові сільськогосподарські ярмарки – ****https://cutt.ly/gLJEcq4**,,,,,,
87,6988,"⚡️**Із 24 лютого у Києві зареєстровано майже 100 тисяч вимушених переселенців, понад 15 тисяч із них – діти

**✔️Вимушених переселенців, які переїхали до столиці з 2014 року, —  більше 270 тисяч. Найбільше із Донецької та Луганської областей, також багато з Харківської, Сумської та Запорізької. 

💔Не всі, хто знайшов прихисток у Києві, зареєстровані як переселенці, тому сказати реальну кількість людей, які були вимушені покинути свої домівки через російську агресію, складно.

✔️Щоб стати на облік як внутрішньо переміщена особа, необхідно звернутися до управління соціального захисту населення. 

**🤍У Києві працюють консультативні центри для внутрішньо переміщених осіб

**✔️Кожен із внутрішньо переміщених осіб може прийти та отримати консультації щодо пільг, працевлаштування та інших питань, які найбільше його турбують. Також фахівці надають юридичну та психологічну допомогу тим, хто цього потребує.

▫️**Дарницький район** – вул. Ревуцького, 6 (прийом здійснюється щочетверга з 09:00 до 13:00)

▫️**Дніпровський район** – вул. Остафія Дашкевича, 9 (щочетверга з 10:00 до 17:00)

▫️**Деснянський район** – вул. Бальзака, 28 (щочетверга з 10:00 до 14:00)

▫️**Оболонський район** – проспект Оболонський, 22 (Vcenti Hub) (щоп’ятниці з 10:00 до 14:00)

▫️**Святошинський район** – бульвар Ромена Роллана, 13-В (щоп’ятниці з 10:00 до 15:00)

▫️**Солом’янський район** – вул. Волинська, 2 (щосереди з 10:00 до 17:00)

▫️**Шевченківський район** – вул. Білоруська, 11 (щовівторка з 10:00 до 15:00), вул. Володимирська, 51-Б (Vcentri Hub) (щоп’ятниці з 10:00 до 16:00).",,,,,,
88,6989,"**Більше тисячі людей відвідали День відкритих дверей у тимчасовому притулку для тварин на ВДНГ

**🐶Нових господарів знайшли 7 собак та 4 котів. 

✔️Тимчасовий притулок для тварин працює з кінця березня. За цей час вдалося прилаштувати близько 150 тварин. Багато з них – евакуйовані із зон обстрілів, бомбардувань тощо. 

🧡Закликаємо поширити інформацію про собак і котів з тимчасового притулку, які потребують родини, у [Facebook](https://www.facebook.com/shelter.vdng) і подумати про можливість взяти під опіку когось із них.

✔️Притулок розташований за адресою: вулиця Академіка Глушкова, 1, ВДНГ, 16-ий павільйон. Потрапити до притулку можна за попереднім записом: (093-540-12-18) із 10:00 до 17:00.",,,,,,
89,6990,"[​​](https://telegra.ph/file/6028c3ecc7eec2346304b.jpg)Друзі! Зустрівся сьогодні з Надзвичайним та Повноважним Послом США в Україні пані Бріджит Брінк. Повернення Посольства США до Києва та призначення Бріджит Брінк на посаду Посла є важливим політичним сигналом про подальшу підтримку України. І ми це дуже цінуємо. 

Подякував американському народові та Посольству США в Україні за надану Україні та Києву допомогу. Наголосив на необхідності посилення тиску на агресора та посилення санкцій проти росії. А також акцентував на необхідності постачати Україні більше найсучаснішої та найпотужнішої зброї. Вчорашня кривава атака на мирну Вінницю ще раз продемонструвала, що росія продовжує чинити геноцид мирного українського населення і не зупиниться в своєму варварстві. Тож тільки єдність позиції цивілізованого світу, тілтки спільна і потужна підтримка допоможе нам перемогти російського агресора.

Пані Посол запевнила у намірах США і надалі підтримувати Україну, скільки це буде потрібно.
Також ми обговорили ситуацію в Києві та в Україні, нагальні потреби та напрямки нашої подальшої співпраці.",,,,,,
90,6991,"🐶**У тимчасовому притулку для тварин на ВДНГ 17 липня пройде День відкритих дверей

**✔️Із 11:00 до 16:00 гості зможуть погуляти з собаками на території притулку, забрати тварину додому. Крім того, під час події пройде благодійний ярмарок і вікторина з призами, а також працюватиме дитяча зона.

**Місце проведення: **вулиця Академіка Глушкова, 1, ВДНГ, 16-ий павільйон.

🧡Закликаємо поширити інформацію про собак і котів з тимчасового притулку, які потребують родини, у [Facebook](https://www.facebook.com/shelter.vdng) або ж самим подумати про можливість взяти під опіку когось із них.

**__📸Photo: __**Badahos",,,,,,
91,6992,"**Київ: важливе на сьогодні** 🔵🟡

✔️**Київрада ухвалила низку важливих рішень, зокрема про створення ландшафтного заказника «Протасів Яр».** Це вшанування пам‘яті Романа Ратушного, який боровся за збереження Протасового яру зеленою зоною столиці і який героїчно загинув, захищаючи Україну.

🤍**У Дніпровському районі запрацював Центр комплексного консультування для внутрішньо переміщених осіб. **Центри  працюють вже у чотирьох районах міста. Загалом у Києві з початку повномасштабного вторгнення рф зареєстровано 94 тисячі внутрішньо переміщених осіб. Із них 15 тисяч – діти.

🙏🏻**У Контактному центрі 15-51 запрацювала безкоштовна гаряча лінія для підтримки людей, які переживають ПТСР.** Аби поспілкуватися з професійним психологом потрібно зателефонувати на 15-51 та обрати номер «3» у голосовому меню. Сервіс доступний щодня з 08:00 до 20:00.

🚎**У столиці відновлено роботу двох тролейбусних маршрутів – №№ 16 і 23.** Наступною фахівці КП «Київпастранс» ремонтуватимуть ділянку контактної мережі, яку пошкоджено внаслідок збройної агресії рф, на проспекті Перемоги.

👼🏻**За 140 днів повномасштабної війни в Києві одружилися 8 289 пар і народилися 4 906 малюків**:  2 598 хлопчиків та 2 308 дівчаток.

**Детальніше:** https://cutt.ly/FLYnmDM

**Kyiv: important news** 🔵🟡

✔️**The Kyiv City Council adopted a number of important decisions, including the creation of the Protasiv Yar Landscape Reserve**. The decision was made in the memory of Roman Ratushnyi, who fought for the preservation of the Protasiv Yar as a green zone of the capital and who heroically died defending Ukraine.

**🤍The Help Center for Internally Displaced Persons has opened in the Dniprovskyi district.** Consultation centers are already open in four districts. Since the beginning of Russia’s wide-scale invasion, 94,000 internally displaced persons, including 15,00 children, have registered in Kyiv.

**🙏🏻The city's 15-51 Contact Center has opened a hotline to help people suffering with PTSD. **To talk to a professional psychologist, call 15-51 and press 3 in the voice menu. The service is available daily from 8:00 to 20:00. 

👼🏻**During the 140 days of full-scale war, 8,289 couples in Kyiv have tied the knot and 4,906 babies have been born**: 2,598 boys and 2,308 girls. 

**More details:** https://cutt.ly/FLYnmDM",,,,,,
92,6993,"[​​](https://telegra.ph/file/941ff01ecb8a67a60fdbc.jpg)Дуже радий був привітати сьогодні Ліну Василівну Костенко, яку в посольстві Франції нагородили найвищою нагородою Франції - Орденом Почесного легіону.

 Для мене Ліна Василівна - уособлення духу і гідності українського народу. Людина, яка ніколи не ламалася під часи і обставини, не зраджувала свої принципи. Її творчість надихала і надихає українців боротися за свободу і ніколи не опускати рук. Це дуже важливо!

 Лицарський орден, який отримала Ліна Костенко вона присвятила нашим воїнам.  
«Немає часу на поразку» - це рядок Ліни Василівни.
І так і є! У України немає часу на поразку. Ми повинні перемогти!
Слава Україні!",,,,,,
93,6994,"🚧**На вулиці Шовковичній частково обмежать рух із 15 липня до 15 серпня

**✔️Розпочинається ремонт окремих ділянок вулиці: оновлюватимуть бруківку на проїжджій частині, а також покриття тротуарів. 

❗️Роботи виконають на ділянці від вул. Дарвіна до вул. Басейної.",,,,,,
94,6995,"⚡️[**Віталій Кличко:**](https://t.me/vitaliy_klitschko/1473)** Київрада схвалила рішення про створення ландшафтного заказника «Протасів Яр»

**«Створення заказника – це вшанування пам‘яті Романа Ратушного і свідчення того, що його справа і справа багатьох киян, які боролися за цю зелену зону, була не марною. «Протасів Яр» врятували від забудови. Він є ландшафтним заказником! І буде радувати не одне покоління киян», – зазначив мер столиці.

** ✔️Депутати також **[схвалили рішення](https://t.me/vitaliy_klitschko/1474)** про створення військового кладовища і місць почесних поховань захисників України**. А також надали дозвіл на розробку проекту землеустрою для військового кладовища вздовж вулиці Олени Теліги у Шевченківському районі столиці. Йдеться про символічне місце поряд із урочищем Бабин Яр.

✔️Ще одне із сьогоднішніх [рішень Київради](https://t.me/vitaliy_klitschko/1475) – про те, що** місто надаватиме фінансову допомогу учасникам добровольчих формувань територіальної громади столиці, які виконують бойові завдання.
** 
✔️Також місто запровадило заохочувальну відзнаку Київського міського голови для цивільних, які під час широкомасштабної агресії росії виявили мужність та патріотизм і своєю професійною або волонтерською діяльністю сприяли обороні столиці.",,,,,,
95,6996,"Російські терористи з оскаженілістю продовжують чинить геноцид мирних українців. Сьогоднішні моторошні кадри з Вінниці - свідоцтво того, що росія не зупиниться в своєму варварстві.

Тільки нищівні санкції проти агресора, жодних умиротворень! Тільки сучасна і потужна зброя для України. І єдність позиції цивілізованого світу, який не хоче бути знищений кривавими дикунами.",,,,,,
96,6997,"[​​](https://telegra.ph/file/27262380109a30519d90f.jpg)⛈**Завтра вдень у Києві очікується гроза – Укргідрометцентр

**❗️Нагадуємо мешканцям, що під час сильного вітру необхідно триматися подалі від рекламних щитів, ліній електропередачі, дерев, а також не паркувати поряд із ними автотранспорт.

🚜Під час грози на місцях можливих підтоплень дорожньої мережі чергуватиме спецтехніка КК «Київавтодор». Загалом комунальна корпорація має 91 одиницю спецтехніки і спецзасобів для ремонту й очистки системи зливової каналізації. Зокрема, мотопомпи, гідромонітори, насосні станції.

📞У разі підтоплень проїжджої частині чи тротуарів звертайтесь до диспетчерської: 044-284-74-19.

🚒При падінні дерев чи гілок, при травмуванні людей тощо негайно інформувати екстрені служби: 101 або 103. Телефон КАРС: 044-430-37-13.",,,,,,
97,6998,"**📞У Контактному центрі 15-51 запрацювала безкоштовна гаряча лінія для підтримки людей, які переживають ПТСР

**🙏🏻Дипломовані психологи допоможуть подолати стресові розлади та навчать, як упоратися з наслідками психологічної травми, регулювати психологічний стан в умовах війни тощо.

**📞**Аби поспілкуватися з професійним психологом потрібно зателефонувати на 15-51 та обрати номер «3» у голосовому меню.

**✔️**Сервіс доступний щодня з 08:00 до 20:00. Дзвінки є анонімними та конфіденційними.",,,,,,
98,6999,"🚧**На Дегтярівському шляхопроводі і під ним до 31 серпня частково обмежено рух транспорту

**✔️Нині рух частково обмежено на шляхопроводі (вул. Дегтярівська) у напрямку просп. Перемоги, а також у крайніх правих смугах на вул. О. Довженка під шляхопроводом. 

❗️Під час виконання робіт зона обмеження руху може змінюватись.",,,,,,
99,7000,"[**Віталій Кличко **](https://t.me/vitaliy_klitschko/1471)**закликав депутатів Київради ухвалити рішення про створення ландшафтного заказника «Протасів яр»
** 
Над проектом цього рішення працювали разом з Романом Ратушним, який боровся за збереження Протасового яру зеленою зоною столиці. І який героїчно загинув, захищаючи Україну від навали російських варварів.

**«**Ми вшануємо ім'я Романа і доведемо, що справа його і багатьох киян була не марною. «Протасів яр» буде ландшафтним заказником! 
Я звернувся до депутатів з вимогою, щоб в перерві після засідання з воєнних питань зібралися земельна та екологічна комісії, які не зібралися зранку. І щоб вони підтримали правки громади**»**, – зазначив Віталій Кличко.",,,,,,
100,8701,"**Украинцы в Польше выплатили почти столько же налогов, сколько Польша потратила на помощь нам

**Данные Ukraine Support Tracker, Bartosz Маrczuk и Польского фонда развития.

Кэшбек по-украински.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
101,8702,"⚡️**Мэр Киева Кличко не исключает, что в случае обстрелов жители города могут остаться без тепла до весны (!)

**""Если в течение 24 часов при температуре -5 внешней не будет отопления и воды, нам **нужно будет сливать системы отопления в Киеве, потому что это может привести к повреждению систем жизнеобеспечения.** Мы будем вынуждены сливать воду. Это означает, что **до весны подать воду будет очень сложно. И до начала весны будут сложные вызовы**"", — заявил он.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
102,8703,"**Кто-то зачем-то смоделировал сброс ядерных бомб в 50 и 100 мегатонн на Киев**🤷🏻‍♂️

А надо бы на Москву.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
103,8704,"**Президент Зеленский встретился с британским путешественником, писателем и ведущим программы канала Discovery ""Выжить любой ценой"" Беаром Гриллсом

**Дал ему несколько уроков по выживанию😉

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
104,8705,"⚡️**Киевлян призывают сделать запасы воды, продуктов длительного хранения и теплых вещей на случай полного блэкаута, а по возможности вообще переехать в пригород

**Об этом [заявил](https://ru.interfax.com.ua/news/general/875738.html) мэр города Кличко. Также он добавил, что в Киеве **обустроили 430 пунктов обогрева**, но ""это не панацея. В городе Киев на сегодняшний день находится 3,5 млн людей. 430 пунктов обогрева? **Смешно. И 500 не поможет, и 5 тыс. будет слишком мало"".

**Зима будет сложной.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
105,8706,"**⚡️Все 30 стран НАТО согласны с необходимостью предоставления Украине членства в Альянсе, — **[**вице-премьер**](https://www.dsnews.ua/politics/u-nato-ye-konsensus-shchodo-vstupu-ukrajini-do-alyansu-stefanishina-01122022-470305)** по вопросам европейской и евроатлантической интеграции Стефанишина.

**""Члены НАТО подтвердили, что двери перед Украиной открыты. Это новый мощный сигнал, и очень важно, что он показывает: никто не боится давления РФ"", — заявила она.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
106,8707,"**⚡️Украинским военным разрешат уходить в отпуск во время военного положения** **на срок до 10 дней 

**Рада приняла соответствующий [законопроект](http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=74977) в целом. Это значит, что бойцы ВСУ теперь могут уходить в **отпуск на 10 дней (без учета дороги) с сохранением при этом денежных выплат. **Для проезда в пределах Украины к месту проведения отпуска и обратно **дают не более двух суток в один конец. 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
107,8708,"**СБУ таки добралась до Киево-Печерской Лавры и сообщила о подозрении священнику, на богослужении которого **[**прославляли ""русский мир""

**](https://t.me/ukrinformator/28988)[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
108,8709,"⚡️**Российские корабли в Черном море собирают разведданные для возможного нового удара по Украине. Вражеские носители ракет уже снаряжены и подготовлены. Нужно быть готовыми к массированной ракетной атаке, потому что это одно из средств истощения нашей ПВО, — спикер ОК ""Юг"" Гуменюк

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
109,8710,"**⚡️Два МиГ-31К, которые были подняты в РБ, улетают из Беларуси в Россию на аэродром ""Саваслейка"" в Нижегородской области**, — Беларускі Гаюн🤔

Там находится филиал 4-го Государственного центра подготовки авиационного персонала и войсковых испытаний МО РФ. 

**UPD: в РФ улетели 3 МиГ-31К.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
110,8711,"**❗️По всей Украине кроме Крыма звучит воздушная тревога

**По имеющейся информации в Беларусских Мачулищах зафиксирован взлёт МиГ-31, носитель ""Кинжалов"".

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
111,8712,"**Вы не поверите, но россияне опять собираются брать Киев🤡

**""Я действительно глубоко убежден, что **мы Киев будем брать, не освобождать.** Мы освобождаем Донбасс. Все остальное мы будем брать, так же, как мы брали Вену, Берлин, Будапешт"", — заявил один идиот Рогозин другому идиоту Соловьеву.

Русня так и не поняла, что брать они могут только за щеку.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
112,8713,"**Подзвонив з невідомого номера наче представник оператора чи банку, попросив код з SMS, який попередньо було відправлено, вимагає повідомити дані банківської картки? Це – шахрай! 😤

**Співробітники мобільного оператора не телефонують абоненту із проханням назвати персональні дані, коди з SMS-повідомлень, дані банківської картки або паролі.

Якщо ви отримали подібний дзвінок: 
🔹 не розголошуйте PIN-код та СVV-код карти, одноразовий пароль із SMS незнайомій людині, навіть якщо вона називає себе представником авторитетної установи
🔹 покладіть слухавку
🔹 якщо до вас звернулись в месенджерах, припиніть спілкування
🔹 зателефонуйте на гарячу лінію банку або оператора та повідомте номер шахрая
Будьте в безпеці! #НазустрічПеремозі

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
113,8714,"**Украденный орками в Херсоне украинский енот родину не предаёт: он пытался совершить ""диверсию"" и едва не откусил коллаборанту Сальдо палец

**Так держать, солдат💪🏻

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
114,8715,"**""Когда будет ракетный обстрел, власти обязательно вас об этом будут сообщать. Не надо жить постоянно в ожидании каких-то неприятностей. Живите своей жизнью, которая и так сложна""**, — секретарь СНБО Данилов

Выдыхайте до следующего уведомления.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",,,,,,
