Post,Label,Type
"В Питере мужик решил сделать доброе дело и предложил местному попрошайке работу с окладом 60к рублей в месяц.

В ответ пиздабол заявил, что хочет получать **минимум 90к и при этом сидеть в офисе**.

Знаете себе цену или просто ахуел?",No,
"**⚡️Need to be confirmed**: The Armed Forces of Ukraine have taken full control of the cities of Bucha and Gostomel near Kyiv.

**⚡️Awaiting Confirmation**: The Armed Forces of Ukraine have taken full control of the cities of Bucha and Gostomel near Kyiv.",No,
"**Пять сценариев развития войны в Украине в 2023 году **[**от BBC

**](https://www.bbc.com/news/world-us-canada-63987113)Среди вариантов развития событий:
[▪️](https://t.me/ukrinformator)**РФ проведет решающее контрнаступление** и его исход станет ключевым фактором. ""Но никогда **нельзя исключать возможность того**, что **Киев начнет своё неожиданное новое наступление**"";
[▪️](https://t.me/ukrinformator)**Украина вернёт всю захваченную территорию до начала лета**. В ближайшие месяцы, а **может даже недели Мелитополь** станет ключевым боевым пунктом, после чего **ВСУ дойдут до Азовского моря, отрезав Крым от России.** Украина, Великобритания[,](https://t.me/ukrinformator) США сформируют новую архитектуру международной безопасности, а **Россия капитулирует**[;
](https://t.me/ukrinformator)▪️**Украина победит, продвигаясь медленно, но уверенно. К концу 2023 Крым** **будет полностью под** **украинским** **контролем**;
▪️**Ожесточенное противостояние и контрнаступления обеих сторон**[.](https://t.me/ukrinformator) Тогда РФ сосредоточится на Донбассе, а Украина в первую очередь попытается вернуть Луганщину и Мелитополь;
▪️**Война затянется и не завершится до конца 2023**[.](https://t.me/ukrinformator) Тогда изменения произойдут внутри России, когда элитам эта война станет поперек горла – так заканчивался Вьетнам для США и Афганистан для СССР.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Вы не поверите, но события в Украине уже были предсказаны в американском сериале «Мадам госсекретарь», который снимался в 2014-2019 годах.",No,
"🚌**Столичні автобусні маршрути № 69 та № 90 відновили роботу за постійними схемами руху

▪️**[автобус № 69](https://kpt.kyiv.ua/schedule/bus/69)** **курсує  від вул. Литвиненко-Вольгемут до ст. м. «Палац спорту»
**▪️**[автобус № 90](https://kpt.kyiv.ua/schedule/bus/90)** **— від площі Валерія Марченка до вул. Григоровича-Барського.

✔️На сьогодні в місті здійснюють перевезення:

🚌158 автобусів на 65 маршрутах
🚋90 трамваїв на 18 маршрутах
🚎135 тролейбусів на 31 маршруті.

✔️731 автобус приватних перевізників працює на 98 маршрутах.

**▶️Перелік актуальних маршрутів за посиланням – **https://bit.ly/3xB5UPD.",No,
"🤡На Хилми (транса и друга Корейки), напал мигрант из Таджикистана",No,
"**⚡️More than 60 settlements have been liberated in Kherson Oblast as of now. Stabilization measures are ongoing in Kherson itself, — Zelensky

Specialists have already found and rendered safe approximately 2,000 mines and booby traps in the region. Critical infrastructure was destroyed by the occupiers, so locals are advised to be extremely cautious.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
Western lend-lease partners continue to supply modern weapons to the Ukrainian nationalists😱,No,
"**Zelenskyy: The task of the Armed Forces of Ukraine is to de-occupy the entire territory of our country**

This is how he commented on the issue of plans to de-occupy the south, which were recently announced by Defense Minister Oleksii Reznikov. According to the president, he can no longer disclose the details of any plans of the military command.

**Зеленский: Задача Вооруженных сил Украины - деоккупировать всю территорию нашей страны**

Так он прокомментировал вопрос о планах по деоккупации юга, о которых недавно заявил министр обороны Алексей Резников. По словам президента, он больше не может разглашать детали каких-либо планов военного командования.",No,
"**⚡Turkey says Russia, Ukraine to sign U.N. grain export deal Friday**

Russia, Ukraine and Turkey will gather on Friday to sign a deal proposed by the United Nations to free up grain exports from Ukraine's Black Sea ports, Turkish President Tayyip Erdogan's office said. Yesterday, Ukrainian MP and negotiator Rustem Umerov said that there is an agreement to de-block three Ukrainian ports in the Black Sea.

**⚡Турция заявила, что Россия, Украина подпишут соглашение ООН по экспорту зерна в пятницу**

Россия, Украина и Турция соберутся в пятницу для подписания соглашения, предложенного ООН, чтобы разблокировать экспорт зерна из черноморских портов Украины, сообщила канцелярия президента Турции Тайипа Эрдогана. Вчера украинский депутат и участник переговоров Рустем Умеров заявил, что существует договоренность о разблокировании трех украинских портов в Черном море.",No,
"The head of Chechnya, Ramzan Kadyrov, reported that he has prepared an ""interesting surprise"" for the ""Ukrainian bandits"" from the ""Akhmat"" special unit, but decided to keep all the cards close to his chest for now.",No,
"**Celebration of Navy Day

**Yesterday, at the embankment by the Ural in Orenburg, men organized a mass fight.

What for and why - it's unclear.",No,
"⚡️**Zelenskyy on negotiations: Russia is not offering dialogue, it is offering us to surrender and accept their ""peace""**

“This is not dialogue, this is a terrorist who feels empowered and ruthless to human life. They tie our hands, cut off our tongue, and then say they are ready to talk,” the president said.

⚡️**Зеленский о переговорах: Россия не предлагает диалог, она предлагает нам сдаться и принять их ""мир""**

""Это не диалог, это террорист, который чувствует свою силу и беспощаден к человеческой жизни. Они связывают нам руки, отрезают язык, а потом говорят, что готовы разговаривать"", - сказал президент.",No,
💥💥💥🇷🇺Боевая работа русской пары пулеметчиков по укробоевикам🇺🇦,No,
"**Видеоинструкция от украинцев — как сделать русских виноватыми.

**Занимаете позиции в частных домах мирных жителей. Бухаете хозяйское вино и устраиваете лютый срач внутри дома. Дожидаетесь, когда русские вычислят вашу позицию (ждать недолго) и начнут наносить по вам удары. Тикаете всей гурьбой до следующего дома, оттуда снимаете фото и видео, как догорает предыдущий. Постите в интернет с рассказами о том, как русские бомбят мирных жителей. Вас радостно подхватывают западные СМИ. Вы херой. Профит!",No,
"Ukrainian artillery units continue to remotely mine Donetsk. Local sources published a map showing the suspected dispersal of PFM-1 mines in the city center this evening.

@epoddubny",No,
"Встретились как-то...

Россиянка рассказала, что украинец чуть не избил её в парижском метро из-за того, что она **разговаривала на русском**. К счастью для неё, рядом оказались полицейские",No,
"In Bucharest, a truck from the famous Coca-Cola advertisement caught fire.",No,
"❗️ **In Kyiv and Odessa early this morning, ""Geraniums"" were sighted again.**

Several explosions have been reported.",No,
"**Children in Russia may be allowed to work from 14 years old due to sanctions introduced after the invasion of Ukraine.**

No written consent from parents or guardians is required for employment.

Finished 7th grade—go to work.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available in:**

**🇬🇧**[**English**](https://medium.com/p/a8a859cd25e9)
**🇺🇦**[**Ukrainian**](https://medium.com/p/d7649f1ec374)
**🇩🇪**[**German**](https://medium.com/p/fb8abed50904)
**🇫🇷**[**French**](https://medium.com/p/3009f162b38a)
**🇹🇷**[**Turkish**](https://medium.com/p/78841fbfd413)
**🇷🇸**[**Serbian**](https://medium.com/p/1f6cf37dd833)
**🇷🇺**[**Russian**](https://medium.com/p/975be8a364e6)

**Please share our recap with all of your friends and colleagues.**",No,
"Dear friend, here we once again encounter issues with RUKs and the availability of reconnaissance means for troops in general.

@epoddubny

https://t.me/vysokygovorit/9328",No,
"Friends! Thanks to our foreign friends and partners whom we turned to and who support Ukraine and Kyiv in the fight against the Russian aggressor, Kyiv has received another batch of special vehicles and equipment. And we have already delivered them to the city's emergency responders and medics.

This includes 12 fire trucks and rapid response ambulances from German and Polish partners, as well as rescue equipment from Switzerland.

Now our city is better equipped to protect itself from fires, especially given the rocket attacks. Because today, in wartime conditions, it is extremely important for us to react quickly and effectively to save lives. And the city of Kyiv is doing everything possible to ensure that our services have all the necessary resources.",No,
"🧯**В Москве на Ленинградском шоссе горит ТЦ «МЕГА Химки»
**
▪️Пожар охватил 18000 кв. метров;

▪️Информации о пострадавших пока не поступало.

По нашим данным, одна из возможных версий причин пожара в Мега-Химки — поджог.",No,
"⚡️**Argentina's team surprisingly loses to Saudi Arabia 1-2 in the World Cup in Qatar.** Before this, Argentina hadn't lost for 36 consecutive matches.

**The commentator's reaction to Saudi Arabia scoring against Argentina **🥲

as if summoning the devil",No,
"«**Бьет в дверь молотком, обливает мочей и говном**».

В Тюмени поехавшая шизобабка 6 лет терроризирует соседа, обвиняя его в том, что из **его квартиры исходит жуткая радиация**.

Ремейк «Как достать соседа».",No,
"**UPDATE**: The mayor of Skadovsk, Yakovlev, stated that Russians had released him and asked people not to panic.",No,
"**⚡️The Russian Ministry of Defense called the statements from Poland about the fall of ""Russian"" missiles a ""provocation aimed at escalation"" 🤡

""No strikes on targets near the Ukrainian-Polish state border using Russian weapons systems were carried out.""**

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Romanticism of the Total Kyiv Blackout

Judging by the photos, the city's street lighting is dimmed, the pedestrian bridge over the Trukhaniv Island has its lighting turned off, and there is no street lighting on Podil and Maidan.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"A Ukrainian woman showed her ""kindness and reasonableness.""",No,
"⚡️**Reznikov: At the beginning of January, Russia will close its borders, declare martial law and a new wave of mobilization**

Ukrainian Defense Minister urged Russians to avoid mobilization at all costs to save their lives. He added that travel abroad will also be closed in Belarus.

**⚡️Резников: В начале января в России закроют границы, объявят военное положение и новую волну мобилизации**

Министр обороны Украины призвал россиян любой ценой избегать мобилизации, чтобы спасти свою жизнь. Он также добавил, что выезд за границу будет закрыт и в Беларуси.",No,
"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/2fd3753ae80f)
**🇺🇦**[**Ukrainian**](https://medium.com/p/6638819a2ffb)
**🇩🇪**[**German**](https://medium.com/p/122139964afc)
**🇫🇷**[**French**](https://medium.com/p/23c2dbbd3ae4)** **
**🇪🇸**[**Spanish**](https://medium.com/p/98651f3582fd)
**🇧🇬**[**Bulgarian**](https://medium.com/p/fd1cefcfe686)
**🇷🇸**[**Serbian**](https://medium.com/p/95547f984b98)
**🏳**[**Russian**](https://medium.com/p/6e283482cf)** **

**Please share our recap with all of your friends and colleagues**",No,
"Clips from the front line near Red Lysynka. Red Lysynka, Torchansk, and the roads are fully under the control of Russian soldiers.",No,
"**The losses of the Ukrainian Armed Forces amount to about 13,000 military personnel.

This was stated by Oleksiy Apatanovych, advisor to the head of the Office of the President. He reported that according to official estimates from the General Staff, the number of casualties ranges from 10,000 to 12,500 to 13,000.

""Yes, we have more casualties due to injuries.""

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Ukrainian doctors doubt whether the advance was worth the cost in casualties.
The head of an intensive care unit treating the wounded told The Wall Street Journal that the military had warned him about the upcoming advance a week in advance, reviving hopes for quick victories.

""But when they started bringing in such a large number of wounded, to be honest, I felt sorry for them and began to wonder if it was worth it at such a cost,"" the doctor said. ""I don't know. There's no right answer here.""

The doctor said he felt on the verge of breaking down because he was dealing with more soldiers than in the first weeks of the war.",No,
"В Екатеринбурге таджик хотел развести школьницу на интим, но переписку увидел её брат и вызвал пошлого иностранца выйти 1 на 1. Брат пришёл один, **таджики тоже пришли одни и избили защитника**.

Судя по переписке, приезжий предлагал девочке провести время вместе, даже несмотря на отказы. Когда сообщения увидел её старший брат, парень разгневался и предложил сыну Душанбе поговорить лично.

Бородач приехал не один, а в сопровождении друзей. На видео — последствия «разговора». Избитого забрали в больницу с побоями. Заявления в полицию никто не написал",No,
"⚡️**""War is serious; it's nothing like those Chechen wars or anything.""**

Evgeny Prigozhin delivers a speech to inmates in one of the Mordovian prisons, convincing them to go to Ukraine to fight. He promises amnesty for those who agree to go to war within six months.",No,
Что это?,No,
"In Voronezh, an autodiyter illuminated the fuel tank with a lighter.

What could have gone wrong?...",No,
🔥 Mass explosions continue in occupied Sevastopol,No,
"**Жан Клод Вандам интегрировался на Украине и выучил местную кричалку

**Жан, если тебя держат силой - моргни два раза.",No,
"**⚡️In Kremenchuk and the surrounding area, the city's heating system is not working due to a lack of electricity,** — the mayor said.

[Source: Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
Odessa romance🇺🇦,No,
Купальный сезон в Одессе 2022,No,
"**The former German colony is seeking to join the Donetsk People's Republic.

**▪️Residents of the Rozovsky district in Zaporizhzhia Oblast have already exercised their right to self-determination and held a referendum.

▪️ Just three years ago, the population here was 8,400 people.

▪️The distance from the district center to Mariupol is 50 km. The area of the district is 610 km². The population here is multi-ethnic: Russians, Ukrainians, Moldovans, Greeks, and Romanians.

▪️The economic sector mainly consists of agricultural enterprises.

▪️The history of Rozovka began in 1788 when German colonists founded the settlement of Rosenburg.

▪️With the start of what is called the ATO (Anti-Terrorist Operation), the district became a frontline area. Local roads quickly deteriorated under the impact of tracked vehicles.

▪️Russian military forces denazified the ammunition depot in Rozovka at the very beginning of the special operation.

▪️In March, forces from the DPR and Russia entered the settlement. Denis Pushilin and Andrei Turchak, secretary of the general council of United Russia, raised",No,
"**Бахмут** **сейчас. Ад на земле

**Русня будет гореть на этом и том свете за все это.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
На сочинских курортах даже банан спокойно ~~пососать~~ покушать не дают...,No,
"⚡️**В Украине уже функционируют 73% мобильных сетей**, — Минцифры

По словам министра Федорова, самые большие **проблемы с мобильной связью с Запорожской и Донецкой областях**.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Good morning, we are from Russia.

Launch of cruise missiles from the Black Sea into the military infrastructure of the Ukrainian armed forces.",No,
"A huge number of casualties and wounded - this is the price of the ""counteroffensive"" by the Ukrainian Armed Forces (VSYU).",No,
Consequences of the artillery attack on Golyvchino village in Belgorod region by Ukraine.,No,
"Despite the threat of encirclement, the enemy continues to reinforce Severodonetsk with additional forces and equipment. At least two fresh battalions from territorial defense units have been transferred there, along with armor. Kiev's regime artillery is firing from the west bank of the Sievierodonets River.

@epoddubny",No,
"На Тайване прошел ЛГБТ-парад в поддержку Украины

Новый гендер открыли получается?",No,
"The mayor of Belgorod-Dnestr, Ukraine (Odessa Oblast), had a not-so-great day today 😁",No,
"""Ban the dumb Elena 33!""",No,
"During the withdrawal from Lysychansk, Ukrainian forces detonated the city's heating plants and water supply facilities. The heating plants were completely destroyed; in particular, those supplying heat to kindergartens and medical facilities, according to local administration officials.

Additionally, Ukrainian formations blew up all bridges and underpasses leading into the city. The destruction of road infrastructure currently prevents regular food supplies from being delivered to the city.

@epoddubny

Collection for the residents of Donbass (DNR, LNR) and liberated areas of Ukraine.

MIR card: 2202 2032 5864 7967

BTC: bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80

ETH: 0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208

XRP: rfmFjVDUa7z1a2XC74yQpirdzk76AtCqiZ

LTC: LPxD7gErrWSqqwYvmvuzR",No,
"Nothing unusual, just some Circassian gypsies from Stavropol gathered humanitarian aid for the soldiers👍

Now your world will never be the same!",No,
"Вот такое письмо пришло с предложением бесплатной специализированной помощи ветеранам СВО.

«Я врач-онколог, г.Москва. Моя специализация - хирургия злокачественных опухолей кожи лица (методика Mohs - с интраоперационным гистологическим контролем полноты удаления) https://t.me/skin_oncology. А также «мелкая» дерматоонкология - удаление всех видов новообразований кожи лица и тела.

Клиника частная. Но я с удовольствием бы хотел помочь нуждающимся в подобной помощи Нашим Воинам, членам их семей и жителям освобождённых территорий.

**Ветеранам боевых действий все процедуры в нашей клинике мы сделали бесплатными, членам их семей – в полцены. **

Мы можем в некотором количестве бесплатно выполнять подобные операции также и жителям освобожденных территорий. С бесплатным нахождением в палате дневного стационара и бесплатным медикаментозным обеспечением. Также можем оплачивать их проезд от места жительства до Москвы и обратно».

@sashakots",No,
"🗣🇺🇦**«Вы не патриоты, вы оборотни!»**

Обращение к «укропатриотам» ㅤ",No,
Соседи бывают разными,No,
"🚀RU**Good morning, we are from Russia**",No,
"🇷🇺🤝 **Владимир Путин заявил о поддержке Донбасса и освобожденных земель

**""Москва будет поступать так, чтобы жители Донбасса и других освобожденных территорий почувствовали поддержку **всей России**. РФ будет работать над **повышением безопасности** на освобожденных территориях"", — пообещал президент.

По его словам, Россия будет **защищать свою землю** всеми имеющимися силами и средствами. Безопасность граждан, по его словам, — **великая освободительная миссия русского народа**.

Владимир Путин также подчеркнул, что США и коллективному Западу не нужна Россия, ""**она нужна нам**"".

""Мы защитим наши ценности и нашу Родину от Запада"" — пообещал российский лидер.

[putin_life](https://t.me/putin_life)",No,
"В симферопольской школе пездюк несколько раз ударил своего одноклассника ножом, потому что он **быстрее его пробежал на физре**.

По словам учеников, ахуевший школяр по имени Герман потребовал от оппонента извиниться за такую наглость на коленях, а наткнувшись на стену игнора — достал нож и нанёс несколько ударов.

Сейчас пострадавший в реанимации, он находится в тяжёлом состоянии. Дети рассказывают, что маленький зверь не первый раз проявляет агрессию",No,
"ДНР: Новым гумкоридором из ""Азовстали"" никто не воспользовался.

@epoddubny",No,
"The SBNU staff are so stern that they blur even cats' faces 😏

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
And which one is the real deal in the end?,No,
"Energy Derevka was subjected to a heavy artillery attack. The Nazis are striking in the area of the Zaporizhzhia Nuclear Power Plant.

It's because of this monkey with a grenade that peace is now under threat.",No,
"**This is pure cringe.

**Black slaves from Zimbabwe are smuggling cigarettes into South Africa.",No,
"Haha! The ""We Will Turn Your Illness into a Heroic Deed of the Day"" prize goes to Arестович, who transformed an extraction into an offensive operation.

""We lured Russian troops into a trap in Severodonetsk by pretending to surrender the city. They reported taking it, but our forces launched a fierce counterattack and are now annihilating the Moscow comrades—despite their superiority in aviation and artillery.""

It's even funnier that Serhiy Gaidai, the ""head of the Luhansk OVA,"" didn't comment on this nonsense:

""I'll just say this: our defenders are indeed succeeding in conducting certain localized military operations and achieving success in these operations, which gives us hope that this will continue to happen in the future,"" he tried to deflect.

In the photo, if you're wondering, is the only bridge connecting Severodonetsк and Lysychansk. The chances for the remaining suicidal militants to retreat are extremely slim. All hope rests on ""evacuation.""

@SashaKots",No,
Последствия удара по Ладыжинской ТЭЦ (Винницкая область Украины🇺🇦),No,
"**❗️В Днепре осколки российского снаряда попали в заправку БРСМ. Пожар уже тушат

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**True Ukrainian Patriot**:

""Honor to Ukraine! Welcome to Ukraine, bitch! Marijuana, salt, speed! I want to fuck!""",No,
"From early morning, the Ukrainian Armed Forces (VСУ) are shelling multiple areas of Donetsk, including rear areas.

Fires of significant scale are reported at all locations hit by the shelling.

In the Budynkovsky district, there was a direct hit on the market area. There are casualties.

@epoddubny",No,
"🇷🇸🏳️‍🌈**Белград сейчас

**ЛГБТ-шники начали своё шествие, а в это время полиция, защищая их НЕЗАКОННОЕ мероприятие, сталкивается с гражданами, вышедшими против парада.",No,
"**Subtle hints from OP Head Yermak have arrived😏**

**[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)**",No,
Some men from Kyiv began doing **military-style nail art with Azov symbolism**.,No,
"The Roscomnadzor stated that blocking Telegram in Russia at the moment is excluded. However, some links on t.me are still blocked.",No,
"🚷**⚡️The ""Berezhayska"" metro station has resumed operation – trains are allowing passengers on and off.

**❌Trains will not stop at the ""Maidan Nezalezhnosti"" and ""Klovskaya"" stations.

✔️Transfer hubs are operating: ""Zoloti Vorota"" – ""Teatralna"", ""Plats Lva Tolstogo"" – ""Palace of Sports"".

Train schedules in the metro:

🔴**Red Line**: from ""Akadememistechko"" to ""Teatralna"".

🔵**Blue Line**: from ""Heroiv Dnipra"" to ""Teremki"".

**🟢Green Line**: from ""Sirets"" to ""Chervonohutir"" with a transfer at ""Vidubichi"".

✔️The metro operates from 07:30 to 19:00. The average interval between train departures on the lines is approximately one hour.

Please note that the operating schedule may change quickly as needed. Underground metro stations are always open as shelters for people.",No,
Biden's victory was due to the jacket.,No,
"❗️Как говорится, від подпісников:  ВСУшники гоняют по городу в школьных автобусах. Боевики формирований киевского режима используют гражданский, социальный транспорт для скрытного перемещения все время, что длятся боевые действия.

Они же дети?

@epoddubny",No,
"❗️**ФСБ отчиталась о задержании 68 подпольных оружейников в 31 регионе России.**

У них изъяли более 300 единиц огнестрельного оружия, тысячи патронов и почти 20 килограмм взрывчатки.",No,
"**Российские оккупанты, которые не успели эвакуироваться, переодеваются в гражданку в Херсоне и выбрасывают форму в мусор, — пишут местные СМИ

**При этом, в Минклоунады РФ заявили, что ни** одной единицы техники не оставлено, а потерь личного состава не допущено**🤡

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"The doctors in Sochi had to ""resuscitate"" a group of teenagers who had stopped taking drugs and were potentially experiencing withdrawal symptoms. Concerned passersby called for medical help, warning that the individuals might have overdosed on drugs. The doctors arrived in time to perform resuscitation and revived everyone.",No,
Volgograd mobilized citizens showed their accommodation in tents.,No,
"After the initially successful local counteroffensive by Ukrainian forces in the Kharkiv region was halted and the Ukrainian troops suffered heavy losses, the Russian Armed Forces retaliated. First, the enemy was driven out of Ternova, and then our troops recaptured the strategically important Rubizhne.

The enemy attempted a counterattack to regain what they had lost, but Russian forces quickly established a secure defensive line in Rubizhne, forcing the Ukrainian bandit formations to retreat, leaving behind their dead.",No,
"**⚡️🇵🇱Poland will sign a $630 million contract for the supply of weapons to Ukraine, the largest in 30 years.**

According to PM Morawiecki, Poland will supply Ukraine with more than 50 Krab howitzers.

**⚡️🇵🇱Польша подпишет контракт на поставку оружия в Украину на сумму почти $630 млн, который станет крупнейшим за последние 30 лет.**

По словам премьер-министра Моравецкого, Польша поставит Украине более 50 гаубиц Krab.",No,
"🤦🏻‍♂️🇺🇦**Hunting for ""ghosts"" in Ukraine

**In Mykolaiv, security forces are catching ""collaborators"" and beating them on the streets.",No,
"❗️🇷🇺🇺🇦 Chechen President Ramzhan Kadyrov believes Russia's responses to Ukrainian artillery attacks are weak. In his opinion, a more appropriate response would be to **erase cities from the face of the earth.**",No,
"""Stop, please! I'm dead. I'm dead."" The robber from Los Angeles ended up confronting a murderer-seller in a vaping shop.",No,
"📲**The sound alert signal for air raid warnings in the ""Kyiv Digital"" app has changed.**

**In case of an alert, notifications will come with a special sound. To hear it, you need to enable sound volume on your phone and turn on sound alerts for ""Kyiv Digital.""**

**▫️How to enable sound alerts on iOS?**

Select ""Settings"" — ""Kyiv Digital"" — ""Notifications"" and turn on ""Sounds"" using the switch.

**▫️How to enable sound alerts on Android?**

Select ""Settings"" — ""Apps"" — ""Kyiv Digital"" — ""Notifications"" and turn on ""Allow Sounds"" using the switch.

▶️Update the app: [https://kyiv.digital/start](https://kyiv.digital/start)",No,
"**This is the current range of GMLRS rockets in southern Ukraine after liberating the right bank of Kherson Oblast.**

**We have a perfect range to reach Crimea, occupiers 😏**

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Угарный газ: откуда он берется, и как не отравиться, — рекомендации от Минздрава

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"Historian and teacher Tamar Eydelman:

""Now in schools, pedagogical council meetings are held where Margarita Simonyan and Maria Zakharova show up to explain to teachers how to teach. I experienced this in a milder form than my parents did. But I remember September 1st, 1968.

I came into third grade, and our teacher unfurled the 'Pioneer Truth' newspaper, which read: 'Brotherly aid to the peoples of Czechoslovakia.' She explained to us, just like they did recently in August, that our troops had saved the Czechoslovak people from fascism and a fascist coup.

– Were tanks in Prague also explained this way?

– Yes. The idea was that if we didn't enter now, fascists from West Germany would come and stage a coup. Clearly, our teacher didn't come up with this on her own; she was ordered to do it.

– Why haven't the formulations of propagandists changed over 50 years?

– Because fascism sounds terrifying everywhere. And for our country, it's a terrible trauma. It's very easy to intimidate with this.""

https://youtu.be/ARaX2djZYFw",No,
"Шойгу: «Одновременно США и НАТО наращивают масштабы оперативной и боевой подготовки у наших границ

Главной особенностью маневров является переброска из США на Европейский континент полноценной дивизии, а также развертывание группировки войск на трех стратегических направлениях: Арктическом, Западном и Юго-Западном

За последние восемь лет интенсивность полетов стратегической бомбардировочной авиации США в Европе увеличилась в 15 раз - с трех до 45 в год

Только в текущем году вблизи Калининградской области они шесть раз выполняли задачи с выходом в предполагаемые районы пуска крылатых ракет. С 2016 года системой объективного контроля вскрыто 24 подобных мероприятия»

@sashakots",No,
"**❗️Zelensky visited Kherson,** — [Reuters](https://www.reuters.com/world/europe/ukrainian-president-visits-liberated-kherson-thanks-allies-support-2022-11-14/) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Одесса🇺🇦

**Это могли быть мы с тобой, но ты не захотела быть счастливой 💔",No,
The guy on the motorbike scared half of Kiev.,No,
"🇺🇦🏳️ «**I'm the driver! I'm driving!**»

It's interesting who is actually operating the weapons in the Ukrainian army if all the prisoners are just drivers (like the one in the video) and cooks...

In reality, this guy is from the 60th OPB regiment of the Ukrainian Armed Forces.
Although he claims to be only a driver, it's hard to believe. Identification procedures will follow.",No,
"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/cb423543758)
**🇺🇦**[**Ukrainian**](https://medium.com/p/cea0dcce286d)
**🇩🇪**[**German**](https://medium.com/p/58c1a479e744)
**🇫🇷**[**French**](https://medium.com/p/20a006697616)
**🇪🇸**[**Spanish**](https://medium.com/p/a3478d759fbf)
**🇷🇸**[**Serbian**](https://medium.com/p/a7df45f31470)
**🇷🇺**[**Russian**](https://medium.com/p/b52e9c7bebe0)

**Please share our recap with all of your friends and colleagues.**",No,
"In the USA, a plane crashed into a busy street. Nobody was injured.",No,
"Kyiv: Important News - 55 Days of War in 10 Photos 🟡
https://cutt.ly/uF3YekO",No,
"По ним сразу видно, что это обычные труженики войны на которых всю нашу Историю и держались фронты. Никаких понтов, излишеств в экипировке, напускной бравады.

Взять «Кудесника», он, как здесь говорят, на опыте. В 1990 году окончил десантное училище, попал служить в Одесскую область. Когда Союз затрещал по швам, начал мотаться по заполыхавшим республикам, затем вывели часть в Иваново. В составе сводного батальона воевал в Чечне. А службу окончил начальником службы воздушно-десантной подготовки в 38 отдельном полку связи ВДВ. Моем родном. Я служил в нем в середине 90-х.

В мае «Кудесник» пришел «сдаваться» в военкомат, но отставному майору заявили, что для армии он уже стар. В 53-то года. В Телеграме увидел объявление о наборе добровольцев, и без раздумий отправился воевать.

Посмотрите на этих простых русских мужиков, которые держали оборону под Изюмом, потом под Лиманом, теперь - под Кременной. Посмотрите в их глаза, послушайте, что они говорят - бывшие бизнесмены, гробовщики, отставные офицеры, вставшие в строй. Соль земли русской.

И обязательно почитайте [мой репортаж](https://www.kp.ru/daily/27452/4656297/) из окопов, где цитируют наизусть Симонова и Лермонтова.

@sashakots",No,
"**❗️Сообщают о взлете МиГ-31К в Беларуси, который является носителем ракет ""Кинжал""

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
