,Post,Trans,Label,Type_Expanded
4025,"**⚡️The Azov commander says they have completed the task and wants to save the lives of the personnel

**""In order to save lives, the entire Mariupol garrison fulfills the approved decision of the high military command and hopes for the support of the Ukrainian people,"" Denys Prokopenko said.
**
⚡️Командир ""Азова"" говорит, что они выполнили задание и хочет сохранить жизнь личному составу
**
""В целях сохранения жизней весь Мариупольский гарнизон выполняет утвержденное решение высшего военного командования и надеется на поддержку украинского народа"" - сказал Денис Прокопенко.","**⚡️The Azov commander says they have completed the task and want to save the lives of the personnel.

""In order to save lives, the entire Mariupol garrison fulfills the approved decision of the high military command and hopes for the support of the Ukrainian people,"" Denys Prokopenko said.
**
⚡️The Azov commander says they have completed the task and want to save the lives of the personnel.
**
""InThe interest of saving lives, the entire Mariupol garrison carries out the approved decision of the high military command and hopes for the support of the Ukrainian people"" - said Denys Prokopenko.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4026,"⚡️Russia’s Ministry of Defense : with representatives of the Ukrainian military blocked at Azovstal in Mariupol, an agreement was reached on the removal of the wounded. The wounded will be delivered to Novoazovsk.

⚡️Министерство обороны России: с представителями украинских военных, блокированных на «Азовстали» в Мариуполе, достигнута договоренность о вывозе раненых. Раненых доставят в Новоазовск.","⚡️Russia's Ministry of Defense: With representatives of the Ukrainian military, who were blocked at Azovstal in Mariupol, an agreement was reached on the removal of the wounded. The wounded will be transported to Novoazovsk.

⚡️Ministry of Defense of Russia: С представителями украинских военных, блокированных на «Азовстали» в Мариуполе, достигнута договоренность о вывозе раненых. Раненых доставят в Новоазовск.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4027,"**⚡️ ⚡️⚡️The Russian military announces the beginning of the evacuation of the wounded from Azovstal**

According to them, it will pass to the temporarily occupied territory.

🔴**UPDATE: **The head of the Patrol Police of Mariupol Mykhailo Vershinin rejected this information

**⚡️ ⚡️⚡️Российские военные объявляют о начале эвакуации раненых с «Азовстали»**

По их словам, она пройдёт на временно оккупированную территорию.

🔴**ОБНОВЛЕНИЕ**: Начальник патрульной полиции Мариуполя Михаил Вершинин опроверг эту информацию.","**⚡️ ⚡️⚡️The Russian military announces the beginning of the evacuation of the wounded from Azovstal**

According to them, it will take place on temporarily occupied territory.

🔴**UPDATE:** The head of the Patrol Police of Mariupol, Mykhailo Vershinin, rejected this information.

**⚡️ ⚡️⚡️Российские военные объявляют о начале эвакуации раненых с «Азовстали»**

По их словам, она пройдет на временно оккупированную территорию.

🔴**ОБНОВЛЕНИЕ:** Начальник патрульной полиции Мариуполя Михаил Вершинин опроверг эту информацию.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4028,"**⚡️По данным крупнейшего в Украине OSINT-сообщества InformNapalm, Россия, вероятно, готовит спецоперацию в Мариуполе**

14 и 15 мая по инсайдерским каналам из 4-х разных источников (включая финансово мотивированных российских военнослужащих, которые периодически передают данные) добровольческое разведывательное сообщество InformNapalm получило ряд тревожных сообщений. В совокупности данные свидетельствуют о том, что 16-17 мая или позже Россия планирует масштабную операцию в Мариуполе с участием российской армии, а также пленных украинских военнослужащих и мирных жителей, похищенных россиянами. Всего к психологической составляющей операции планируется привлечь до 2000 человек. Русские запланировали на 16-17 мая:

▫️привести в Мариуполь до 2000 военнопленных.

▫️направить в Мариуполь военнослужащих разведывательной роты со строгим приказом иметь противогазы, полный комплект средств защиты химоружия и дополнительные небольшие рюкзаки, содержимое которых неизвестно.

▫️отправить в Мариуполь 6 автоцистерн, содержимое которых неизвестно. Грузовики должны сопровождаться охраной на бронированных автомобилях.

На основании полученных данных аналитики InformNapalm имеют основания полагать, что российское командование может использовать военнопленных для создания для российских пропагандистских СМИ картины, подтверждающей якобы сдачу защитников «Азовстали», а затем попытаться использовать содержимое цистерн ( возможно химикаты), чтобы вытеснить настоящих защитников с их позиций. Также военнопленных можно было использовать в качестве живого щита при штурмовой операции. Могут быть и другие сценарии.

Напомним, 23 февраля 2022 года, за восемь часов до полномасштабного российского вторжения, волонтеры InformNapalm получили данные о необычных приказах от наших инсайдеров на оккупированных территориях Донецкой и Луганской областей. Боевикам было приказано полностью отключить все мобильные телефоны на линии соприкосновения. InformNapalm полагает, что еще одна инсайдерская информация может стать важной частью головоломки, указывающей на готовящуюся спецоперацию. Обнародовав его, мы надеемся если не полностью его сорвать, то хотя бы предупредить общественность о плане агрессора провести масштабную кровавую психологическую операцию в Мариуполе.

Источник: @InformNapalm","**⚡️According to the largest OSINT community in Ukraine, InformNapalm, Russia is likely preparing a special operation in Mariupol.**

On May 14 and 15, through insider channels from four different sources (including financially motivated Russian military personnel who occasionally provide information), the volunteer intelligence community InformNapalm received several alarming reports. Collectively, these indicate that on May 16 or 17, or later, Russia plans a large-scale operation in Mariupol involving the Russian army, as well as Ukrainian military personnel and civilians abducted by Russians. The psychological component of the operation is expected to involve up to 2,000 people. The Russians have planned for May 16-17:

- To bring up to 2,000 prisoners of war to Mariupol.
- To send reconnaissance platoon soldiers to Mariupol with strict orders to wear gas masks, full chemical weapons protection gear, and additional small backpacks, the contents of which are unknown.
- To dispatch six tanker trucks, the contents of which are also unknown. The trucks should be escorted by guards in armored vehicles.

Based on the data received, analysts at InformNapalm believe that the Russian command may use prisoners of",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4029,"**Attention! Russia is probably preparing a special operation in Mariupol

**On May 14 and 15, through insider channels from 4 different sources (including financially motivated Russian servicemen who periodically pass on the data), InformNapalm volunteer intelligence community received a number of worrying messages. When assessed collectively, the data suggest that on May 16-17 or later Russia is planning an extensive operation in Mariupol involving the Russian Army, as well as captured Ukrainian servicemen and civilians abducted by Russians. It is planned to involve a total of up to 2,000 people in the psychological component of the operation. We do not understand yet the whole plan of the Russian command, but let us consider the key findings of what the Russians have planned for May 16-17:

🔥 bring to Mariupol up to 2,000 POWs.

🔥 send servicemen of a reconnaissance company to Mariupol, with strict orders to have gas masks, a full set of hazmat protective gear and additional small backpacks, the contents of which are unknown.

🔥 send to Mariupol 6 tank trucks, the contents of which are unknown. The trucks must be accompanied by guards in armored vehicles.

Based on the data obtained, analysts of InformNapalm have grounds to believe that the Russian command could use the POWs to create a picture for the Russian propaganda media confirming that the defenders of Azovstal have allegedly surrendered and then try to use the contents of the tanks (possibly chemicals) to stamp out the real defenders from their positions. Also, the POWs could be used as human shields for the assault operation. There may be other scenarios.

Recall that on February 23, 2022, eight hours before the full-scale Russian invasion, InformNapalm volunteers received the data about unusual orders from our insiders in the occupied areas of Donetsk and Luhansk Oblasts. The militants were ordered to completely switch off all mobile phones on the contact line. We believe that yet another piece of insider information could be an important part in the puzzle indicating an impending special operation. By making it public we hope, if not completely disrupting it, then at least warning the public of the aggressor's plan to hold a large-scale  bloody PSYOP in Mariupol.

@informnapalm","**Attention! Russia is likely preparing a special operation in Mariupol.

**On May 14 and 15, through insider channels from four different sources (including financially motivated Russian servicemen who periodically provide data), InformNapalm's volunteer intelligence community received several concerning messages. When assessed collectively, the data suggest that Russia plans an extensive operation in Mariupol involving the Russian Army, as well as captured Ukrainian servicemen and civilians abducted by Russians. Up to 2,000 people are planned to be involved in the psychological component of the operation. We do not fully understand the plan of the Russian command, but here are the key findings of what the Russians have planned for May 16-17:

- Bring up to 2,000 prisoners of war (POWs) to Mariupol.
- Send a reconnaissance company to Mariupol, with strict orders to wear gas masks, full hazmat protective gear, and additional small backpacks (contents unknown).
- Send six tank trucks to Mariupol, with unknown contents. The trucks must be accompanied by guards in armored vehicles.

Based on the data obtained, InformNapalm analysts believe that the Russian command might use the POWs to create a narrative for Russian propaganda",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4030,"**🔴DAILY REPORT WITH KEY NEWS🔴

Avaliable on Medium:

🇬🇧**[**English**](https://medium.com/p/9fdf502d6772)**
🇺🇦**[**Ukrainian**](https://medium.com/p/da70e9a9f692)**
🇩🇪**[**German**](https://medium.com/p/863fb3ab92b4)**
🇫🇷**[**French**](https://medium.com/p/ea7cb1afcafa)**
🇪🇸**[**Spanish**](https://medium.com/p/825daa6c5d49)**
🇮🇹**[**Italian**](https://medium.com/p/c3089784b2ce)**
🇷🇸**[**Serbian**](https://medium.com/p/d5000e966cfc)**
🇨🇿**[**Czech**](https://medium.com/p/fe00a4c91732)**
🇹🇷**[**Turkish**](https://medium.com/p/98e2f7504dbb)**
🇬🇷**[**Greek **](https://medium.com/p/708d1a96a67b)**
🏳️**[**Russian**](https://medium.com/p/6e554e014d04)**

Please share our recap with all of your friends and colleagues**","**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧[**English**](https://medium.com/p/9fdf502d6772)
🇺🇦[**Ukrainian**](https://medium.com/p/da70e9a9f692)
🇩🇪[**German**](https://medium.com/p/863fb3ab92b4)
🇫🇷[**French**](https://medium.com/p/ea7cb1afcafa)
🇪🇸[**Spanish**](https://medium.com/p/825daa6c5d49)
🇮🇹[**Italian**](https://medium.com/p/c3089784b2ce)
🇷🇸[**Serbian**](https://medium.com/p/d5000e966cfc)
🇨🇿[**Czech**](https://medium.com/p/fe00a4c91732)
🇹🇷[**Turkish**](https://medium.com/p/98e2f7504dbb)
🇬🇷[**Greek**](https://medium",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4031,"⚡️**US Senate to vote on $40bn Ukraine aid bill on Wednesday
**
US Senate Republican Leader Mitch McConnell has said he expects the Senate to vote on $40bn in proposed aid to Ukraine on Wednesday after holding a related procedural vote on Monday.

**⚡️В среду Сенат США проголосует за законопроект о помощи Украине на 40 миллиардов долларов
**
Лидер республиканцев в Сенате США Митч Макконнелл ожидает, что Сенат проголосует за помощь Украине в размере 40 миллиардов долларов в среду после проведения соответствующего процедурного голосования в понедельник.","⚡️**The US Senate is set to vote on a $40 billion Ukraine aid bill on Wednesday.
**
US Senate Republican Leader Mitch McConnell said he expects the Senate to vote on a $40 billion aid package for Ukraine on Wednesday following a related procedural vote on Monday.

**⚡️В среду Сенат США проголосует за законопроект о предоставлении Украине 40 миллиардов долларов помощи.
**
Лидер республиканцев в Сенате США Митч Макконнелл ожидает, что Сенат проголосует за предоставление Украине 40 миллиардов долларов помощи в среду после проведения соответствующего процедурного голосования в понедельник.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4032,"**⚡️NATO's chief Stoltenberg says Russia's Ukraine offensive not going to plan**

""Russia's war in Ukraine is not going as Moscow had planned. They failed to take Kyiv,"" Jens Stoltenberg told reporters by video link. ""They are pulling back from Kharkiv and their major offensive in Donbass has stalled.""

**⚡️Глава НАТО Столтенберг заявил, что наступление России на Украину идёт не по плану**

«Война России в Украине идет не так, как планировала Москва. Им не удалось взять Киев», — заявил журналистам по видеосвязи Йенс Столтенберг. «Они отступают из Харькова, и их крупное наступление на Донбассе застопорилось».","**⚡️NATO's chief Stoltenberg says Russia's Ukraine offensive not going according to plan**

""Russia's war in Ukraine is not proceeding as Moscow had planned. They failed to capture Kyiv,"" Jens Stoltenberg told reporters via video link. ""They are retreating from Kharkiv and their major offensive in Donbass has stalled.""

**⚡️Chief of NATO Stoltenberg stated that Russia's offensive in Ukraine is not going as planned**

""Russia's war in Ukraine is not unfolding as Moscow had intended. They were unable to seize Kyiv,"" Jens Stoltenberg said to journalists over video link. ""They are withdrawing from Kharkiv, and their significant offensive in Donbass has come to a halt.""",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4033,"**⚡️ Russians using incendiary munitions against Azovstal defenders

⚡️ Россияне применили зажигательные боеприпасы против защитников Азовстали**","**⚡️ Russians used incendiary munitions against Azovstal defenders

⚡️ Russia used incendiary weapons against the defenders of Azovstal**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4034,"⚡️Zelenskyy: We will do our best so that one day, the Ukrainian Mariupol will host the participants and guests of Eurovision. Beautiful, peaceful, rebuilt.

⚡️Зеленский: Мы сделаем все, чтоб в один день участников и гостей Евровиденья принимал украинский Мариуполь. Красивый, мирный, отстроенный.","⚡️Zelenskyy: We will do our best so that one day, the Ukrainian Mariupol will host the participants and guests of Eurovision. Beautiful, peaceful, rebuilt.

⚡️Zelensky: We will do our best so that one day, Ukrainian Mariupol will host the participants and guests of Eurovision. Beautiful, peaceful, rebuilt.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4035,"**⚡️Ukraine wins the Eurovision Song Contest 2022

⚡️Украина выигрывает Евровидение 2022**","**⚡️Ukraine wins the Eurovision Song Contest 2022

⚡️Ukraine wins Eurovision 2022**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4036,"**⚡️Ukraine’s band Kalush Orchestra at Eurovision Song Contest addressed the world on Azovstal evacuation:**

“Please, help Mariupol, help Azovstal”, they said just after performance.

⚡️**Украинская группа Kalush Orchestra на Евровидении обратилась к миру по поводу эвакуации Азовстали:**

«Помогите, пожалуйста, Мариуполю, помогите «Азовстали», — сказали они сразу после выступления.","**⚡️The Ukrainian group Kalush Orchestra at Eurovision addressed the world regarding the Azovstal evacuation:**

""Please help Mariupol, help Azovstal,"" they said just after their performance.

⚡️**Украинская группа Kalush Orchestra на Евровидении обратилась к миру по поводу эвакуации Азовстали:**

«Помогите, пожалуйста, Мариуполю, помогите «Азовстали», — сказали они сразу после выступления.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4037,"**🔴DAILY REPORT WITH KEY NEWS🔴

Avaliable on Medium:

🇬🇧**[**English**](https://medium.com/p/a76d05ea52a0)**
🇺🇦**[**Ukrainian**](https://medium.com/p/973d9f790776)**
🇩🇪**[**German**](https://medium.com/p/20105ea68659)**
🇫🇷**[**French**](https://medium.com/p/3808bbff2ee4)**
**[🇪🇦**Spanish**](https://medium.com/p/d90362533b93)**
🇮🇹**[**Italian**](https://medium.com/p/ee0ce5127de)**
🇷🇸**[**Serbian**](https://medium.com/p/53c4a1069d9b)**
🇬🇷**[**Greek**](https://medium.com/p/c184b031ee1e)**
🏳️**[**Russian**](https://medium.com/p/44466e5887d5)**

Please share our recap with all of your friends and colleagues**","**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧[**English**](https://medium.com/p/a76d05ea52a0)
🇺🇦[**Ukrainian**](https://medium.com/p/973d9f790776)
🇩🇪[**German**](https://medium.com/p/20105ea68659)
🇫🇷[**French**](https://medium.com/p/3808bbff2ee4)
🇪🇦[**Spanish**](https://medium.com/p/d90362533b93)
🇮🇹[**Italian**](https://medium.com/p/ee0ce5127de)
🇷🇸[**Serbian**](https://medium.com/p/53c4a1069d9b)
🇬🇷[**Greek**](https://medium.com/p/c184b031ee1e)
🏳️[**Russian**](https://medium.com/p/44466e5887d5)

Please share our recap with all of your",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4038,"**38 countries have already reopened their embassies in Kyiv**, according to the Ministry of Foreign Affairs of Ukraine.

**38 стран уже открыли свои посольства в Киеве**, сообщает МИД Украины.","**38 countries have already reopened their embassies in Kyiv**, according to the Ministry of Foreign Affairs of Ukraine.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4039,"**🔴DAILY REPORT WITH KEY NEWS🔴

Avaliable on Medium:

🇬🇧**[**English**](https://medium.com/p/bc8f09a52cb5)**
🇺🇦**[**Ukrainian**](https://medium.com/p/a1fc6b4a3149)**
🇩🇪**[**German**](https://medium.com/p/cae3b0c3359)**
🇫🇷**[**French**](https://medium.com/p/f3b4f844fab)**
🇪🇦**[**Spanish**](https://medium.com/p/55b6867dae70)**
🇮🇹**[**Italian**](https://medium.com/p/3007c69d55b6)**
🇷🇸**[**Serbian**](https://medium.com/p/9af1f4b5aedd)**
🇨🇿**[**Czech**](https://medium.com/p/f7c3d3337e09)**
🏳️**[**Russian**](https://medium.com/p/fcd5712a1388)**

Please share our recap with all of your friends and colleagues**","**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧[**English**](https://medium.com/p/bc8f09a52cb5)
🇺🇦[**Ukrainian**](https://medium.com/p/a1fc6b4a3149)
🇩🇪[**German**](https://medium.com/p/cae3b0c3359)
🇫🇷[**French**](https://medium.com/p/f3b4f844fab)
🇪🇦[**Spanish**](https://medium.com/p/55b6867dae70)
🇮🇹[**Italian**](https://medium.com/p/3007c69d55b6)
🇷🇸[**Serbian**](https://medium.com/p/9af1f4b5aedd)
🇨🇿[**Czech**](https://medium.com/p/f7c3d3337e09)
🏳️[**Russian**](https://medium.com/p/fcd5712a1388)

Please share our recap with all of your friends and colleagues.**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4040,"⚡️Der Spiegel: G7 countries are going to provide Ukraine with **30 billion euros in financial support

**⚡️Der Spiegel: Страны G7 собираются предоставить Украине **30 миллиардов евро в качестве финансовой поддержки**","⚡️Der Spiegel: The G7 countries are going to provide Ukraine with **30 billion euros in financial support.**

⚡️Der Spiegel: Страны G7 собираются предоставить Украине **30 миллиардов евро в качестве финансовой поддержки**.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4041,"⚡️The UK has imposed sanctions against Putin's alleged mistress Alina Kabaeva

⚡️Великобритания ввела санкции против предполагаемой любовницы Путина Алины Кабаевой","⚡️The UK has imposed sanctions against Putin's alleged mistress, Alina Kabaeva.

⚡️The UK has imposed sanctions against the alleged lover of Putin, Alina Kabaeva.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4042,"**Macron offered to cede the sovereignty of Ukraine so that Putin would save face - Zelenskyy**

""__Macron wanted to find results in mediation between us. He didn't find it. And not from our side. He didn't find it from the Russian side. And I should offer some things related to concessions on our sovereignty in order to save Putin's face... It seems to me that this is not very correct__,"" Zelenskyy said.

**Макрон предлагал уступить суверенитет Украины, чтобы Путин сохранил лицо — Зеленский**

«__Макрон хотел найти результаты в посредничестве между нами. Он не нашел. И не с нашей стороны. Он не нашел со стороны РФ. А мне предлагать некоторые вещи, связанные с уступками по поводу нашего суверенитета для того, чтобы сохранить лицо Путина... Мне кажется, это не очень корректно» __— сказал Зеленский.","**Macron offered to cede Ukraine's sovereignty to save Putin's face — Zelensky**

""__Macron wanted to achieve results in mediating between us. He didn't succeed. Not from our side. He didn't succeed from the Russian side either. And I had to offer some concessions regarding our sovereignty in order to save Putin's face... This seems very incorrect to me__,"" Zelenskyy said.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4043,"**⚡️Counter-offensive on the Azovstal plant **

Defenders of Mariupol are storming enemy positions, despite the enemy's constant use of aircraft, naval and artillery, tanks and other weapons.

📷 Azov Regiment

**⚡️Контрнаступление на Азовстали**

Защитники Мариуполя штурмуют вражеские позиции, несмотря на постоянное применение противником авиации, корабельной и артиллерии, танков и другого вооружения.

📷 Поле «Азов»","**⚡️Counteroffensive at the Azovstal Plant**

Defenders of Mariupol are storming enemy positions, despite the constant use by the enemy of aircraft, naval artillery, artillery, tanks, and other weaponry.

📷 Azov Regiment

**⚡️Контрнаступление на Азовстали**

Защитники Мариуполя штурмуют вражеские позиции, несмотря на постоянное применение противником авиации, корабельной и артиллерии, танков и других видов вооружения.

📷 Полк «Азов»",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4044,"**🔴DAILY REPORT WITH KEY NEWS🔴

Avaliable on Medium:

🇬🇧**[**English**](https://medium.com/p/f6613bd61e96)**
🇺🇦**[**Ukrainian**](https://medium.com/p/2e0cf8e6f4f2)**
🇩🇪**[**German**](https://medium.com/p/de980326735c)**
🇫🇷**[**French**](https://medium.com/p/34111fc6dc50)**
**[**🇪🇦Spanish**](https://medium.com/p/34f1f2da3cd8)**
🇮🇹**[**Italian**](https://medium.com/p/baa68504f5a4)**
🇹🇷**[**Turkish**](https://medium.com/p/1bed54000797)**
🇷🇸**[**Serbian**](https://medium.com/p/9665a9d0a702)**
🇬🇷**[**Greek**](https://medium.com/p/4d5607ced1ea)**
🏳️**[**Russian**](https://medium.com/p/eaca0bfe04ad)**

Please share our recap with all of your friends and colleagues**","**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧 [English](https://medium.com/p/f6613bd61e96)
🇺🇦 [Ukrainian](https://medium.com/p/2e0cf8e6f4f2)
🇩🇪 [German](https://medium.com/p/de980326735c)
🇫🇷 [French](https://medium.com/p/34111fc6dc50)
🇪🇦 [Spanish](https://medium.com/p/34f1f2da3cd8)
🇮🇹 [Italian](https://medium.com/p/baa68504f5a4)
🇹🇷 [Turkish](https://medium.com/p/1bed54000797)
🇷🇸 [Serbian](https://medium.com/p/9665a9d0a702)
🇬🇷 [Greek](https://medium.com/p/4d5607ced1ea)
🏳️ [Russian](https://medium.com/p/eaca0bfe04ad)

Please share our recap with all of your",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4045,"**⚡️The Ukrainian army destroyed a whole BTG of Russians, which was trying to force the Siverskyi Donets river**

Ukrainian artillery destroyed a panton crossing near Bilohorivka (Luhansk region). In total, approximately 73 Russian equipment were destroyed or abandoned.

📷 http://twitter.com/blue_sauron

⚡️**Украинская армия уничтожила целую БТГ русских, которая пыталась форсировать Северский Донец**

Украинская артиллерия уничтожила пантонную переправу возле Белогоровки (Луганская область). Всего было уничтожено или брошено около 73 единиц российской техники.

📷 http://twitter.com/blue_sauron","**⚡️The Ukrainian army destroyed an entire BTG of Russians attempting to cross the Siverskyi Donets river.**

Ukrainian artillery destroyed a pontoon bridge near Bilohorivka (Luhansk region). In total, approximately 73 pieces of Russian equipment were destroyed or abandoned.

📷 [Source: http://twitter.com/blue_sauron]

⚡️**Украинская армия уничтожила целую БТГ русских, пытавшихся форсировать Северский Донец.**

Украинская артиллерия уничтожила понтонную переправу возле Белогоровки (Луганская область). Всего было уничтожено или брошено около 73 единиц российской техники.

📷 [Source: http://twitter.com/blue_sauron]",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4046,"**🔴DAILY REPORT WITH KEY NEWS🔴

Avaliable on Medium:

🇬🇧**[**English**](https://medium.com/p/53786dc9aea9)**
🇺🇦**[**Ukrainian**](https://medium.com/p/bb496aa37f95)**
🇩🇪**[**German**](https://medium.com/p/9e5a978c0dac)**
🇫🇷**[**French**](https://medium.com/p/610021dfe736)**
🇪🇦**[**Spanish**](https://medium.com/p/7dec88680acc)**
🇮🇹**[**Italian**](https://medium.com/p/24ebab6f18c3)**
🇨🇿**[**Czech**](https://medium.com/p/a66652784405)**
🇷🇸**[**Serbian**](https://medium.com/p/95c8f134777f)**
🇬🇷**[**Greek**](https://medium.com/p/93912c1c6645)**
🏳️**[**Russian**](https://medium.com/p/7efaa28e68f2)**

Please share our recap with all of your friends and colleagues**","**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧[**English**](https://medium.com/p/53786dc9aea9)
🇺🇦[**Ukrainian**](https://medium.com/p/bb496aa37f95)
🇩🇪[**German**](https://medium.com/p/9e5a978c0dac)
🇫🇷[**French**](https://medium.com/p/610021dfe736)
🇪🇦[**Spanish**](https://medium.com/p/7dec88680acc)
🇮🇹[**Italian**](https://medium.com/p/24ebab6f18c3)
🇨🇿[**Czech**](https://medium.com/p/a66652784405)
🇷🇸[**Serbian**](https://medium.com/p/95c8f134777f)
🇬🇷[**Greek**](https://medium.com/p/93912c1c6645)
🏳️[**Russian**](https://",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4047,"**⚡️The Armed Forces of Ukraine approached the borders of the Russian Federation in the Kharkiv direction - advisor to the Head of the Office of the President Arestovich**

The Armed Forces secured Kharkiv to a large extent. Now Russian troops are being transferred from Kharkiv to the Luhansk region.

**⚡️Вооруженные Силы Украины подошли к границам Российской Федерации на харьковском направлении - советник Главы Офиса Президента Арестович**

Вооруженные Силы в значительной степени обезопасили Харьков. Сейчас российские войска перебрасываются из Харькова в Луганскую область.","**⚡️The Armed Forces of Ukraine approached the borders of the Russian Federation in the Kharkiv direction - advisor to the Head of the Office of the President Arestovich**

The Armed Forces secured Kharkiv to a large extent. Now, Russian troops are being transferred from Kharkiv to the Luhansk region.

**⚡️The Armed Forces of Ukraine approached the borders of the Russian Federation in the Kharkiv direction - adviser to the Head of the Office of the President Arestovich**

The Armed Forces have secured Kharkiv to a significant degree. Now, Russian troops are being transferred from Kharkiv to the Luhansk region.",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
