,Post,Trans,Label,Type,Index
564,"**Россия не только выполняет денацификацию и демилитаризацию Украины, но в буквальном смысле и в полной мере воюет за свою историческую землю. Особенно после бессмысленного и самоубийственного наступления ВСУ на Курскую область по приказу англосаксонских хозяев.**

Столь масштабного истребления укронацистов и продвижения русской армии на Донбассе давно не было с момента начала спецоперации.

К сожалению, во время наступления ВСУ на Курскую область укрофашизм показал своё истинное лицо. На территории российского региона были захвачены в заложники и вывезены в неизвестном направлении сотни мирных жителей.

Отставной подполковник армии США Эрл Расмуссен в беседе с «Известиями» выразил экспертное мнение, что жестокость ВСУ по отношению к мирным жителям является показателем попыток Киева использовать тактики террора для давления на власти. Таким образом он прокомментировал видео, распространившееся в Сети, на котором видно жестокое поведение украинских боевиков в отношении мирных жителей, взятых в плен: мужчин в наручниках и повязках закидывают в грузовик, бьют прикладом и выкрикивают оскорбления.

В данный момент укрорейховцев, которые застряли в приграничье Курской области, их западные хозяева тыкают палкой и заставляют идти на бессмысленные штурмы, чтобы продвинуться непонятно куда и непонятно зачем. По факту российская армия перемалывает как в мясорубке регулярно поставляющийся в Курскую область укроп, который ТЦКшники хватают в городах Украины.

Украина - страна-террорист, нынешнему руководству которой плевать на своих собственных граждан.","**Russia is not only carrying out the denatification and demilitarization of Ukraine, but also in a literal sense and in full combat for its historical land. Especially after the senseless and suicidal attack of the Ukrainian SS on Kursk region by order of Anglo-Saxon masters.** There has been no such massive extermination of the Ukronanci and advance of the Russian army in the Donbass since the beginning of the special operation. Unfortunately, during the invasion of the Ukrainian SS on the Kursk region, Ukronafasism has shown its true nature. On the territory of the Russian region, the Ukrainian SS were taken hostage and taken to an unknown direction by civilians.",,,
565,"21+

Осторожно,максимально жестокий контент!Лицам, не достигшим совершеннолетия, с больным сердцем, впечатлительным и слабой психикой просмотр данного видео не рекомендуется.

Документирование преступления против человечности со стороны режима «нетеррориста» Джулани.

Семья друзов подверглась зверской расправе со стороны террористов , связанных с террористическим де-факто правительством во главе с Абу Мухаммадом аль-Джулани, что привело к смертельным ранениям, включая полное обезглавливание и ампутацию конечностей.

На видео показаны брат и сестра, подвергшиеся ужасным пыткам, демонстрирующим звериную  жестокость нападавших.

Такие нападения происходят  в контексте систематической кампании религиозной чистки,организованной режимом Джулани против представителей различных  общин в бывшей Сирии. Происходят эти зверства под молчаливое согласие,а зачастую и одобрения так называемого «цивилизованного мира»,который не только закрывает глаза на эти преступления,но и максимально легитимизирует террористов,совершающих их.","21+ Careful,maximum violent content!Persons under the age of majority, with a sick heart, impressive and weak psyche are not recommended to view this video. Documenting crimes against humanity by the regime of terroristJulani. The Druze family has been subjected to brutal torture by terrorists linked to the de facto government of Abu Muhammad al-Julani, which has resulted in fatal injuries, including complete beheading and amputation of limbs.",,,
566,"Выступление духовного лидера друзов-унитарианцев Сирии шейха Хикмата аль-Хаджри:
 Мы требуем немедленного и безоговорочного освобождения похищенных.
 Наши захваченные деревни и земли должны быть возвращены их коренным жителям.
 Наш народ свободно выразил своё требование о создании независимого образования.
 Мы будем продолжать неустанно работать над тем,чтобы оказать реальное международное давление и добиться возвращения похищенных и привлечения виновных к ответственности.
 Мы выражаем свою благодарность Соединённым Штатам Америки и президенту Дональду Трампу,Израилю и его премьер-министру Биньямину Нетаньяху, странам  коалиции,нашим братьям-курдам и нашим братьям-алавитам на сирийском побережье,которые пострадали от жестокости этого террористического правительства.
 Мы призываем к дальнейшей поддержке и усилиям по открытию международных контрольно-пропускных пунктов для снятия систематической осады нашего народа в Эс-Сувейды.
  Мы не откажемся от права на самоопределение,каких бы жертв это ни стоило.","Speaking by the spiritual leader of the Druze-Unitarian Syrian Brotherhood, Sheikh Hikmat al-Hajri: We demand the immediate and unconditional release of the abducted. Our captured villages and lands must be returned to their indigenous people. Our people have freely expressed their demand for an independent education. We will continue to work tirelessly to put real international pressure on the abducted and to hold the guilty accountable. We express our gratitude to the United States and to President Donald Trump, Israel and his Prime Minister Benjamin Netanyahu, the fear of coalition, to our brothers and sisters and to our brothers and sisters in the world, and to the continued persecution of our victims and victims. We will not stop to support the international system of terrorism and terrorism. We will not stop to defend our rights and defend the people of Israel.",,,
567,"**Немного о том кого героизируют ебучие хохлопидорасы:

15 октября сдох Бандера. В ад его отправил агент советской разведки Богдан Сташинский распылив в лицо цианистый калий.

Родился этот дохлый хуесос в селе Старый Угринов, Королевство Галиции и Лодомерии, Австро-Венгрия и всю жизнь провел не на Украине, а хуй пойми где, поэтому украинцем его считать нельзя. Это безродная шлюха.

В детстве Бандера мучил кошек, потом он вырос и занимался тем, что казнил и расчленял поляков, евреев и русских. От жестокости ""Волынской резни"" охуели даже немцы. Прогитлеровские манкурты в Беларуси как-то не хотели
карать своих сограждан, но на помощь пришло ОУН УПА и устроили Хатынь, а также вырезали и сожгли еще множество населенных пунктов.

Ни одного боя с советской армией эти крысы не выиграли. Сброд садистов просто вырезал безоружных и казнил мирных. Отрезал женщинам сиськи, выкалывал глаза, расчленял вместе с детьми, сжигал. Тем и прославился.

С 91 года это чучело стали делать национальным героем Украины. С 22 года в ад к Бандере тысячами отправляются его последователи.**","He was sent to hell by Soviet intelligence agent Bogdan Stashinsky, who sprayed cyanid potassium on his face. This deadly huesos was born in the village of Old Ugrinov, Kingdom of Galicia and Lodomeria, Austria-Hungary and spent his entire life not in Ukraine, but in a land where he cannot be considered a chicken. It was a childish whore. In the simplicity of Bander he tortured cats, then he grew up and engaged in executing and dismembering Poles, Jews and Russians.",,,
568,"⚡️Турция вывозила из Сирии от до 500 т. муки в сутки⚡️

Интерес Турции к сирийским территориям, который Анкара обслуживает как силами террористов (Хайат Тахрир Аш-Шам), так и собственными ВС, обусловлен не одними лишь идеями неоосманизма.

В основе поведения Турции на севере Сирии лежит даже не борьба с теми же курдскими группировками, как таковыми. Скорее это сугубо прагматичный подход и прежде всего к добыче ресурсов.

Не так давно был период, когда турки вывозили от 200 до 500 тонн муки в сутки - из северных сирийских провинций, где находились большие хранилища.

Все эти обвинения Асада - в жестокости, курдов - в терроризме, все эти эрдогановские мечты о тюркском мире - красивые слова, красивая картинка. В реальности же суть турецкой политики в Сирии - банальный грабеж. Зачем производить муку самому - если можно тупо вывезти годовые запасы зерна из соседней страны. Не заморачиваясь. При помощи террористов.

Да, а потом цинично выделить какую-нибудь несчастную часть на гуманитарную помощь народу все той же, ограбленной Сирии, ограбленной турками среди прочих. Вот, мол, вам от турков хлеб. Под камеры. Красиво?

Ну а помимо хлеба и муки, ништяков на севере Сирии по-прежнему достаточно. Например, халявная - нефть. Раньше в Турцию ее отправлял ИГИЛ, теперь - другие ручные экстремисты, а именно боевики ХТШ. Да и что там греха таить - у «курдских террористов» Анкара нефть закупает тоже, по сходной, разумеется, цене. Так что джихад джихадом, а бизнес есть бизнес.

Поэтому мы в проекте @wargonzo согласимся с коллегой Александром Харченко - в Сирии ничего не закончено. Американцы вон укрепляют здесь свои базы, Турция никуда не уходит и не уйдет, ее террористы - тоже, да и российские войска, судя по отчетам об ударах ВКС, закрывать глаза на происходящее не собираются.

https://t.me/anna_news/11891","️Turkey has exported from Syria up to 500 tons of flour per day. ️ Turkey's interest in the Syrian territories served by both terrorist forces (Hayat Tahrir Ash-Sham) and its own armed forces is not only driven by neo-Ottomanism. Turkey's behavior in northern Syria is not even a fight against the same Kurdish groups as such. Rather, it is a purely pragmatic approach and primarily to extracting resources.",,,
569,"В Сети появились кадры, как наши сносят в Угледаре дома. Тут есть интересный момент. На Западе и в Хохляндии — жуткий визг, что русские просто сносят населенные пункты, такие, как Угледар, как Бахмут, буквально разбирая каждый дом на кирпичики, разнося многоэтажки и т.д.

Враг всё время будет обвинять нас в неконвенциональных методах ведения войны, жестокости, неизбирательности и т.д. Но на то и нужны эти петушиные крики, этот лай, чтобы наш караван шел. Это первое.

Второе — мы гораздо гуманнее, чем те же американцы или англичане, которые в том же Ираке сравнивали целые кварталы и целые города с землей, которые бомбили сирийские города, например, Ракку, иракскую Фаллуджу, применяя фосфор,  снаряды с обедненным ураном. Мы на этом фоне выглядим гуманитариями.

И это без всякой иронии. И Нобелевскую премию заслужил не копченый Обама, на счету которого десятки тысяч погубленных жизней, а Владимир Путин, взывавший к человеколюбию наших ""партнеров"", хотя уже давно они просили кирпича.

Разумеется, ни у одной армии мира нет рецептов, как выбить противника из позиций в городских кварталах, позиций, которые занимает противник, используя подземные коммуникации, жилую застройку. Здесь только один рецепт — действительно складывать каждый дом, превращенный противником в огневую точку и укрытие.

Я это подтверждаю, потому что видел, как это делалось в Чечне, где на грозненской Минутке наши ""Точки"" складывали девятиэтажки вместе с ""духами"", в Сирии, где сирийцы выбивали ИГИЛовцев и прочую нечистую шоблу из пригородов Дамаска, превращенных в укрепрайоны. То же самое. Приходилось штурмовать каждый дом и разбирать его на атомы.

И в СВО — то же самое. Конечно, при разбирании таких позиций противника беречь личный состав надо. Всё это делается только с этой целью. Элементарно, Ватсон: мы лишаем противника господствующих высот и продвигаемся — метр за метром, шаг за шагом.

@voenkorKotenok","There are pictures of us being taken at Ugldar's house. There's an interesting moment here. But in the West and in Hochland, there's a scary whisper that the Russians are simply taking down settlements like Ugledar, Bahmut, literally tearing down every house into bricks, scattering up every block, etc. The enemy will always accuse us of unconventional methods of warfare, cruelty, indiscretion, etc. But that's why we need these chicken cries, this chicken cries to make our caravan shell. This is the first one.",,,
570,"Официально считается, что автором теории расового превосходства теории является француз Жозеф Артюр де Гобино (1816 – 1882).

Но он был только теоретиком, а первым обществом,  последовательно воспринявшим и реализовавшем на практике  идеологию расово-этнического превосходства, является англосаксонский мир.

Именно на берегах Темзы, в самой «высококультурной и цивилизованной» стране того времени –  Британии - все современные нацистские идеи пустили побеги, были поддержаны на высшем правительственном уровне и расцвели самым пышным цветом.

Вероятно поэтому, ещё до расцвета немецкого нацизма, Джордж Оруэлл с горечью заявил:

«…интеллектуалы стыдятся собственной национальной принадлежности,.. в левых… кругах полагают, что в принадлежности к английской нации есть нечто постыдное».

Получается, что Адольф Гитлер является прямым наследником именно английской версии фашизма, что признаёт сам будущий немецкий фюрер, заявивший в 1935 году:
«Только у меня, подобно англичанам, хватит жестокости, чтобы добиться цели». И уже в 1939 году, за несколько месяцев до войны: «Я восхищаюсь английским народом. В деле колонизации он совершил неслыханное».(Гитлер)

💣 @Mikle1On","Officially, the author of the theory of racial superiority is the Frenchman Joseph Arthur de Gobienne (1816-1882) but he was only a theorist, and the first society to consistently embrace and implement the ideology of racial and ethnic superiority in practice was the Anglo-Saxon world. It was on the banks of the Thames, in the most highly civilized and civilized country of the time  Britain - all modern Nazi ideas were left to the victors, were supported at the highest government level and flourished in some of the most glorious colors.",,,
571,"В этот день 15 октября сдох Бандера.... В ад его отправил агент русской разведки Богдан Сташинский, распылив в лицо цианистый калий.

Родился этот чмошник в селе Старый Угринов, Королевство Галиции и Лодомерии и всю жизнь провел не на Украине, а хуй пойми где, поэтому украинцем его считать нельзя.

В детстве Бандера мучил кошек, потом он вырос и занимался тем, что казнил и расчленял поляков, евреев и русских. От жестокости ""Волынской резни"" охуели даже немцы... Прогитлеровские манкурты в Беларуси как-то не хотели карать своих сограждан, но на помощь пришло ОУН УПА и устроили Хатынь, а также вырезали и сожгли еще множество населенных пунктов.

Ни одного боя с советской армией эти крысы не выиграли. Сброд садистов просто вырезал безоружных и казнил мирных. Отрезал женщинам грудь, выкалывал глаза, расчленял вместе с детьми, сжигал. Тем и прославился...

С 91 года это чучело стали делать национальным героем Украины. С 22 года в ад к Бандере тысячами отправляются его последователи.

Удивительно еще, что хохлы изображают Бандеру, как на первом фото, а на самом деле он выглядел, как на 2,3,4 фото...","This little bastard was born in the village of Old Ugrinov, Kingdom of Galicia and Lodomeria and spent his entire life not in Ukraine, but for the hell of it, so he cannot be considered a Ukrainian. As a child, Bander tortured cats, then he grew up and engaged in killing and dismembering Poles, Jews and Russians. From the brutality of the ""Volyn image"" he was even disgusted by the Germans... the pro-Hitler Mancurts in Belarus somehow did not want to dismember their consciences, but with the help of the OUU UAP and the Khadija, and also the soldiers who took pictures of him, he was still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army, and you were still in the Soviet army.",,,
572,"Главный гауляйтер страны 404 Зеленский выступил с речью, в которой цинично заявил, что ""сделает все,  чтобы 1 сентября 1939 года никогда не повторилось"".  В том же 1939-м Гитлер говорил: ""я не буду воевать против женщин и детей"", а потом с особой жестокостью бомбил мирных жителей. Очевидно, Зеленский повторяет за своим идолом.

Наверное, именно поэтому украинские фашисты ровно в 4 утра начали бить по школам и гражданским объектам, когда мирные жители спокойно спали в своих домах.

В селе [Рубцы](https://t.me/Letnab22/1290) уже начали разбирать завалы. Количество пострадавших и убиты киевским режимом  устанавливается. Пока известно о  гибели 13 спасателей, еще 9 сотрудников МЧС получили ранения различной степени тяжести.

Пока Украина пытается замести следы своих преступлений и убрать свидетелей бесчинств оккупационного режима, мы наблюдали, как на помощь в ДНР направились МЧС и  кареты скорой помощи из соседней Республики. Как и всегда - своих не бросают, чтобы не случилось.","In the same 1939 Hitler said: ""I will not fight against women and children"", and then with a particular brutality bombed civilians. Obviously, Zelensky repeats after his idol. Probably that is why the Ukrainian fascists precisely at 4 a.m. began beating schools and civilian facilities when civilians were sleeping peacefully in their homes. In the village [Rubts] [https://t.me/Let22/1290) the raids have always begun.",,,
573,"Строго 18+
Группа русских военных-варваров-садистов под командованием майора Бориса Бритвы, после того, как изнасиловали всех украинцев и украинок на своём пути, также начали уничтожать муравейники и скворечники. Но и этого им показалось мало. В одной из украинских квартир, русские маньяки на глазах хозяев с особой жестокостью и пытками проводили допрос попугая. Попугай оказался крепким орешком и ничего не сказал извергам. Тогда они принялись разрывать его на части, чтобы съесть, но мясо попугая оказалось не по зубам злодеев и они ушли. Хозяевам попугая, после увиденного беспредела и подлого кровожадного жестокого нечеловеческого насильного насилия, пришлось лечь в психиатрический стационар, поэтому интервью они дать не смогут.

Вы думаете, что я неудачно шучу? Украинские политики и СМИ кормят свой народ подобными байками ежедневно и ежечасно. Скоро всем жителям украины будет необходим психиатрический стационар.

[Канал: Спецоперация на Украине](https://t.me/+c_UWK_BuPHU4OWQy)","In one of the Ukrainian apartments, Russian maniacs were interrogating the masters with a particularly cruel and tortured manner. Poppy turned out to be a strong nut and didn't say anything to the monsters. Then they started to tear it apart to eat, but the meat of the parrot was found to be not at the teeth of the villains and they left.",,,
574,"Когда охотник стал добычей

Амеркиканские наёмники в интервью западным изданиям говорят, что напуганы жестокостью боевых действий на Украине. Причина – дроны. Нет привычного для ""командос"" ближнего боя, а есть только ""всевидящее око"", знающее каждый твой шаг.

Весь опыт, который в своё время накопили ""зеленые береты"", рейнджеры и морские пехотинцы в Сирии, Ираке или Афганистане бесполезен на нынешнем украинском ТВД, – пишет NetEase.

Некоторые украинские пленные признались, что американские наемники, которые были профессионально экипированы, в критические моменты оказывались в ВСУ бесполезны. Крутая западная экипировка стала просто украшением, абсолютно бесполезным на поле боя. Выжившим западным наёмникам, которые приехали в своё время на Украину ""поднять деньжат и пострелять в русских"", уже не до бравады – жизненного пространства на поле боя с каждым днём становится все меньше. Вот и выходит, что домой уцелевшие ""гуси"" возвращаются без денег и с деформированным представлением о ведении традиционных боевых действий. Поделом.

[Подпишись ТГ](https://t.me/epoddubny) / [Подпишись МАХ](https://max.ru/epoddubny)","When a hunter becomes a prey American mercenaries in interviews with Western publications say they are frightened by the brutality of the war in Ukraine. The reason is  drones. There is no ""commando"" used for close combat, but only a ""perceiving eye"" that knows every step of you. All the experience that the ""green shores"" have gained in their time, rangers and marines in Syria, Iraq or Afghanistan are useless on the current Ukrainian TVD, writes NetEase. Some Ukrainian prisoners admitted that American mercenaries who were professionally equipped, at critical moments were in the US Air Force.",,,
575,"И ведь им не стыдно. Им ни капельки не стыдно. Экипированной толпой задерживать слабых и вести их в автозак. На самом деле им страшно. Страшно так же, как каждому, у кого нет Х миллионов откупиться от повестки. И этот страх только усугубляет жестокость. Как всегда – отыгрываться на тех, до кого можешь дотянуться, на тех, кто не сможет дать сдачи. Липкий чёрный перманентный страх, проглотивший всю страну

Страшное видео: Осторожно, новости",And they're not ashamed of it. They're not ashamed of it. They're not ashamed of it. They're not ashamed of it. They're ashamed of it. They're ashamed of it. They're ashamed of it. They're ashamed of it. They're ashamed of it as anyone who doesn't have a $X million to buy off a ticket.,,,
576,"И еще о важном! Сегодня в Херсоне ""**россияне светошумными гранатами и пулеметными очередями разогнали проукраинский митинг**. **Есть пострадавшие"".

**Внимательно прочли заголовок? Отметим, что ни в одном из херсонских телеграм-каналов вы не найдете информации, что митингующие мешали проезду скорой помощи и вели себя крайне агрессивно, в то время когда их просили не мешать работе общественного транспорта и тем более скорых.

А теперь мы повторим то, о чем[ не раз уже предупреждали](https://t.me/kherson_news_info/26060), наступит момент, когда ""зеленые человечки"" потеряют терпение и перестанут быть вежливыми. Что провокаторы в рядах митингующих, которым крайне важно сделать фото-отчет перед центральным руководством в Киеве, не будут думать о безопасности граждан. Им главное - показать кровопролитие и противостояние с Z-войсками, которое потом можно растиражировать в западных СМИ как агрессию именно со стороны российских войск.

Похоже что вчерашний [расстрел машины ](https://t.me/kherson_news_info/26044)помощника депутата Павла Слободчикова, исчерпал лимит терпимости со стороны Z-ок. Хотите предскажем что будет дальше - тотальная зачистка города репрессивными методами, под которые попадут даже те, кто не имел непосредственного отношения к сегодняшней провокации на площади.

Глупость порождает наказание ""уроками"", жестокость - порождает жестокость.
Видео с места событий ниже⤵️","**There are casualties. **Read the headline carefully? **Note that in any of the Herson telegram channels you will not find information that the protesters prevented the passage of emergency aid and behaved extremely aggressively, while they were asked not to interfere with the work of public transport and even more so. And now we will repeat what [not warned] about [https://t.me/kherson_news_info/26060], there will be a moment when ""green shots"" are being fired directly at the west and the leaders of the movement are being turned away.",,,
577,"**Иракский бумеранг: бывший лидер сирийских боевиков прилетел в Вашингтон**

Президент Сирии Ахмед аш-Шараа находится в США с официальным визитом. Он сыграл в баскетбол вместе с главой Центрального командования США CENTCOM и командующим международной антиигиловской коалицией в Ираке. Формальный повод - бывший лидер сирийских боевиков должен официально присоединиться к коалиции против «ИГИЛ*». Не знаю, как на все это смотрят американские ветераны Ирака, потерявшие там друзей. Но напомню историю Шараа.

В возрасте 21 года этот религиозно заряженный сириец прибыл в Багдад за пару недель до вторжения США. После падения режима Саддама, молодой Шараа воевал в составе «Аль-Каиды Ирака»*. Ей руководил один из самых кровавых террористов Ближнего Востока, иорданец Абу Мусаб аз-Заркави.

Заркави стал символом беспрецедентной жестокости. Помимо массовых терактов, он популяризировал видео с обезглавливанием заложников.

Главной стратегией Заркави было разжигание сектантского насилия между суннитами и шиитами. Он объявил шиитам «тотальную войну», считая их еретиками и пособниками США. Целенаправленно атаковались шиитские мечети, религиозные процессии и святыни, пытаясь спровоцировать ответное насилие и сорвать политический процесс. Среди преступлений Заркави:

**__2003. Взрыв грузовика у штаб-квартиры ООН в Багдаде - 23 погибших, включая спецпредставителя ООН
2003. Взрыв в Наджафе 85 погибших, включая лидера шиитов
2004. Взрывы в шиитских святынях в Кербеле и Багдаде. Не менее 181 погибшего
2004. Похищение и обезглавливание американского бизнесмена Берга. На видео голос человека с ножом опознали как голос Заркави
2004. Похищение и обезглавливание британца и двух американских инженеров
2004. Взрыв во время раздачи сладостей американскими войсками в Багдаде. Погибли 35 детей и 7 взрослых__**

Заркави был убит в 2006 году в результате авиаудара ВВС США. Однако его организация продемонстрировала живучесть и эволюционировала в тот самый ""ИГИЛ""*. На тот момент это еще была ветвь ""Аль-Каиды""*, ныне они враги.

Сам Шараа в фильме «Джихадист» утверждал американскому журналисту, что якобы никогда не встречался с Заркави. Фильм снимался за несколько лет до падения Асада, чтобы «отмыть» образ Шараа.

«Многие из нас с совестью и верным пониманием ислама были против убийства хотя бы одного невиновного человека. Даже в случаях, когда гибло много врагов», - утверждал Шараа, говоря о взрывах смертников. На вопрос, почему он не покинул ряды организации Заркави, ничего вразумительного ответить не смог.

Позже во время войны в Сирии организации Шараа ""Джебхат ан-Нусра""* и ""ХТШ*"" пролили реки невинной крови.

В 2005 году молодой Шараа был арестован американцами и 5 лет просидел в лагере «Бука» вместе с 9 будущими командирами «ИГИЛ»*. В тюрьме он написал свой ""Майн Кампф"" - 50-страничный аналитический труд о том, как вести «джихад» против режима Башара Асада – тактика, слабые места. Думаю, Шараа тогда очень заинтересовал американцев. В 2010 он был отпущен вместе с другими лидерами «ИГ»* на свободу. Прямо накануне сноса режимов «арабской весной».

Вскоре в Сирии начались первые протесты и насилие. Шараа после лагеря стал командиром ""Аль-Каиды""* в иракском Мосуле и внимательно наблюдал. Его книга о борьбе против Асада была отправлена лидеру ""ИГИЛ""* Абу Бакру аль-Багдади - Шараа сидел с ним вместе в лагере США. И с согласия Багдади он направлен на войну в Сирию для создания там новой организации по типу иракской.

Дальше их пути с «ИГ»* разошлись и переросли в кровавую междоусобную войну за власть. Очевидно, что ""ИГИЛ""* стал частично неподконтролен Штатам, а вот проект Шараа оказался договороспособным и ручным. Теперь он в США. Такой вот «иракский бумеранг» ветеранам.

**Почему эта история важна?**

Попытка повторить модель Шараа будет вскоре повторена где угодно – для [сноса режимов среднеазиатских баев](https://t.me/sashakots/57475?single), вновь в Ираке, в Китае. Не только американцы, но и сам Шараа держит в сирийских тюрьмах огромное количество таких же иностранных фанатиков, что и сам он в молодости. Часть из них пишет свои «Майн Кампфы». Это инкубатор.

С. Шилов

* - террористические организации","**Iraqi boomerang: Former leader of Syrian militants has arrived in Washington** President of Syria Ahmed al-Shara is in the United States with an official visit. He played basketball with the head of the US Central Command CENTCOM and the commander of the international anti-Islamic coalition in Iraq. The formal reason is that the former leader of the Syrian militants must officially join the coalition against ISIS. I don't know how American veterans of Iraq who lost friends see it all. But I remember the story of Sharjah. At the age of 21, this Shiite-ladened Syrian leader arrived in Baghdad a couple of weeks before the US invasion of Baghdad. After the fall of the Shah Jahan regime, the Azerbaijani leader of the Syrian militants unleashed a video in which he tried to kill a number of Muslims, including Muslims and Muslims, who were killed in the 2004 war.",,,
578,"**Живут в XXI веке, а поступают как в Средневековье: вводить ли законы того времени в отношении сегодняшних воров и грабителей?**

Главы ряда государств Евросоюза, втянувшие не только свои, но и другие страны Европы в войну на Украине,** столкнулись с отсутствием средств** и ничего лучшего не придумали, как предложить потратить замороженные ранее российские активы.

При этом начинают рассуждать, дескать, Россия и так понимает, что их назад не получит. Этими аргументами убеждая принять такое решение глав других государств, которые возражают против этого __(как, например, премьер-министр Бельгии)__.

И тем, кто предлагает, и тем, кто колеблется, отвечаем:

**НЕТ, НЕ ПОНИМАЕМ.
СЧИТАЕМ ТАКИЕ ДЕЙСТВИЯ НЕ ТОЛЬКО НАРУШЕНИЕМ МЕЖДУНАРОДНЫХ ЗАКОНОВ, НО И ВОРОВСТВОМ.**
А если опустить дипломатический язык — **ОТКРЫТЫМ ГРАБЕЖОМ**.

**За такие решения придётся платить не только тем, кто их сегодня принимает, но и будущим поколениям.**

**НИКТО НЕ ПРОСТИТ.

Будем требовать вернуть украденное.
**
**Европейским государствам, замешанным в воровстве, придётся это сделать, выплатив суммы куда большие, с начисленными процентами. **

Но кроме всего прочего, считаем правильным, чтобы **у инициаторов этих решений и принимающих их в различных органах власти было конфисковано имущество и любые активы, принадлежащие им, в счёт уплаты средств, украденных у Российской Федерации.**
**
Все участники воровского сообщества Евросоюза должны понимать: отдавать средства придётся.
Если не им, то их детям, внукам и правнукам.
**
**Бесплатный сыр бывает только в мышеловке.
Надо это помнить. **

**В древние времена тем, кто воровал, отрубали руку.
В жестокости всех превзошли именно европейские государства.**
Наверно, они хорошо знали менталитет тех, кто пошёл по пути краж и грабежа.

**Возможно, сегодня в международное право надо вернуть эту норму — для тех, КТО НЕ ПОНИМАЕТ, ЧТО ЖИВЁТ В XXI ВЕКЕ, где законодательство стало более гуманным.
Но, как оказалось, ряд руководителей европейских стран мозгами и из-за плохой наследственности ОСТАЛИСЬ В СРЕДНЕВЕКОВЬЕ.

**А как вы считаете?

[📲 Подписывайтесь на мой канал в МАХ!](https://max.ru/vv_volodin)","**They live in the 21st century, and they act like in the Middle Ages: do they introduce the laws of that time against today's thieves and robbers?** The heads of a number of European Union states, which have drawn not only their own but also other European countries into the war in Ukraine,** have faced a lack of funds** and have not thought of anything better than to offer to freeze previously frozen Russian assets. At the same time they begin to reason, say, that Russia and so understand that they should not get them back. These arguments convincing to take such a decision to the heads of other states who object to this, such as the prime minister of Belgium) ** And those who offer to pay their debts to foreigners ** and whoever answers them, **they will pay their debts to the Ukrainian government ***** ***** We will not accept these funds ***** but we will accept the decisions of the European Union and the European Union ***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************",,,
