Sr. no.,Channel ID,Post ID,Post,HRV,HRV_Type
65,1457892982,27887,"**Путин признал существование проблемы алкоголизма в России** 

Бункерный считает, что перестать бухать русские могут, занимаясь саморазвитием 🤡

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
66,1080134301,15820,"❗️🇺🇦Украинского армянина заставили ненавидеть Путина и Кадырова.

В Николаеве армянин-продавец овощей заявил о скором приходе кадыровцев, за что его поймали силовики, приказали копать себе могилу и заставили извиниться оттуда, оскорблять Путина и Кадырова и поддерживать ВСУ.

Вот и настоящая поддержка Киевского режима: поддерживай или умри…",No,
67,1093357968,10708,"Просыпаешься с утра, а против тебя ввели новые санкции. Теперь и Австралия. В компании с ДОРОГИМ КУМОМ @epoddubny и ЧВК «Вагнера». **Служу Отечеству!**

https://t.me/truekpru/76470

@sashakots",No,
68,1457892982,28681,"**⚡️В Украине освободят от уплаты налогов важные для прохождения отопительного сезона товары: генераторы, обогреватели, электрические аккумуляторы и т.д., — Шмыгаль

**Пришло время закупаться.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
69,1498939244,29743,"В Одессе ещё один прилёт 💥

обн. 4 взрыва",No,
70,1469021333,9320,🦍 **Чекаємо його профіль на єМогила**,No,
71,1283359437,39693,"**Сводка МО РФ от 29 августа 2022 г. Главное:

**— В результате удара по пункту управления воздушного командования «Восток» в районе Днепропетровска и складу ракетно-артиллерийского вооружения в районе Нововоронцовки Херсонской области уничтожено до 70 боевиков;
— В районе н.п. Марганец (Днепропетровская область) поражены пункт временной дислокации 108-й бригады теробороны и полевые лагеря ""Айдара"" и ""Азова"" — ликвидировано более 100 боевиков, 20 единиц военной техники и свыше трёх тысяч реактивных снарядов для систем залпового огня;
— В районе н.п. Червоный Яр (Запорожская область) и Курдюмовка (ДНР) сбиты два украинских Су-25;
— Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией поражены 203 объекта, в т.ч. шесть складов ракетно-артиллерийского вооружения и боеприпасов;
— Сбиты шесть украинских БПЛА;
— Над территорией ДНР, Запорожской и Херсонской областями перехвачены три украинские баллистические ракеты «Точка-У» и 21 снаряд реактивных систем залпового огня «Ольха» и «HIMARS».

@voenkorKotenok",No,
72,1498939244,35006,В Сумской области также аварийные отключения электроэнергии,No,
73,1366346975,57224,"Кратко по Оскольскому фронту. Ситуация с Купянском будет понятна завтра, на сегодня нет подтверждений тому, что хохол нас выбил из восточной части города нет. Но переправу через Северский Донец  районе Студенка противник навел. По поводу переправы в Червоном Осколе через соотвественно реку Оскол, точной информации нет. Хохол в районе Студенка перебрасывает  личный состав и технику на наш берег. Наши парни бьются и никуда не побегут, как бы ни было тяжело.",No,
74,1080134301,17773,"⚡️ Глава Херсонской области Сальдо обратился к президенту России с предложением о принятии Херсонской области в состав РФ в качестве нового субъекта.

Также известно, что Главы ДНР и ЛНР отправились в Москву для завершения юридической части вхождения ДНР и ЛНР в состав России.",No,
75,1080134301,16047,"**Замес с наглыми бородачами

**Южане нагло ехали по обочине, но нашелся тот, кто не захотел и пропускать, на что те выскочили  из тачки и начали быковать.
В итоге получили перцовкой в лицо и чуть были не избиты толпой (на помощь оператору выскочили другие участники дорожного движения)",No,
76,1109403194,35446,"И еще немного видео о том, как Балаклею «сдали без единого выстрела». 

@sashakots",No,
77,1144404150,17886,❗️**Предварительные итоги контрнаступления 128 бригады ВСУ на Херсон в некрологах закарпатских СМИ**,Yes,D
78,1457892982,28620,"**Грязь, сено.** **Концерт для будущих пакетов.** Без комментариев.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
79,1511148555,11868,"**🇺🇦🏴‍☠️Помогаешь ЗСУ, а во Львове похую 🤣🤣🤣

Коротко о хохлоединстве.**",No,
80,1164348791,6532,"ДИВЕРСИИ УКРАИНЫ. А ПОЧЕМУ МЫ, СОБСТВЕННО, НЕ ОТВЕЧАЕМ В ТОМ ЖЕ ДУХЕ, ПОЧЕМУ МЕДЛИМ С ТЕМ, ЧТО ЕЩЁ ПРЕДСТОИТ РАЗВЕРНУТЬ?
 
Опять моя эпистолярная дискуссия с Блогером. Его мысли, по традиции, в
кавычках.
 
**«Аттентат**, как следует из словаря, устаревшее название политического убийства. Но, как и во многих других вопросах, на Украине слово обозначает не то де самое, что во всём остальном мире.
 
Бандеровцы (исторические, не нынешние) долго говорили, что аттентат - одним из их способов политической борьбы. Не самая жёсткая для того времени идея, тридцатые годы 20го века вообще время далёкое от гуманизма. Только вот убивать действительно высокопоставленных политиков бандеровцы так и не смогли, постепенно скатываясь в терроризм. В итоге жертвами ""бандеровских аттентатов"" становились врачи, учителя, колхозники...
 
Современная же Украина занимается одновременно реконструкцией худшего, что могла найти в истории прошлого века, и игрой в слова, чтобы не затрагивать устоявшиеся у западных хозяев триггеры.
 
Как это выглядит? Украина не призывает к терроризму, но зато там требуют ""восстановить традицию бандеровского аттентата"". Какой терроризм, просто это особенности культуры и национальные традиции. Запад проглотил это когда убивали несогласных на Украине, на Донбассе, теперь и идеологических врагов в Москве.
 
Проблема в том, что в России многие не понимают в насколько иной системе ценностей и понятий живут на современной Украине, всё ещё находясь в плену воспоминаний о нормальной Украине. А там уже давно переименовали терракты в ""аттентаты"", ""диверсии"" или просто сухое ""уничтожение объектов"". Слова тоже многое значат, настолько многое, что на Украине значительная часть населения реально уверена в том, что воюет против русских террористов из организации ДНР, например.
 
С другой стороны, надо понимать, Москва проснулась в новой реальности: от серии терактов, которые отрезвили многих до сих пор очарованных былым братством народов. Но самому явлению современного украинского терроризма уже более 8 лет, оно родилось, сформировалось и выросло, годами продвигаясь к своей цели - горящей Москве».
 
**Я:** Оставьте, Украина давно измазана в крови идеологических оппонентов: Олесь Бузина, жертвы Сожжённой Одессы, Дарья Дугина. Это всё преднамеренное действие англосаксов. Они жгут мосты для отступления, не дают миротворческого манёвра своим нукерам из Киева. Кровь есть на руках? Кто ж их простит, они вынуждены воевать с нами до конца, любыми лютыми методами. О политических убийствах я упомянул. Жертвы диверсий: Захарченко, Моторола, Гиви, подорванный Крымский мост – последняя точка.
 
А что мы? А мы ещё не готовы выйти на тропу **этой **войны. Почему я в этом уверен? Так дайте хоть одну громкую сатисфакцию, оповестите о ней. А знаете, чем у нас занимаются профессионалы в этой области? Они воюют, как обычная пехота, потому что обычной пехоты не хватает. Где спецназы ГРУ (бригады все на войне), где легендарный «Вымпел»? На войне. Где ССО? На войне. У нас всю жизнь разведка охраняет командиров и штаб, а в джунгли ходить некому. Мы окунули СпН (профессиональных диверсантов) в окопную рутину, и ждать от них перестройки работы, в ближайшем будущем, не стоит.
 
Продолжим заколачивать рельсовые костыли хрустальными молотками?",Yes,A
81,1144404150,13010,"Вынос раненой девочки из под завалов дома в Донецке после украинского обстрела.
Официально заявляют об 1 погибшем и 4 раненых.
Неофициально говорят, что погибло 2 человека.

https://t.me/zheltyeslivy/42770",Yes,A
82,1080134301,16126,"❗️🇦🇲🇦🇿 **Азербайджан применил Bayraktar TB2.

**Около 15:00 на северо-западном участке линии соприкосновения азербайджанские подразделения применили БПЛА на высоте Сарыдаг, в результате чего смертельноe ранение получил один военнослужащий армении еще 8 военнослужащих получили ранения различной степени тяжести. 

Минобороны Азербайджана сообщает, что проводимая в Карабахе операция является ответом на гибель азербайджанского военнослужащего.

В данный момент напряженность на линии соприкосновения сохраняется. Для деэскалации задействованы российские миротворцы.",Yes,A
83,1093357968,11523,"Русская Гуманитарная Миссия продолжает работать. 

25 тонн гуманитарного груза доставлено в Луганск. 

[Продуктовые наборы и предметы первой необходимости](https://t.me/rgmagency/920) будут отправлены в города и сёла ЛНР и переданы тем, кто долгое время оставался без какой бы то ни было поддержки. 

Спасибо всем, кто поддерживает работу РГМ и [Фонд им. Елизаветы Глинки. ](https://t.me/liza_fund)

Мы продолжаем сбор в пользу жителей ДНР, ЛНР и освобожденных районов Украины. 

2202 2032 5864 7967 карта МИР

bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80 BTC 

0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208 ETH

rfmFjVDUa7z1a2XC74yQpirdzk76AtCqiZ XRP

LPxD7gErrWSqqwYvmvuzRorLBZ9oMQ1Ngh LTC

@epoddubny",No,
84,1109403194,37431,"**Собянин сообщил, что побывал ""на линии обороны"" в зоне спецоперации

**📲 В своем Телеграмм-канале мэр написал: __""Помогаем нашим ребятам на линии обороны обустроить рубежи. А также устанавливаем генераторы, печки и строим медицинские пункты""__.

🐔 [Подписаться на @truekpru](https://t.me/+p3pOHrMFlcI0NWRi)",No,
85,1498939244,36140,💥ПВО доблестного 11-го полка сбили  петушиный Ми-8 под Первомайкой. Ждите видео.,No,
86,1498939244,32800,"Около 80 тысяч мобилизованных граждан сейчас находятся в зоне проведения СВО, из них 50 тысяч принимают участие в боевых действиях, заявил Путин на встрече с губернатором Тверской области. 

Путин призвал власти на всех уровнях проявлять внимание ко всем мобилизованным, где бы они ни находились – на полигонах или в зоне боевых действий.",No,
87,1080134301,16654,🇷🇺🇺🇦 Российские офицеры водрузили триколор размером 6 на 4 метра на высоте 202 метра над землёй в Херсоне.,No,
88,1511148555,11396,Сегодняшние прилёты в Ровно 😘,No,
89,1511148555,11530,❗️Херсонскую область никто сдавать не будет – власти,No,
90,1080134301,17825,"**Психованный охранник применил против женщины газовый баллончик и физическую силу

**Женщина пришла в школу требовать альтернативный вход для детей, аргументируя тем, что металлические рамки вызывают бесплодие у мальчиков и девочек.

И.о. главы администрации столицы Коми уже сообщил, что охранник будет уволен.",Yes,B
91,1511148555,14647,**Судьба либерального куколд-мусора на чужбине.**,No,
92,1457892982,29105,"**⚡️ Одесские чиновники решили подзаработать на ""зерновом коридоре"", — **[**ГБР**](https://dbr.gov.ua/news/dbr-vikrilo-na-odeshhini-masshtabnu-shemu-poboriv-z-eksporteriv-zernovogo-koridoru)**

**Стало известно, что лица при должностях не брезговали просить взятки **за экспорт зерновых культур** через морские порты Одесской области по **""зерновому коридору""**.  Все просто: хочешь получить документы — **плати**.

В ходе обысков уже нашли деньги от подобных сделок и документы, подтверждающие их.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
93,1080134301,19769,"В Киеве тоже зафиксирован прилет, поднимается дым после взрыва",No,
94,1080134301,16072,🇷🇺🇺🇦 Донбасс. Работа минометных расчетов по позициям ВСУ.,No,
95,1109403194,34228,"**⚡️⚡️⚡️Луганские аграрии в честь старта уборочной кампании  выразили поддержку бойцам Народной милиции и российским Вооруженным Силам, участвующим в спецоперации по освобождению Донбасса. Поле с символической надписью ""ZOV"" находится в освобожденном Новоайдарском районе.**",No,
96,1469021333,8932,"❗️Ситуація щодо російського вторгнення

🔴Після обстрілу Зміїного з корабельних озброєнь та бойової авіації окупантів була зруйнована інфраструктура на острові. 

🔴Крім того, зв'язок з прикордонниками, які знаходяться на остові з воїнами ЗСУ, втрачено. 

🔴За наявною інформацією острів Зміїний захоплений. 

🔴Нагадаємо, ворог сьогодні неодноразово марно намагався залякати українських захисників на острові з вимогами здатися. 

🔴Прикордонники та ЗСУ мужньо тримали оборону.

🔴Зазначимо, Держприкордонслужба продовжує активно діяти спільно з Збройними силами України та Нацгвардією, аби спинити ворога, який підступно напав на нашу країну.
Перемога буде за нами!",Yes,D
97,1469021333,11362,"📷**Пам'ятаєте декілька тижнів тому перевернутий у воді кацапський танк?

**Сьогодні він став нашим трофеєм. З третього фото видно, що екіпаж живим вибратись не зміг.

🔺Московські ЗМІ виставляли його за наш! Цікаво, що тепер скажуть? Івани залізли в український танк і втопилися?",No,
98,1366346975,55457,"📹 **Союзные силы уничтожают противника в Марьинке

**Бойцы  батальона ""Шторм"" 102-го  мотострелкового полка 150-й  мотострелковой дивизии ВС РФ показали как продвигаются в Марьинке. Работают профессионально, используют современные методы ведения боя, приближая тем самым Победу.",No,
99,1109403194,36247,"Москва задает тон в мерах поддержки семей мобилизованных. Собянин подписал указ о дополнительных льготах для наших героев.

Вот детские:

✔️Детей мобилизованных москвичей можно будет записать в детский сад во внеочередном порядке — когда ребенку исполнится полтора года. 

✔️ Во внеочередном порядке также можно будет перевести ребенка в детский сад или школу ближе к дому.

✔️Семье мобилизованного москвича не придется платить за присмотр и уход за ребенком в городских и муниципальных детских садах — эта плата отменяется.

✔️Детям мобилизованных москвичей в школах будет предоставляться бесплатное двухразовое горячее питание (завтрак и обед) независимо от класса (вплоть до 11-го).

✔️Если ребенок мобилизованного учится в городском колледже, ему будут предоставляться бесплатные обеды.

✔️Дети мобилизованных москвичей будут в первоочередном порядке зачисляться в группы продленного дня с 1-го по 6-й классы. Платить за посещение продленки не придется.

✔️Дети мобилизованных смогут бесплатно посещать занятия по дополнительным программам обучения в городских и муниципальных школах и учреждениях дополнительного образования.

[Есть еще льготы ](https://www.sobyanin.ru/o-podderzhke-semei-mobilizovannyh-grazhdan?utm_source=tg&utm_medium=post&utm_campaign=051022) для пожилых родственников, жен и тд.

Подать заявление можно в Центре поддержки семей мобилизованных (улица Сергия Радонежского, дом 1, строение 1). Связаться с центром можно по телефону: +7 (495) 870-44-44.",Yes,B
100,1283359437,37265,"**__«Боксер»: Противник выбегал из балок. Обзор трофейных карт и схем из Мариуполя
__**
Александр Шестаков (позывной «Боксер») — ветеран ополчения ДНР — продемонстрировал многочисленные трофейные карты, захваченные на позициях и в расположениях противника в освобожденном Мариуполе. 

Подписываетесь на [«Бастион»](https://bastyon.com/index?v=fb8e8cfc454f14a7e72721c16c70bca81b34aabebcb2c229406d6771f3f042a3&video=1&ref=PARV591XENALBB5ApkR7WcQPhEZtLHfi2A)!
Видео на [YouTube](https://www.youtube.com/watch?v=skOhrlS8c5M)

@voenkorKotenok",No,
101,1498939244,33397,"Пентагон заявляет, что не может подтвердить сообщения о двух российских ракетах, упавших на территории Польши",No,
102,1511148555,13462,"❗️Госсекретарь США Энтони Блинкен заявил, что в конгрессе идет работа над альтернативой признанию РФ ""страной-спонсором терроризма"".

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No,
103,1366346975,55594,"💬 **Когда мы выходим на боевой путь, противник слышит грохот наших лопастей, наше рычание и просто покидает позиции. Боится он «Аллигатора».

**Кадры боевой работы экипажей ударных вертолетов Ка-52",No,
104,1511148555,9337,"‼️‼️‼️Запорожская область де-факто отделилась от Украины и подала заявку на вступление в Россию, заявил глава ВГА региона.",Yes,D
105,1536211233,989,"**Another Russian General killed in Ukraine **

Head of 49th combined arms army of the Southern Military District Yakov Ryazantsev was killed near Kherson today. He is the seventh Russian general who died during the war in Ukraine.

**В Украине убит еще один российский генерал**

Сегодня под Херсоном погиб командующий 49-й общевойсковой армией Южного военного округа Яков Рязанцев. Он седьмой российский генерал, погибший во время войны на Украине.",Yes,A
106,1109403194,36367,"Строгость режима проезда компенсируется необязательностью его соблюдения. Злые языки говорят, что вот так можно было объехать газоанализатор на Крымском мосту (обсценная лексика). В обе стороны. Еще что-то про 200 рублей говорят в документах, не понял, зачем (да понял, конечно). 

Теперь за безопасность будет отвечать ФСБ. Может, пока не поздно, провести ревизию всех стратегических объектов в прифронтовых регионах. И отдать под крыло спецслужб?

@sashakots",No,
107,1366346975,55126,"[​​](https://telegra.ph/file/73d209d06be105da5c72c.jpg)**Карта военных действий и ситуация на фронтах к вечеру 3 сентября

**Ночью в очередной раз произошла попытка [захвата](https://t.me/readovkanews/41155) боевиками ВСУ Запорожской АЭС, и вновь неудачно. Две группы десанта, числом свыше 250 человек, на катерах и моторных лодках попытались пересечь Каховское водохранилище и высадиться в районе Энергодара и Днепропрудного. Однако их перехватили, когда они еще были на воде — накрыли ударами четырех Су-30 и двух Ка-52 ВКС России. Итог: 20 катеров и лодок были утоплены, остатки нападавших развернулись в сторону украинского берега, где были еще раз атакованы нашей артиллерией. По данным Минобороны РФ, в ходе этой ночной [провокации](https://t.me/readovkanews/41157) ВСУ потеряли 47 человек убитыми, в их числе 10 иностранных наемников.

⚔️Обстановка на фронтах за уходящие сутки:

**▫️На Соледарском направлении** противник продолжает удерживать фронт по линии **Верхнекаменское-Ивано-Дарьевка-Веселое-Яковлевка**. Наши же атакуют позиции ВСУ в окрестностях **Яковлевки и Веселого, **им помогают ВКС**. 

▫️На Донецком направлении **русские войска продолжают пробивать дорогу в сторону **Авдеевки**. Продолжается противостояние за развязку **Донецкой кольцевой автодороги** за **Песками**, наши ведут наступательные действия на Первомайское. 

**▫️На Южном направлении** на большинстве участков сегодня не было новостей о крупных изменениях. Вся активность сосредоточилась на Андреевском участке. В районе Сергеевки, под Новой Каховкой, ВКС России [сбиты](https://t.me/readovkanews/41171) два украинских штурмовика Су-25.

**▫️На Андреевском участке** же ситуация сегодня складывалась не просто. Ночью наши разбомбили все три понтонные переправы через Ингулец и таким образом отрезали на южном берегу скопившуюся там в узком прорубленном коридоре группировку. Им на помощь поспешило подкрепление — командование ВСУ решило сконцентрировать имеющиеся резервы и силы здесь для деблокировки и расширения плацдарма. Для этого перегоняли колонны техники и людей через Березнеговатое, насыпана новая переправа. В результате в течении дня боевикам удалось полностью занять село Благодатовка и деблокировать окруженные на южном берегу группировку. Но наши держат ситуацию под контролем, используя артиллерию и авиацию. Противостояние продолжается.

**По нашему приграничью** — утром ВСУ обстреляли село Кистер Погарского района Брянской области. Были повреждены линии электропередач и дорога, погибших и пострадавших удалось избежать. Также в районе Старого Оскола Белгородской области успешно сработала наша ПВО. 

**Прилеты** сегодня фиксировались в Донецке, Горловке, Ясиноватой. После многочисленных ракетных ударов ВСУ произошло частичное обрушение моста через Каховскую ГЭС — судя по спутниковым снимкам, обрушился один пролет. Также были обстреляны жилые кварталы города-спутника станции, работала ПВО. В Херсоне же был варварски [обстрелян](https://t.me/readovkanews/41180) спортивно-оздоровительный центр. 

**Калибры**. В Славянске наше высокоточное оружие поразило пункт временной дислокации 95-й десантно-штурмовой бригады — уничтожили более ста украинских военнослужащих и 14 единиц бронированной и автомобильной техники. Также в районе Константиновки [уничтожена](https://t.me/readovkanews/41171) РСЗО HIMARS c машиной подвоза боеприпасов и до 30 человек боевого расчета.
Южнее станции Выемка, что под Северском, был поражен пункт временной дислокации 93-й механизированной бригады — ликвидировано до 120 боевиков и 11 единиц военной техники. В районе Новоселовки Днепропетровской области был [сбит](https://t.me/readovkanews/41171) украинский **МиГ-29**, оснащенный ракетами HARM.

**В мире** **— **тем временем в [Праге](https://t.me/readovkanews/41181) и [Париже](https://t.me/readovkanews/41189) прошли антиправительственные митинги. Протестующие призывают уходить действующие власти в отставку, а слоганом чешских протестующих стал лозунг «Это не наша война», очевидно относящийся к непомерным жертвам ради Украины.

**Из интересного — в последние дни на Херсонском направлении показали изменение тактики **ВКС РФ. По оказавшимся в огневом мешке на южном берегу Ингульца наша оперативно-тактическая авиация стала работать планирующими бомбами и «чугунием» — они же ФАБ-500. Что это означает и чем это показательно — [объясняет](https://t.me/readovkaru/1316) Readovka.",Yes,A
108,1366346975,54748,"Такой ближний бой мы вам ещё не показывали. На видео, снятом с дрона, редчайшие кадры перестрелки штурмового батальона 11-го полка Народной милиции ДНР с отдельным родом войск Украины — ССО (Силы специальных операций).

Бой происходит на территории укрепрайона ВСУ в Первомайском, на Донецкой кольцевой дороге. После отступления украинские боевики рассредоточились, поэтому нашим бойцам приходится буквально выковыривать вэсэушников из «лисьих нор», вырытых под асфальтовым покрытием.

Пули пролетают даже не в нескольких метрах, а в десятке сантиметров — так, что их можно услышать. А всё, что можно увидеть, отделяет насыпь. Автоматные очереди и взрывы гранат. Вот это ближний бой!

Видео от нашего военкора [Андрея Филатова](https://t.me/FilatovCorr).

@milchronicles",Yes,B
109,1511148555,13471,"**В баре ресторана ""Юрас перле"". Танцевальная группа Лаймы Вайкуле. ЛаССР. Юрмала, 1982 . 

Примерно так Лайма и содержала Советский Союз ) 
Кто не узнал , Лайма посередине .

💭Думаю ебли её всеми советами, содержанкой для многих точно была

**[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No,
110,1366346975,49153,"**‼️💥 Бои у Артемовска не утихают и ночью
**Союзные войска наступают на этот оккупированный ВСУ город в ДНР. Артиллерия бьёт по окраинам, где окопались боевики ВСУ и нацбатов.
 **t.me/RVvoenkor**",No,
111,1109403194,34002,"Позиции противника на Лисичанском желатиновом заводе выявляются с помощью коптеров и накрываются артиллерией.

@sashakots",No,
112,1498939244,36258,"Путин встретился с врио главы ДНР Пушилиным в Кремле.

Президент заявил, что ситуация с обеспечением безопасности в Донецке острая, учитывая обстрелы Киевом жилых районов города, это отдельная тема, которую он хочет обсудить с Пушилиным.

Ранее сегодня Президент провел встречу с врио главы ЛНР Пасечником.",Yes,B
113,1511148555,11725,"**Дмитрий Медведев:**

«Чем лучше, по информации украинских СМИ, там работают силы ПВО, тем хуже обеспечение страны электричеством и водой. Требуется вдумчивое исследование установленного парадокса»",No,
114,1457892982,27952,"⚡️**Армия США может принять участие в войне в Украине, — **[экс-директор](https://www.lexpress.fr/actualite/idees-et-debats/david-petraeus-ex-cia-une-force-dirigee-par-les-etats-unis-pourrait-intervenir-en-ukraine_2182249.html)** ЦРУ Дэвид Петреус

**«США и другие страны могут отреагировать на действия России тем или иным образом, но как многонациональная сила под руководством США, а не как сила НАТО».

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
115,1469021333,10532,ГУР: Путін готує теракт на ЧАЕС,No,
116,1144404150,13524,"**11 апреля 2014 года, Славянск 

**Этот сюжет украинского телевидения - славянского телеканала – один из немногих доступных до сих пор, здесь хорошо видно, чего на самом деле хотели жители этого города .
**11 апреля 2014 года, Славянск 

**Этот сюжет украинского телевидения - славянского телеканала – один из немногих доступных до сих пор, здесь хорошо видно, чего на самом деле хотели жители этого города .

https://www.youtube.com/watch?v=3bl8OkF_to8",No,
117,1144404150,14425,"❗️Воздушная тревога объявлена в западной и центральной Украине.

@warjournaltg",No,
118,1283359437,39745,"От Суда не уйти никому! Умер Горбачев. Да воздаст ему Господь!

@voenkorKotenok",Yes,A
119,1366346975,50159,"Известный русофоб Альфред Кох негодует. Он то всерьез воспринимал украинскую пропаганду и наверняка слушал Арестовича, а в августе наступило прозрение:

__""Вот и прошёл сто шестьдесят первый день войны. Я уже перестал что-то понимать. Нам так много говорили, что вот-вот начнётся украинское наступление на Херсон, что я всё никак не могу привыкнуть к тому, что те же говорящие головы, которые нам лили в уши про это наступление, теперь, без всякого перехода, предлагают нам ждать российского наступления от Херсона на Николаев и Кривой Рог.

Нам так долго рассказывали, что российская артиллерия осталась без снарядов, что нам опять нужно привыкать к тому, что она шесть дней к ряду засыпает снарядами Донбасс. Нам говорили, что у Путина уже нет резервов. Но перекинув 30 БТГ под Херсон, у него всё ещё есть силы продолжать наступление на Бахмут и Авдеевку.

**Ребята! Хватит врать. Расскажите все как есть. Шойгу утверждает, что он уничтожил шесть HIMARSов. Вы утверждаете, что это ложь. Но почему тогда ещё неделю назад вы за ночь уничтожали по 10-15 складов противника, а теперь только по четыре-пять? Он утверждает, что уничтожил пять HARPOON. Если это неправда, то почему с тех пор, как они появились на вооружении ВСУ, не было потоплено ни одного корабля Что, вообще, происходит? Почему вместо войны Офис Президента занят разборками с Днепровскими? 

Украинские пропагандисты в один голос рассказывают нам про то, что путинские вояки больше не возьмут ни одного крупного города. Тогда зачем тотальная эвакуация из Донецкой области? Это на шестой-то месяц войны! А почему её не провели раньше, когда русские наступали? И почему ее проводят теперь, когда риска такого наступления нет? Или есть?

**На дворе август. Это был тот дедлайн, который вы называли как крайний срок для перехода ВСУ в наступление. Нам все ещё ждать его или у вас теперь есть новая дата? Если да, то назовите её. И объясните причины переноса. Только не надо заводить старую волынку про то, что Запад плохо помогает. Запад вас в эту войну не загонял, а даже наоборот, пытался помирить вас с __Путиным__. За что вы Запад презирали и гордились своим молодечеством. 

И теперь он помогает как может. Миллиарды кэша почти каждый день сыпяться как из рога изобилия. У вас уже западных РСЗО почти столько же, сколько у британской армии. Европа готовится замерзать зимой, но отступать не намерена. Так что хватит про ""плохой"" Запад. Давайте уже, наконец, про танцора и что ему мешает в реальности"".

__Обманули в лучших чувствах и ожиданиях. 😀",Yes,B
120,1144404150,12126,"На сегодня Россия инициировала организацию гуманитарного коридора для жителей Мариуполя. По приезду на место, служащие полка «Азов» (на видео) говорили, что эвакуации не будет, потому что российская сторона кого-то там обстреляла. Реакция женщины ожидаема. 

Да, это ведь так логично, самим предложить коридор, а потом нарушить условия его предоставления, чтобы при штурме города быть стиснутым в ведении боевых действий, и чтоб обязательно страдали мирные.

Находясь в полном окружении, азовцы и остатки морпехи из 36-ой бригады, видимо совсем уже не видят выхода, раз не выпустили даже женщин с детьми.",Yes,B
121,1498939244,29594,"Предварительная явка по итогам двух дней референдума на освобожденных территориях:

ЛНР — 45,86%
ДНР — 55,05%
Запорожская область — 35,54%
Херсонская область — 31,79%

Референдум о присоединении этих регионов к России будет продолжаться по 27 сентября включительно.",No,
122,1080134301,19103,Последствия неудачной атаки ВСУ на позиции в ДНР,No,
123,1511148555,13485,"**⚡️ Глава ЧВК ""Вагнера"" Евгений Пригожин снова попросил прокуратуру РФ проверить YouTube. 

**Бизнесмен обратился к Генеральному прокурору РФ Краснову Игорю Викторовичу, чтобы тот проверил платформу на видеоматериалы, направленные на создание угрозы обороноспособности нашей страны и государства. 

`«Как и раньше, я полагаю, что в отношении YouTube должны быть приняты самые жесткие меры, так как эта американская онлайн-платформа грубо нарушает российское законодательство. Необходимо срочно остановить распространение недостоверной общественно значимой информации под видом достоверных сообщений, которая создает угрозу массового нарушения общественного порядка.""`

💤Как думаете, YouTube могут объявить нежелательной организацией в РФ?

👍 - Могут!

👎 - Нет

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",Yes,A
124,1511148555,12177,"Публикует Тринадцатый:

Тут короче был наш рембат в Чернобаевке, там стоял металлолом, сожженная и разбитая техника, и наша и трофейная, её дербанили на запчасти от того, что вывозить это смысла не было, соответственно и бросили всё бесполезное говно там, но хохлы тут отмечают это как великую перемогу... Бля, мне кажется они скоро памятники времён ВОВ на постаментах будут снимать и говорить ""Нагорода! Перемога!"".... Дебилы блять 😂🤦🏻‍♂

И да, вы там под ножки везде смотрите, мы там вам много чего оставили😉
**
P.S. 1.хохол без двух ног-окурок.
       2.хохол без одной ноги-циркуль.**",No,
125,1469021333,9280,**Почалася партизанщина**,No,
