Sr. no.,Post,HRV Result,HRV Type
156,"[​​](https://telegra.ph/file/4f11874942ee3258803ca.jpg)**У Києві понад 70 житлових будинків пошкоджені внаслідок обстрілів: комунальні служби отримують ремонтні матеріали для відновлення

**▪️Будівлі мають різні ступені пошкоджень: там, де руйнування критичні, мешканців відселили, де незначні – комунальні служби отримують ремонтні матеріали для оперативного відновлення: плівку для ремонту вікон, кріплення, матеріали для ремонту покрівлі тощо.

🔸Підприємства, що перевозять відходи, зокрема «Київкомунсервіс», мають відповідну техніку та регулярно вивозять габаритні уламки від вибухів. 

✔️Служби оперативно відновлюють комунікації та послуги, щоб люди повертались у свої оселі в тих будинках, які придатні для проживання.

🔸Працівники житлово-комунальної сфери, крім тих, хто пішов до лав ЗСУ та територіальної оборони, працюють попри збільшення обсягу робіт і труднощі.",Yes,D
161,"Украинские боевики бегут из здания школы в котором до этого было их расположение.
Расположение обнаружено благодаря масксетям, транспорту и идиотам в камуфляже. По нему нанесено огневое поражение.",Yes,B
163,"В результате обстрела Белгорода ранено двое мирных жителей. В настоящий момент обстрел прекратился. ПВО успешно поразила большинство целей.

@voenkorKotenok",Yes,A
171,"Еще пленные. Хлопцы сделали правильный выбор. Это военнослужащие житомирской 95 ОДШБр. Операторы ПТРК. Никто из них, конечно ни разу не выстрелил. 

У крайнего левого хлопца в телефоне нашли видео издевательств над российскими пленными. Вот тут ему поплохело. Говорит рассылка, теперь осуждает побратимов. 

Правильный выбор сделали братья-славяне. Другим повезло меньше. 4 - 200х. 

@epoddubny",Yes,D
175,"Иван-гей сжёг 2000 рублей,  так он решил пошутить про взрыв Крымского моста, во время которого погибло несколько человек",Yes,A
176,"**‼️🇷🇺 Штурм Лимана продолжается: русские ""Торнадо"" уничтожают позиции ВСУ у города, поддерживая наступление

**Реактивные системы залпового огня ""Торнадо-Г"" группировки ""Отважных"" точно поражают позиции ВСУ вокруг Лимана. 
Масштабная артподготовка [**велась и перед штурмом**](https://t.me/RVvoenkor/13288), она очень помогла прорвать оборону врага.
**t.me/RVvoenkor**",Yes,D
178,"❗️В телеграме продолжают действовать мошенники, которые, украв фото с канала и поставив такое же имя, пишут подписчикам в личку либо спамят в комментариях на других каналах с просьбами донатить ""защитникам Лимана"", ""бойцам из N-ой бригады"", ""раненым ополченцам"" и т.д.

В лучшем случае деньги уйдут в карман проходимцам. В худшем (учитывая, что часть мошенников курируют украинские спецслужбы) — на помощь укровермахту.

**Свежесозданные мошеннические аккаунты:

**@voenkotkotenokzv
@VvoenkorKotenok
@voenkorkotenokzz
@VvoenkorKotenokZ
@voenkorkoteno
@voenkorKotenokz
@Voenkor_Kotenok_Z
@kotenok_sbor_z

Большая просьба потратить несколько минут вашего времени и оформить жалобу в сапорт на данные аккаунты. При обнаружении новых прошу написать об этом в обратную связь — @KotenokVoenkorBot

Напоминаю — любые сборы **ТОЛЬКО НА КАНАЛЕ**. Если кто-то пишет вам в личку и просит перевести деньги — это мошенник. **Исключений нет**.

**Как оформить жалобу**: зайти в настройки, нажать ""задать вопрос"", выбрать ""обратиться к волонтерам"" и затем ""да, перенаправьте меня"".

@voenkorKotenok",Yes,A
3,"⚡️Киев, обломки зенитной ракеты украинской ПВО снова рухнули в жилом секторе

✅[Спецоперация на Украине](https://t.me/specops2022). ✅[Подписаться](https://t.me/specops2022)✅",Yes,B
8,‼️В Николаеве вандалы взорвали памятник жертвам Великой Отечественной. От обелиска осталась только груда глыб.,Yes,A
9,"🇷🇺🇺🇦**☢️** ВСУ в очередной раз обстреляли **Энергодар,** где находится крупнейшая в Европе **Запорожская АЭС.**

Судя по найденным на месте обломкам, украинские формирования использовали беспилотники-камикадзе. Ранее они [уже применяли](https://t.me/rybar/35391) аппараты этого типа для ударов по атомной станции.

В ходе налета погибла собака: ее хозяин успел скрыться от осколков, но псу повезло меньше.

Целенаправленные обстрелы города проходят в рамках политики Киева по [созданию паники](https://t.me/rybar/37056) на освобожденных территориях и срыве интеграционных процессов с Россией.
#Запорожье #Россия #Украина #Энергодар
@rybar

__*Поддержать нас: __`4377 7278 0407 7977`",Yes,A
11,"**Удары возмездия: новогодний спецпуск — сводка по состоянию на 11:00 по московскому времени 29 декабря 2022 года

**За последние два дня возобновились удары возмездия по украинским военным и инфраструктурным объектам. Вчера утром был удар по объекту в Слободском районе Харькова, по некоторым данным, там был поражен теплоэлектроцентраль, после чего в городе остановилось метро. 

В ночь с 28 на 29 декабря был зафиксирован массовый налет «Гераней» на Сумщину, Днепропетровщину, Харьковщину, Херсонщину, Запорожье — на местах некоторых прилетов, как в Харькове, вспыхнул пожар.

Сегодняшнее утро началось весьма бодро на Киевщине, и далее распространилось фактически на всю страну. Зафиксированы были полета ракет-мишеней, вскрывших расчеты ПВО, после чего уже сами расчеты — как минимум, в окрестностях Одессы и Киева — были накрыты боевыми. В результате прямо сейчас продолжаются прилеты, в городах начинает отключаться свет, местами пропадать вода.

💥**На данный момент известно о прилетах в:

**— Киеве
— Киевской области
— Харькове
— Николаеве
— Одессе

**⚡️Блэкаут в:
**— Киеве
— Харькове
— Львове
— Одессе",Yes,B
12,"В Афганистане бойцы антиталибских сил выпустили несколько артиллерийских мин в направлении бывшей воинской части ВС США [""Баграм"".](https://t.me/directorate4/10033) Согласно заявлению группировки, при обстреле были ликвидированы шесть боевиков движения ""Талибан"", еще несколько получили ранения.

Ранее аэродром ""Баграм"" регулярно подвергался нападениям со стороны как самих [талибов](https://t.me/directorate4/4910), так и [боевиков Исламского государства](https://t.me/directorate4/8712).",Yes,A
13,"На Украине уничтожен 23-летний американский наемник Джеймс Греггс. Служил в ""Интернациональном легионе"" пулеметчиком в Харьковской области.

Причем летом ему прилетел звоночек в виде осколочных ранений, но он предупреждениям не внял. 

Ликвидирован огнем российской артиллерии.

@sashakots",Yes,A
19,"Сражение под Балаклеей (07.09.22): Очень похоже, что российское командование проспало удар ВСУ

Только так я могу пояснить почему первые резервы к месту прорыва прибыли спустя БОЛЕЕ СУТОК после начала наступления противника. 

Ссылка на первоисточник на РУТУБ: https://rutube.ru/video/f4df9114aa3ac2975c8c2fbe510767c0/",Yes,D
27,"ВОЙНА. США. О НОВОМ ПАТРОНЕ ЗАМОЛВИТЕ СЛОВО! ШТАТЫ ОТКАЗЫВАЮТСЯ ОТ М4, ГОТОВЯСЬ К ВОЙНЕ С НАМИ И С КИТАЕМ.    

Армия США завершила, наконец-то, программу NGSW и приняла на вооружение новый основной автомат и новый патрон. Этот же патрон будет использоваться в пулемётах и снайперских винтовках. Чтобы понять масштаб и важность этого события стоит немного углубиться в историю. 

С 70-ых годов американцы ведут исследовательские программы по значительному увеличению эффективности стрелкового вооружения, которое обеспечит солдату подавляющее превосходство над потенциальным противником. Предыдущие заканчивались спорными результатами, и российские эксперты полагали, что NGSW ждёт тот же конец. 

Результатом программы стало принятие на вооружение стрелковых подразделений нового автомата, или автоматической винтовки Зиг М5, под патрон 6,8*51 мм. Новый патрон на столько мощный, что гильза сделана двухкомпонентной, иначе просто не выдержать давление пороховых газов. Геометрия гильзы совпадает с НАТО-вским винтовочными патроном, поэтому пулемёты и снайперское оружие будут не производить с нуля, а перестволивать имеющееся. В итоге, противник получает новый патрон, который на дистанциях современного стрелкового контакта потенциально пробивает все виды российских и китайских бронежилетов, включая и перспективные. Либо американский солдат будет иметь значительное преимущество в дистанции эффективного огня, чему способствует наличие прицелов и приборов в новом стрелковом комплексе. 

Результат программы нельзя считать бесспорным, при этом. Получившийся автомат довольно тяжёлый и габаритный. Кроме того, в комплекте идут оптический прицел, глушитель, лазерно-световой модуль и другие ""навесы"". Поэтому, кроме безумно дорогого перехода на новое оружие, американская, армия вынужденно кратно увеличить количество пистолетов и сохранить имеющееся оружие под промежуточный патрон для многих подразделений, ввести новый пистолет-пулемёт и прочее... 

Даже американские эксперты испытывают опасения по поводу внедрения новой концепции стрелкового оружия. У них уже был опыт вооружения всех солдат оружием под винтовочный патрон, и они были вынуждены перейти на промежуточный (с м14 на м16). Поэтому, в известной степени, история совершила полный круг, и сейчас они возвращаются к новому винтовочному патрону. Однако, опасения по поводу веса и габаритов оружия частично снимает опыт по принятию на вооружение корпуса морской пехоты автомата Хэклер-Кох М27, под промежуточный патрон, но с длинным и тяжёлым стволом. Изначально его вводили лишь как оружие поддержки в отделение, но в дальнейшем он стал основным, а позже к нему добавили и глушитель для всех солдат. 

Что это значит для нас? В первую очередь то, что американский ВПК способен осуществлять проекты, которые мы полагаем технологически не реалистичными. Кроме того, при всех наших подозрениях насчёт качества американских солдат, они не просто способны носить на себе более тяжёлую выкладку чем наша, уже сегодня, но и увеличить её на несколько килограмм. Можно понять, что американская армия оценивает физические возможности своего солдата, как значительно более высокие,чем российского. И главное, США готовы вкладывать баснословные деньги в полную замену стрелкового оружия армии на более дорогие образцы и переход на новый патрон, ради получения технического преимущества в прямом конфликте с солдатами Китая и России. Они рассчитывают воевать технологическим, а не численным превосходством. 

В свою очередь, мы приняли на вооружение автомат АК-12, являющийся по сути повторением американского комплекта модернизации SOPMOD для М4 поздних 90-ых годов. Решение имеет свои плюсы и с точки зрения тактики, и с точки зрения экономики. Однако, если внедрение нового патрона и оружия у противника закончится даже частичным успехом, то мы останемся без адекватного ответа, готового к быстрому использованию. Это очень рискованная ""ставка"".

https://m.youtube.com/watch?v=hO4IKxECNzI",Yes,A
29,"Париж должен перестать поддерживать Зеленского после его попытки спровоцировать третью мировую, заявил французский депутат и бывший кандидат в президенты Николя Дюпон-Эньян.

«Зеленский, отправляя ракету в Польшу и обвиняя в этом русских, чуть было не спровоцировал третью мировую войну! Прекратим поддерживать этого опасного человека», — призвал политик.",Yes,D
32,"Из репортажа Radio France International  из-под Северодонецка. Духоподъемное чтиво:

""Русские бомбят и обстреливают из минометов 24 часа в сутки, без перерыва. Когда вы вступаете в бой со своими людьми, после двух минут боя у вас уже есть много раненых, которых вы должны эвакуировать. Приезжают новые, и через несколько минут их уже нет в живых"" 

Командир одной из резервных частей:

""Наше начальство обмануло нас, отправило на передовую незаметно для всех. Мои люди не были готовы к бою. Половина из них ни разу даже не выстрелила. Они деморализованы. Русские нас убивают и все. У нас нет даже боеприпасов. Наше командование нас не поддерживает"".

""У нас были только автоматы и РПГ 1986 года. Пулемет Дегтярева 1943 года. И пулемет Максима 1933 года. А еще у нас есть шведский переносной противотанковый ракетный комплекс NLAW, но батарея не сработала. Это все, что у нас было"", - описывает последнюю операцию член 20-го батальона Владимир Харчук.


Андрей Шевченко, 39-летний военнослужащий:

""Вы не можете сражаться только с AK47. Русские нас раздавят. Нас обстреливают с воздуха, из минометов, мы не можем ответить простыми автоматами Калашникова или гранатометами ближнего действия"".

Материал заканчивается констатацией, что город потерян.

По словам военных, если ничего не изменится, весь Донбасс рано или поздно попадет в руки России.

@sashakots",Yes,A
33,"**Київ: найважливіше за тиждень** 🔵🟡

🖱 У застосунку Київ Цифровий можна увімкнути сповіщення, що за 60 хвилин нагадуватиме про початок комендантської години.

👥 Також у Київ Цифровий з’явився сервіс «Петиції».

🔑Усі власники чи орендарі приміщень, де є укриття або сховище, зобов’язані надати доступ до них людям у разі повітряної тривоги.

🚲 Нове асфальтове покриття, бруківка на тротуарах і велодоріжки: на вулиці Івана Франка закінчили капітальний ремонт.

🏭 Міське господарство системно готують до опалювального сезону, залучаючи всі технічні й кадрові ресурси.

 🍞 Уже 20% внутрішньо переміщених осіб отримали продуктові набори в Києві.

🤝У Києві запустили п’ять мобільних бригад, які допомагатимуть постраждалим від домашнього насильства.

🧑‍🏫У столиці для очного навчання дітей 1 вересня відкриють тільки ті школи, де облаштовані найпростіші укриття.

🖱 У Києві змінюють формат перепусток на транспортні засоби.

🚇 Із 21 до 24 серпня київський метрополітен працюватиме на годину менше.

🪩На площі біля станції метро «Арсенальна» відкрили новий арт-об’єкт – великі металеві краплі, що символізують єдність Києва та Харкова.

**Детальніше:** https://bit.ly/3A5Gjhr 

**Kyiv. Highlights of the week 🔵🟡

**🖱 The Kyiv Digital (Київ Цифровий) app has a new useful feature. It can send notifications an hour prior to the start of curfew.

👥 The Kyiv Digital app has launched the ""Petitions"" service.

🔑 All owners or lessees of premises with shelters are required to provide access to them for people in the event of air raid sirens.

🚲  New asphalt surfaces, paving stones on sidewalks, and bike lanes: the capital repairs on Ivan Franko Street have been completed.

🏭  Kyiv is systematically preparing for the heating season, engaging all technical and personnel resources.

 🍞 20% of internally displaced persons received food kits in Kyiv.

🤝Five mobile brigades were launched in Kyiv to help victims of domestic violence.

🧑‍🏫 On September 1, only those schools with the simplest shelters will be opened for full-time education in Kyiv.

🖱New special passes for vehicles to be introduced in Kyiv.

🚇 From August 21 to August 24 Kyiv metro will shorten its operation by 1 hour.

**🪩** A new art object was opened on the square near the Arsenalna metro station. Large metal drops symbolize the unity of Kyiv and Kharkiv.",Yes,B
37,"**Херсон — удержать нельзя оставить

**__Военный эксперт Борис Рожин об обороне Херсона, штурме Авдеевки и возможности наступления со стороны Белоруссии специально для канала Vоенкор Котенок Z ____@voenkorKotenok____:

__**- Какой вариант ожидает Херсон — Сталинград или Изюм?

**- На текущем этапе с этого направления поступает противоречивая информация. Если будет принято политическое решение отходить с правого берега Днепра, то, конечно, там никакого Сталинграда не будет. Это может быть вызвано в том числе угрозой взрыва грязной ядерной бомбы и подрывом Каховской ГЭС. 

В случае, если будет принято политическое решение удерживать Херсон и плацдарм на Правобережье, то можно ждать длительных интенсивных боев на этом направлении. 

Несмотря на очевидные проблемы с логистикой и угрозы применения ОМП, вопрос удержания Херсона — все же больше политический, нежели военный. 

Стоит напомнить, что Изюм был оставлен сугубо по военным причинам после прорыва ВСУ у Балаклеи и создания угрозы окружения изюмской группировки ВС РФ, что вынудило организовать отход за Оскол для избежания котла.

__Под Сватово везут ""Иностранный легион__""

**- Почему противник буксует под Сватово?

**- Наши войска здесь укрепили оборону плюс сюда переброшены подкрепления, которые позволили несколько стабилизировать фронт после отхода с рубежа на реке Оскол. Кроме того, контрудары в районе Торского и Терны спутали планы противника по продвижению к северу от Кременной. 

Последние попытки атак противника в направлении Сватово были неудачными. С наскока прорваться к Сватово у ВСУ не получилось, хотя по планам Сватово должны были взять еще 17 октября. 

Тем не менее, противник продолжает накапливать силы на этом направлении, не отказавшись от наступательных замыслов как в отношении Сватово, так и в отношении Кременной. Для подкрепления этих замыслов на этом участке линии фронта увеличивается присутствие иностранных наемников.

__Лобового штурма Авдеевки уже не будет

__**- Почему до сих пор мы не можем взять Авдеевский укрепрайон и срезать Угледарский выступ противника?

**- Причины тривиальны — у противника здесь сильные укрепления, а у нас на этом направлении недостаточно сил. 

В обоих случаях лобовой штурм Авдеевского и Угледарского укрепрайонов ничего существенного нашим войска не обещает, скорее, только отвлекает от более перспективных направлений. 

Наступление в районе Песок и Первомайского, а также бои за Марьинку наглядно показывают, что каких-то стремительных продвижений в текущей группировке тут достичь невозможно, как и достичь на текущем этапе реального оперативного окружения Угледарской и Авдеевской группировок ВСУ. Только медленное оттеснение противника с перемалыванием его позиций артиллерией. 

__На Белорусском направлении пока без перемен

__**- Командующий Сухопутными войсками ВСУ Сырский заявил об угрозе вторжения ВС РФ из Белоруссии. Насколько опасения противника оправданы? Можем? И надо ли?

**- На текущий момент в Белоруссии, по официальным данным, развернуто около 9000 российских военных, причем не только у границы с Украиной, но и в северо-западной Белоруссии у границ с Литвой и Польшей, где отмечается накопление группировок стран НАТО, которые создают угрозу для Белоруссии. 

Для наступления на Украину с территории Белоруссии необходима более крупная группировка, которая на текущем этапе там не сформирована. Это не значит, что на территории Белоруссии такую группировку не сформируют, но на текущем этапе вероятность прямого наступления российской группировки на Киев из Белоруссии не очень высока. 

Впрочем, война будет идти долго, и этот вариант мы еще вполне можем увидеть.

@voenkorKotenok",Yes,D
38,"[​](https://telegra.ph/file/944648a16472a405c0b3a.jpg)Спецслужбы Узбекистана заявили, что с начала 2022 года силовики задержали более двухсот пятидесяти экстремистов. Радикалы были связаны с как Исламским государством, так и с действующими в сирийской провинции Идлиб группировками ""Хайат Тахрир Аш-Шам"" и [""Катибой Таухид Валь-Джихад""](https://t.me/directorate4/10164).

Находящиеся за рубежом кураторы поддерживали связь со сторонниками МТО через интернет. С помощью мессенджеров террористы занимались сбором средств на нужды группировок и вербовкой молодых людей для отправки в тренировочные лагеря на территории Сирии. Через соцсети они также готовили т.н. [“одиноких волков”](https://t.me/directorate4/1119) к совершению терактов.

Одну из таких подпольных ячеек, в состав которой входили двадцать семь человек, разгромили в Ташкенте. При обысках в домах задержанных правоохранительные органы изъяли экстремистскую литературу, пропагандистские материалы группировок, инструкции по изготовлению СВУ и вооружение. По данным МВД страны, боевики планировали совершить ряд терактов в местах массового скопления людей, в т.ч. в Москве и Санкт-Петербурге.

Некоторых кураторов МТО удалось задержать и экстрадировать в Узбекистан благодаря работе ФСБ РФ.",Yes,D
39,Днепропетровск. Пожар на объекте после прилёта 💥,Yes,B
45,"Результат удара ВСУ по г. Берислав в Херсонской области. Били по гражданским объектам. В частности, уничтожена школа.",Yes,B
48,"Ночью ВСУ нанесли удар по нефтебазе в Макеевке. Загорелись две цистерны с топливом. В данный момент пожар локализован.

@voenkorKotenok",Yes,B
49,"ВВС Израиля нанесли удары по сектору Газа. По предварительным данным, целью израильских самолетов стали объекты палестинской группировки ""Исламский Джихад"". Очевидцы сообщают о множественных взрывах в жилых кварталах Газы. Информации о пострадавших пока нет.

Днем ранее ЦАХАЛ стянул бронетанковые и артиллерийские подразделения к границе сектора Газа опасаясь эскалации конфликта после задержания главаря ""Исламского джихада"" при проведении КТО в Дженине.",Yes,B
53,"Примерно 2 недели назад в Изюме российские власти начали выдавать  единовременные выплаты в 10 тысяч рублей, наиболее социально незащищенным категориям граждан ( пенсионеры, инвалиды, многодетные родители и т.д). Для получения выплаты граждане должны придти в Пенсионный фонд, предоставить документы и получить деньги. 

Люди начали собираться, занимать очереди и получать выплаты. Про все это проведало командование ВСУ и уже три дня по местам скопления гражданских, наносятся удары кассетными боеприпасами Урагана. ВСУ, особенно учитывая агентурную и космическую разведку прекрасно известно, что данный объект и те люди, что стоят в очереди на улице, это не то, что не российские военные, это до сих пор формальные граждане Украины, причем наиболее обездоленные. 

Потому в очередной раз констатирую, ВСУ и Киевские власти, ничем не отличаются от известных террористических организаций, с которыми как известно переговоров не ведут, а мочат в сортире. 

Вот краткий список раненых  среди гражданских за 14 июля возле Пенсионного фонда:Роман Зеленский 1976 г.р ( ампутация ступни), Анатолий Запорожский 1989 г.р, Владимир Чегринец 1969 г.р, Сергей Дубинский 1974 г.р, Виктор Пархоменко 1969 г.р, Владимир Бобров 1954 г.р,Зоя Чуб 1952 г.р, Юрий Мартынов 1962 г.р, Фёдор Шилобоков 1948 г.р,Любовь Боброва 1957 г.р,Андрей Литвинов 1976 г.р. Три человека получили ранения на улице Гагарина: Галина Волкова 1962 г.р,Дмитрий Мануйло 1950 г.р,Валентина Головченко. 1943 г.р. На улице Соборная осколочные ранения получили Светлана Фролова 1959 г.р, Александр Шилин 1971 г.р и Антонина Краева 1956 г.р. 

16 июля семь человек получили ранения около банка и Пенсионного фонда. Помимо раненых, с 14 по 16 июля погибло 6 мирных граждан. Опознаны Людмила Троицкая и Алексей Толкачев. 

Как видите, год рождения пострадавших указывает на то, что в основной своей массе это люди предпенсионного и пенсионного возраста, то есть наиболее социально незащищенные. Логично объяснить, зачем ВСУ целенаправленно убивает стариков, я не могу. Хотя могу, это просто месть всему юго-востоку бывшей Украины, тому самому населению, которое Киев считает врагами и людьми второго сорта.",Yes,A
62,"«Офицера избивали два дня, на третий утащили в подвал, и там он умер от потери крови».

Свидетельства российских пленных.

@sashakots",Yes,A
73,"В Буркина-Фасо при нападении неизвестных погибли тринадцать военнослужащих и двое мирных жителей. Инцидент произошел 13 марта в Северо-Центральной области страны. Там боевики привели в действие придорожное СВУ, когда мимо него проезжал пассажирский автобус. Когда на место взрыва прибыли военнослужащие, террористы открыли по ним огонь. Ответственность за нападение никто не взял. 

С начала марта в регионе Сахель наблюдается рост числа нападений джихадистских группировок, в т.ч. Исламского государства. Ресурсы МТО, к слову, опубликовали сегодня фотографии с боевиками из этого региона, которые присягнули новому лидеру группировки Абу Хасану Аль-Хашими Аль-Курейши.",Yes,A
79,"🔥**Не встигли ми відсвяткувати смерть Канамата Боташева, як московити повідомляють про ліквідацію генерал-майора Кутузова Романа Владіміровіча**.

🪆Народився 16.02.1969. (53 роки)

🪖З 2002 по 2010 командував 38-ю бригадою ВДВ.

📝Указом верховного Хуйла №83 від 22.02.2017 присвоєно звання генерал-майора.

🐓Протягом жовтня 2017 - серпня 2018 був командуючим 5-ї загальновійськової армії.

🇮🇳Брав участь у спільних російсько-індійських навчаннях «Индра-2017»

🥁Генерал любив гратись танчиками. У січні 2019-го урочисто приймав цілий ешелон Т-34 в Чіті, тоді на московії цей ешелон в цілях пропаганди ганяли залізницею з міста в місто.

🐔9 травня 2020 приймав парад в місті Чіта.

🇺🇦В Україні командував першим армійським корпусом ДНР. Це вже четвертий генерал, загибель якого московити самі підтвердили офіційно, хоча є ті, загибель яких вони просто не коментують.",Yes,A
82,"**В утренней сводке украинский генштаб сообщает, что наступление на Артемовск идет на двух участках:

**1️⃣ Бои идут непосредственно на окраинах Артемовска – участок между Артемовском и селом Покровское.

2️⃣  Продолжается продвижение к юго-западным окраинам Артемовска. Как указано в сводке, боевые действия идут за населенный пункт Зайцево.",Yes,D
85,"Минобороны подтверждает, что огонь по мобилизованным открыли граждане СНГ. Погибло **11 человек**. Ответным огнём нападавшие были уничтожены. Так что, видимо, действительно таджики. По данным МО, речь идёт о целенаправленном теракте. Однако версию конфликта на почве религии также полностью исключать нельзя. 

@voenkorKotenok",Yes,A
93,"Уточнение по грузину - ""200"". Это 41-летний Георгий Григолия. 

Убит в ходе артудара ВС РФ по позициям нацистов в райне н.п. Артемовск (Бахмут) в пока оккупированной Киевом части ДНР.

@voenkorKotenok",Yes,A
101,"**‼️‼️‼️СРОЧНО
**
**Информация о готовящемся наступлении  ВСУ на  Харьковском направлении подтверждается. Помимо большого количества польских Т 72 , так же противник перебрасывает свежие резервы прошедших обучение в Британии.**",Yes,D
103,"Покинувшие Харьковскую область медики трудоустроены в России

Минздрав России помог трудоустроиться 19 врачам и средним медицинским специалистам, эвакуированным из Купянска Харьковской области. 

«Специалисты оперативно трудоустроены в медицинские организации Белгородской области и Краснодарского края согласно их специализации. Еще более 120 эвакуированных медиков в данный момент оформляют документы и проходят переаттестацию. Организационно-консультационную помощь им оказывают органы управления здравоохранением регионов», - рассказал помощник министра здравоохранения Российской Федерации Алексей Кузнецов.

При необходимости, специалистов обеспечивают служебным жильем.

@sashakots",Yes,A
