Sr. no.,Post,HRV Result
86,Похрюкай 🤡,No
87,"Кратко по обстановки в районе Кременной. Со вчерашнего дня противник пытается пробиться юго-западнее Кременной и проводит атакующие действия в районе Шипиловки, с прицелом на Старую Краснянку. Активно работает наша армейская авиация, также активна вражеская артиллерия и ударные коптеры. Из интересного. Вчера в зоне ответственности 144 мсд было вскрыто сосредоточение личного состава и техники противника в лесопосадках в районе Кременной, артиллерия сработала как надо, противник был накрыт.",No
88,"**Не спи под луной**

Командир подразделения СпН с позывным «Вуду» и его Пиплы уничтожают бандеровскую БМП где-то в украинских лесах.",No
90,"🔥🇷🇺🇺🇦 Донбасс. Так выглядит подрыв на собственной мине членов ВСУ. Результат - минус одно транспортное средство, а также трехсотые.",No
91,"Прилёты по группе ВСУчек

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
92,"Войска, выведенные с правого берега, занимают позиции по новой линии обороны на левой стороне Днепра. Где-то в Херсонской области.

@sashakots",No
93,"🌐 **__Шесть лет - с вашей поддержкой и помощью.__** 

Наши друзья из коммуникационной группы [JAMP](https://vk.com/jamp_pr) подготовили короткий и эмоционально пронзительный ролик о работе Русской Гуманитарной Миссии в зоне специальной военной операции в ЛНР и ДНР. 

Мы работаем в Донбасcе с 2016 года, и сейчас наша команда делает все возможное, чтобы доставить гуманитарную помощь всем пострадавшим от боевых действий. 

🤝 Мы благодарны всем, кто вносит вклад в гуманитарную миссию и пожертвованиями, и просто распространяя информацию о нашей работе.   

#ргм #jamp #jampsocial #русскаягуманитарнаямиссия #rhm #russianhumanitarianmission",No
94,"[​](https://telegra.ph/file/d76854c7e36eee609abbd.jpg)Полиция Турции опубликовала фотографии сообщника [подозреваемой](https://t.me/directorate4/14105) в совершении теракта в г. Стамбул. По данным правоохранителей, на кадрах запечатлен Билал Хасан - участник ""Отрядов народной самообороны"" (ОНС), входящих в ""Сирийские демократические силы"" (СДС). В страну мужчина и его подельница въехали из Сирии под видом супружеской пары в августе этого года и вместе планировали теракт. После совершения задуманного Хасану удалось уехать за границу и скрыться в Молдавии. Спецслужбы Турции задержали его брата, в телефоне которого обнаружили фотографию Билала с атрибутикой ОНС. **Силовики считают, что т.о. подтверждается информация о причастности курдских сил к теракту в Стамбуле. Это дает еще один повод для проведения операции против курдов северной Сирии.**

По данным СМИ, ВС Турции, в случае получения приказа президента Реджепа Тайипа Эрдогана, закончат подготовку к наземной операции в течение нескольких дней.

Российская сторона в очередной раз предложила ""Сирийским демократическим силам"" сотрудничество. Накануне командующий российской группировкой войск генерал-полковник Александр Чайко провел встречу с представителями объединения в аэропорту г. Камышлы. **На ней российский военачальник проинформировал главу арабо-курдских сил Мазлума Абди, что избежать **[**новой операции**](https://t.me/directorate4/14238) **Турции может только отвод сил вглубь Сирии на 30 км, ввод на эту территорию правительственных войск и возобновление работы учреждений официального Дамаска. Все предложения Абди отверг.**",No
95,"1 видео: Падение обломков ракеты украинской ПВО на жилые дома, где-то в Киевской области

2 видео: Прилет. Львовская область",No
96,"**«Русские - это орудие Божье. Это как ремень, которым отец наказывает ребёнка»

**Православный поп пересмотрел Соловьева и принялся рассказывать, почему нужно убивать украинцев. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
97,"**Соловьёв вышел в эфир с синяками и ссадинами на лице. 

**Кажется, у журналиста выдалась нелёгкая ночь, потому что утренний эфир «Соловьев Live» он провёл вот в таком виде .",No
99,"Андрюха, домой только после войны. А то сейчас «ничего не надо», а через месяц опять на передке. 

@epoddubny

https://t.me/RtrDonetsk/5203",No
100,"Таллин: недвижимость граждан РФ в Эстонии будет продана для покрытия возможного долга по оплате коммунальных услуг, поскольку саму ""коммуналку"" граждане РФ через местные банки не могут оплатить из-за санкций. Именно так выглядит хвалёное западное ""уважение к собственности и законам"", когда эти права для всех, кроме русских.

С другой стороны, если человек настолько альтернативно одарен, что сознательно инвестировал в одно из самых русофобских государств на планете, а теперь всего это лишится — вряд ли он заслуживает сочувствия.

@voenkorKotenok",No
101,"Побывал на военном полигоне в Троицком, где ежедневно проходят тренировки у мобилизованных сахалинцев. Очень важно, что наши мужчины обучаются у опытных военных, прошедших ряд горячих точек. 

Занятия проводят в том числе участники специальной военной операции. Они делятся передовым опытом ведения боевых действий в самых разных условиях, объясняют тактику ведения боя в открытой местности и в городской черте, когда особое внимание уделяется защите мирных жителей. 

На тренировках бойцы подробно изучают современное вооружение и беспилотные летательные аппараты, учатся создавать зоны задымления, использовать различные защитные сооружения в качестве укрытий. Можно быть уверенными, что наши ребята находятся в надежных руках. Чувствуется боевой настрой и нацеленность на победу.",No
103,Схематически так,No
104,"Как стать одним из тех ребят, о которых сейчас снимают ролики и показывают по всей стране? Надо записаться в добровольцы. Пришло время настоящих героев, которые готовы постоять за отчизну.
 
Как это сделать? Проще всего на Госуслугах. Нужно [заполнить анкету](https://www.gosuslugi.ru/600483/1/form), её проверят в Минобороны и дадут ответ. Серьёзно, на пунктах сбора всё больше тех, кто стремится защищать страну, так что цифровизация тут только на пользу. Ведомство назначит время прихода в военкомат, а вы уже сможете сами решить, приходить вам или нет.
 
Кем идти — мобилизованным добровольно или в добровольческий отряд? Тут уж каждый сам решает. Мобилизованные приравниваются к военнослужащим. Те, кто в отряде, в свою очередь сами за себя, они берут с собой в зону СВО всё, что захотят. Хотя у них и критерии отбора проще, больше людей подпадает под критерии. Для добровольческих отрядов СВО регионами предусмотрены льготы. В Москве, например, у добровольцев, по указу Собянина, те же меры поддержки, что и у мобилизованных.

@sashakots",No
105,"Прилёты в Ясиноватой. Работает 155-мм артиллерия укронацистов.

@voenkorKotenok",No
106,"Мудрая девушка обращается к жителям Киева.

__И в чем она не права?__🤔",No
107,"**❗️Сообщают о ракетах в Черновицкой, Хмельницкой и Винницкой областях 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
108,"**Киевляне стоят в очереди за новой маркой «Крымский мост — на бис!»

**И это после того, как им пришлось посидеть без света и воды. 

Видимо им понравились последствия первого подрыва крымского моста, вот хотят еще🤡",No
109,"**🏥Лікарні в Мозирі та Гомелі зупиняють операції для цивільних, щоб зосередитися виключно на операціях для орків**",No
111,"**Ещё всплыла партия свиней, взявшие ~~Херсон~~ хер в рот за перемогу Залупенского.**

__Как перемога, хохлы?__",No
112,"​[**ДОНЕЦК**](https://youtu.be/G1kAtiJt2EM)**-КИЕВ.**
СМЕНА МЕСТ И ОЩУЩЕНИЙ. КАРМА ЕСТЬ КАРМА. 

Теперь в Киеве люди знают, как ощущает себя человек при угрозе обстрела. Примерно знает, потому, что  по домам никто не лупит. 

А я вспоминаю двух девочек в Спартаке. У каждой из них был свой подвал. Они жили в подвалах из-за вечных украинских обстрелов! Мы их показывали и говорили: посмотрите украинцы, не дай Бог вам это испытать. 

Восемь лет долбили по Спартаку. Теперь вы их понимаете? Долбили по всем городам и селам Донбасса. Эх, карма есть карма.  

Это из моего архива:",No
113,"🦠**За минулий тиждень у столиці на COVID-19 захворіло вдвічі більше містян, ніж на позаминулому

**📈Із 11 до 17 липня було зареєстровано 112 випадків захворювання, а з 18 до 24 липня – вже 245.

💉Нагадуємо, що в Києві працює 112 вакцинальних пунктів, де кожен охочий може щепитися першою, другою чи бустерною дозою вакцини. 

😷Також не варто забувати про елементарні заходи безпеки: слідкувати за гігієною рук, за можливості уникати скупчення людей у закритих приміщеннях, в укриттях під час повітряної тривоги надягати медичні маски.",No
114,🔥ЗСУ працює. Пряме попадання по ворожому танку,No
116,"**Уничтоженная украинская пушка МТ-12 Рапира на выгоревшем пшеничном поле.

**@Ugolok_Sitha",No
117,"**Из Беларуси улетает самолёт ДРЛО А-50 ВКС** **РФ** **— Гаюн

**Он пошел на взлёт с аэродрома в Мачулищах. Напомним, эти самолеты **обнаруживают цели и дают точки для ударов пилотам истребителей**. В Беларуси он находился с 14 декабря.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
118,"Доброе утро из Одессы🇺🇦 Там замечен мужик, надевший женские сапоги, таким образом он походу решил избежать мобилизации",No
119,**❗️Заявления Путина о частичной мобилизации.**,No
120,"НМ ДНР: украинские военные покидают «Азовсталь» - с территории комбината, сложив оружие, вышли 5 человек.  

Сегодня с 14:00 снова будут открыты гуманитарные коридоры. 
ВС РФ предлагают боевикам нацбатов и иностранным наемникам прекратить боевые действия, сложить оружие и выйти с территории «Азовстали».

@epoddubny",No
121,"__«Война была начата не нами, а в 2014 году после государственного переворота на Украине, она была начата украинскими властями. Все партнеры в телефонных разговорах молчат, когда им говоришь, что они должны были быть гарантами минских соглашений. Нам не оставили других шансов для решения вопроса Донбасса». __

(С) Путин",No
123,В Одессе 🇺🇦 обнаружены гравитационные аномалии,No
124,"Куда уходят блогеры с Youtube? 

На [Бастион](https://bit.ly/3o8vNjM)!

Тут блогеры, которые ушли из Youtube и Instagram, и ВК.

Видео и тексты, которых нет больше нигде, потому что тут не удаляют несогласных.

Бастион трудно заблокировать, потому что он работает одновременно на сотнях тысяч компьютеров по всему миру, и будет работать, пока есть интернет.

Бастион анонимен, в него встроен Tor, и тебе даже не нужен VPN.

Скачивай новое приложение  – пользоваться и делиться контентом стало еще удобнее.
[Bastyon](https://bit.ly/3o8vNjM) – там, где ты можешь быть собой.

👉Ссылка (https://bit.ly/3o8vNjM) на скачивание приложения.

https://bastyon.com",No
125,"❗️**Москва предупредила Киев, что на этот раз мероприятия, предусмотренные ходом военной операции, приостанавливаться в связи с переговорами не будут, заявил Песков**.

@truekpru",No
126,"🐺**Цікаві події сталися цими днями в окупованій Чеченській Республіці Ічкерія

**🇷🇺 У 50-тисячному місті Урус-Мартан сталася бійка резервіста Росгвардії та місцевого ГАЇшника, відомого своїм хабарництвом і вседозволеністю. Місцеві, котрі стали свідками сутички — підтримали Росгвардійця та втрутилися проти ГАЇшника. 

👀Ці події не на жарт налякали дона-всіх-донів генерал-полковника Рамзана Кадирова, який відправив у місто сотні силовиків для затримання всіх свідків та учасників бійки. У неділю в місто заїхали каральні органи, що почали пакувати всіх чоловіків з вулиць та бити вікна автомобілей. Цю каральну акцію активно висвітлювали місцеві пропагандистські канали. На місце приїхав навіть племінник Кадирова — начальник ГАЇ Ідріс Черхигов. 

🔥Ці події є цікавим дзвіночком, як локальна побутова сварка лякає центральну владу та весь режим Кадирова, і як вони силою страху намагаються це зам'яти. **__Іноді в таких подіях народжується іскра, що запалює громадянські війни та запускає подальші дестабілізуючі процеси. Схоже, не цього разу, але це цікавий прецедент і в чеченців все ще попереду...

__**[Магазин](https://deepstateua.shop/)🛑[Блог](https://deepstateua.com/)🛑[Мапа](https://deepstatemap.live/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑[Звіти](https://help.deepstateua.com/)🛑[ЗСУHelp](https://t.me/help_deepstateua)",No
127,"Иран в понедельник примет участие в 15-м заседании Парламентской ассамблеи ОДКБ в статусе наблюдателя — ТАСС.

Делегация Ирана во главе с председателем комиссии по нацбезопасности и внешней политике Вахидом Джалалзаде уже прибыла в Москву. В планах у делегации также провести переговоры с российскими коллегами.",No
128,"⚡️⚡️⚡️СРОЧНО⚡️⚡️⚡️
❗️В центре Луганска, в строительстве ГП ЛНР, прогремел взрыв❗️

По предварительным данным есть жертвы.
На месте работают аварийно-спасательные службы.
Информация от Андрея Марочко",No
129,"Мощные взрывы в Киевской, Одесской, Ровенской, Волынской областях.

Город Хмельницкий на западе Украины полностью обесточен.

@voenkorKotenok",No
130,"Фото очереди из мужчин, пытающихся срочно выехать из России за границу 🤣🤣🤣",No
134,"Очевидцы пишут, что дым от демилитаризованного объекта в Николаеве виден и в соседних областях. Судя по цвету дымовой завесы, с подвозом топлива у хлопцев опять не сложилось. 

@epoddubny",No
136,"‼️Всё, ВСУ в центре Балаклеи, наши отступили
Просим читателей не впадать в панику и пессимизм, война продолжается. В дальнейшем будут победы и поражения. Всегда лучше держать фронт, а после - отбросить врага назад.",No
137,"Братцы, сёстры, друзья!! Очередной отчёт! 

В батарею ЦСН дошли два мавика-3 (+смартфоны) и мавик с теплаком для ночной работы! (чуть больше 1млн рублей).

Спасибо вам огромное!!!!!!!!!!!!!!",No
138,"В 2022 году зарплаты украинцев упадут на 26,9%, а в 2023 - вырастут на 4,6%. - отчет НБУ

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
139,"📑**У Києві з 28 березня відновлюють роботу Центри надання адміністративних послуг

**✔️ЦНАПи працюватимуть із 10:00 до 16:00 та видаватимуть готові документи й надаватимуть консультації із загальних питань.

❗️ Інформацію щодо роботи ЦНАПів, готовності та можливості отримання ID-картки, закордонного паспорта громадянина України, посвідок на постійне та тимчасове проживання, поданих через центри надання адміністративних послуг міста Києва, можна отримати телефонами:

📞044 202 60 38; 044 202 60 39.",No
140,"В Белоруссию прибыли первые эшелоны с российскими военными из состава совместной группировки войск, сообщили в Минобороны страны",No
141,Уходит в прошлое однополярный мир — Путин,No
142,"Так много вопросов и так мало ответов

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
146,"Кремль: Одна из задач спецоперации на Украине - спасение ЛНР и ДНР, восстановление их государственности в границах 2014 года.

@epoddubny",No
148,"🔄**Ситуація на фронтах станом на 3 жовтня

****⏩****На кордоні з біломосковією **ситуація без змін[.

](https://deepstatemap.live/#6/49.438/32.053)**⏩****На** **Сватівському** напрямку - звільнено[ Борову](https://t.me/DeepStateUA/14287), [Шийківку](https://t.me/DeepStateUA/14286),[ Ізюмське та Дружелюбівку](https://t.me/DeepStateUA/14291). Під питанням решта н.п Борівської громади. Тепер можна констатувати, що оборона ""другої армії світу"" по річці Оскіл не те, що посипалася, а її немає. Надалі стає менше природніх перешкод, а особливості державного кордону і глибина територій ставлять під сумнів доцільність просування до Старобільська чи далі (__UPD. Мається на увазі ймовірність швидко втратити місто через його географічне положення та невигідність утримувати цю позицію при теперішньому положенні фронту__)

**⏩****Бахмутський **відтинок - біля заводу Кнауф ворог укріпився, що навіть наша артилерія поки що не в силах вигнати кацапів. Є підстави вважати, що ворог міг просунутися в Опитне або як мінімум закріпитися на околицях. Ситуація на доуточнені.

**⏩****Авдіївський** відтинок - без суттєвих змін. 
 
**⏩****Запорізький **відтинок - без змін. 

**⏩****Херсонський** напрямок - звільнено такі населені пункти: [Любимівка](https://t.me/DeepStateUA/14290), [Шевченківка](https://t.me/DeepStateUA/14292), [Золота Балка, Гаврилівка, Новоолександрівка](https://t.me/DeepStateUA/14289) та [Михайлівка](https://t.me/DeepStateUA/14285). ЗСУ спільно з НГУ продовжують тиснути на ворога, але більше деталей повідомити не можемо - чекаємо повідомлень.

🔄Оновлення мапи вночі вже не буде. 

▶️Нам всім варто не забувати, що якщо війна далі відкочується від міст, де ви живете, то це не означає, що вона ніколи не повернеться. Ворог теж хитрий і може почати нову операцію там, де захоче. Тому намагайтеся в тилу максимально можливо допомагати фронту. Хлопці довели вже не раз, що останнього окупанта рано чи пізно скинуть в Керченську протоку. 

[🖍](https://deepstatemap.live/#6/49.438/32.053)У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 

🛑Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ. Ну і звісно, довіряйте перевіреним джерелам.",No
149,"**🇷🇺 🇺🇦 Засада «ЧВК Вагнера» для ВСУ под Бахмутом

В распоряжении попало трофейное видео, снятое нагрудной камерой одного командира ВСУ.

На видео видно, как украинские военнослужащие едут на свой опорный пункт под Бахмутом, не подозревая, что там их уже ждут бойцы «ЧВК Вагнера». Приехав на место, украинцы оказываются под шквальным огнем.

Камера фиксирует уничтожение свиней а хозяин камеры захрапел вечным сном. Пидоры ебаные! Горите в аду дерьмо!**",No
152,"Меня всегда поражала украинская вера в НАТО. По-детски наивная, рустикальная. Так средневековый крестьянин верил в чудесные обереги и защиту от колдовства путем выполнения нехитрых ритуалов.

Вера даже не в военную мощь НАТО (хотя и в неё тоже), а в то, что блок обязательно будет воевать за Украину вместо Украины. 
Причём, даже сейчас, когда очевидно, что воевать НАТО за Украину не будет. Ну вот даже если будет угроза, что русские получат все.

Отношения НАТО и Киева строились довольно давно, но это всегда были отношения, ну скажем, патриция и нанятого им скифа-гладиатора. Патриций кормит бойца, помогает с тренировками, покупает новую броню и хороший меч. Но сам драться не пойдёт никогда. А при плохом раскладе тут же скормит гладиатора тиграм.

Почему это совершенно не очевидно украинцам даже сейчас непонятно совершенно. Ведь даже если посмотреть внимательно, что делает НАТО. Блок готовит на своей территории украинских военных. Не свою военную миссию для ввода войск на правобережную часть Украины. А украинцев учат воевать, ну и вероятно, частично умирать за экономические интересы англо-саксонского мира. 

Это такие сипаи 21 века. Восстание только от них не надо ждать. 
И это отсутствие критического мышления, вообще стоит изучать, как особый феномен. 
Впрочем, вероятно, дело в том, что слепая вера в безоговорчную поддержку НАТО, тоже в значительной мере является результатом длительной работы западных технологов, которые отвечали и за формирование идиологических нарративов, и за определённую систему ценностей, среди которых поклонение НАТО находится лишь чуть ниже культа Бандеры и Украины как таковой. 

https://t.me/voenacher/33514?single",No
153,"26-летний Иван Воробьевский — сын известного публициста Юрия Воробьевского — убыл добровольцем на украинский фронт, где провоевал несколько месяцев. 

Иван [решил поделиться](https://t.me/tsarkrest/8886) своими впечатлениями о том, что происходит на просторах исторической России. 

@voenkorKotenok",No
155,"Насчёт преимущества в [живой силе](https://t.me/SolovievLive/119251) Зеленский врет. Артиллерией да, мы перепахиваем ВСУ, но живой силы у хохлов пока еще много и они нас в ней превосходят. Бывают случаи, когда у нас рота стоит против полка, но полк ВСУ предпочитает не вылезать из траншей, хотя его командованию прекрасно известно, столько бойцов ВС РФ находится  перед ним. 

В конце-концов ВСУ попытаются использовать свое преимущество в численности  личного состава, иначе «размягчение» украинской обороны нашей артой, приведет в ее полному уничтожению. Нам нужно быть к этому готовым и конечно же не снижать интенсивности огня артиллерии, ракетных ударов,работы авиации.",No
156,"‼️Президент ФРГ прибыл с необъявленным визитом на Украину, ожидается встреча с Зеленским",No
157,Украина из-за ракетных обстрелов прекращает экспорт электроэнергии в Евросоюз с 11 октября — Минэнерго Украины,No
160,"#эксклюзив ⚡️Огневое поражение ротной тактической группы 63 бригады ВСУ на криворожском направлении🔥🔥🔥

@Tauride_Republic",No
161,"В результате сегодняшних ударов впервые были поражены объекты газовой промышленности Украины.

В настоящий момент известно о повреждении соответствующих целей в Киевской и Харьковской областях.

@voenkorKotenok",No
163,"Рамзан Кадыров пишет: Бойцы чеченских спецподразделений под командованием моего дорогого БРАТА, Героя России Замида Чалаева продолжают гнать националистические и бандеровские группировки через леса и поля Луганской Народной Республики. На этих кадрах вы можете увидеть, как бойцы спецполка имени Героя России А.А.Кадырова МВД по ЧР догнали их между населенными пунктами Горское и Золотое, да так, что дальше им уже не удалось никуда убежать.
 
Наш гранатометчик  качественно сработал и уничтожил вражескую группу прямо в укрытии. Пустившихся наутек остальных националистов уже добили автоматчики. Затем бойцы прочесали каждый участок зоны боестолкновения и убедились, что все цели оперативно уничтожены.
 
Именно так каждый раз и отрабатывают наши бойцы: без лишней суеты, качественно и эффективно. Этим и объясняется стабильный успех чеченских подразделений в спецоперации на Украине. Желаю им и дальше придерживаться выработанной тактики до полного уничтожения всей националистической и бандеровской хунты!",No
164,"**«Готовьтесь к мобилизации! К частичной»**. 

Жириновский опять все предсказал.",No
166,"🇺🇸🇸🇦New York Times [пишет](https://www.nytimes.com/2022/10/25/us/politics/us-saudi-oil-deal.html), что ряд помощников Байдена тайно договорились с саудовским кронпринцем ибн-Салманом о повышении нефтедобычи и, соответственно, снижению цен на нефть, однако что-то пошло не так. Байден нарушил свое предвыборное обещание не контактировать с ибн-Салманом из-за истории с журналистом Хашогджи, чтобы к промежуточным выборам цены на бензин в США были ниже. Однако Саудовская Аравия взяла и добычу нефти вместе с Россией в рамках ОПЕК+ сократила, на что Белый дом очень обиделся и стал обвинять Эр-Рияд в помощи России в контексте СВО. Внезапно оказалось, что ибн-Салман амбициозный и хочет суверенизации своей страны. Американцы начали грозить выводом своей ПВО из Саудовской Аравии (опасно из-за атак хуситов), но это не помогло. В общем, нынешняя администрация в Вашингтоне на кронпринца конкретно обиделась",No
167,"❗️Right now Russian propagandists are trying to prove that they shelled Kremenchuk refinery. The map shows that the refinery is actually on the other side of the city.

❗️Прямо сейчас российские пропагандисты пытаются доказать, что обстрел велся по Кременчугскому НПЗ. На карте видно, что  НПЗ находится фактически на другом конце города.",No
168,"**Ситуация на выезде из Херсона 

**Оставшиеся в Херсоне  недолго праздновали возвращение украинских боевиков. Эйфория быстро сменилась разочарованием и гуманитарной катастрофой",No
170,Чувствую скоро будущее будет выглядеть вот так :),No
172,"👁👁👁👁 57 машин высокой проходимости для бойцов передали! 

В каждом авто: полевая мобильная баня с печкой, тепловизор, противодронное ружьё и тёплые подарки парням на передовую (шапка, перчатки, баф).

Снегурочки Народного фронта с Дедом Морозом скоро обнимут парней и передадут ваши подарки.

Праздник должен быть у каждого!

[Подписаться](https://t.me/onf_front) / [Участвовать в сборе](https://pobeda.onf.ru/requirements/novogodnyi)",No
173,**‼️‼️‼️Вечером сегодня Союзными войсками взят поселок Майорское между Горловкой и Дзержинском**,No
174,"Директор ЦРУ дал диагноз Владимиру Путину:

«Ходит много слухов о здоровье президента Путина, и, насколько мы можем судить, он слишком здоров».

@sashakots",No
175,"❗️ВСУ нанесли удар ракетой ""Точка-У"" по району н.п Зимогорье Славяносербского района ЛНР.

Предположительно, целью удара стал склад боеприпасов Союзных сил.

Пуск ракеты производился из района **Артемовска/Бахмута**. 

@warjournaltg",No
176,"Очередной индус рассчитал каждый свой шаг, но он был плох в математике.",No
177,**Вот это видео полиция кипрского города Ларнака убедительно просит не распространять из уважения к культурным особенностям украинского народа.**,No
178,"Одна из барж, которая принимала участие в попытке десанта на Запорожскую Атомную Электростанцию.

Источник: https://t.me/lostarmour/772",No
1,"‼️🇺🇦🇺🇸**Обломки боеприпаса HIMARS найдены на месте обстрела СИЗО в Еленовке

**Это подтверждает, что удар был нанесен ВСУ целенаправленно.",No
3,"🇷🇺🇺🇦 Кадры артиллерийских ударов по целям в **Бахмуте. **В самом городе продолжаются бои на окраинах.

Отряды «ЧВК Вагнера» не продвигаются город «в лоб», а штурмуют опорники вокруг Бахмута с целью создать плацдарм для атаки города с нескольких направлений.
#Бахмут #Донецк #Россия #Украина
@rybar

__*Поддержать нас:__ `4377 7278 0407 7977`",No
4,"🟢__«Якийсь прем'єр-міністр мені сказав: ""Завдяки Україні я зрозумів зміст НАТО, яким він має бути""»__",No
5,"⚡️""** Атомные станции начнут работать ближе к вечеру, сократится дефицит, ""свет"" появится у большего количества пользователей**"", -  министр энергетики Украины Герман Галущенко.

По словам министра, вчера страна пережила блекаут. Объединить энергосистему после ракетных ударов удалось **только под утро. 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
6,"Миссия МАГАТЭ несмотря на украинскую клоунаду все же доехала до Запорожской Атомной Электростанции.

Видео РИА ""Новости"".",No
7,"Новенькие Су-35 отправляются в свои полки. 

На заднем фоне Су-35 настроенные для Египта. 
Которые в итоге достанутся либо Ирану, либо пополнят состав ВКС.",No
8,"Фронт Кременная-Сватово-Купянск.

Наши разведчики обнаружили место подвоза боеприпасов противника, навели артиллерию. Первая машина пошла на удачу, а водитель второй смалодушничал, за что очень быстро поплатился жизнью.",No
